slug	current_authors	rakuten_author
axel-rex	大野純二	おおのじゅんじ
ayaka-san-wa-dame-gitsune	まさきりょう	したらなな
ayakashi-kura-no-kanrinin	荒緒択	北野りりお/朝比奈 和
ayakashi-onsen-ki-tan-ki-tan	小賀ちさと	辻森惺/吉村悠希
ayame-senpai-wa-boku-to-himitsu-no-keiyaku-o	昼間行燈	蛇足せんたろう
ayashi-2012	皇名月	宮部　みゆき/皇　なつき
ayashikotogatari	イシコ漫画家	白鳥うしお
ayuko	久保田眞二	久保田真二/工藤かずや
azamukare-seijo-to-shugoryuu-no-konyaku	あきつ鉄鋼	志藤ミネ
azatokawaii-kanojo-no-tawawa-ni-tsutsumaretai	広輪凪|鮭|るいす・まくられん	アンソロジー
azawarau-sekai-no-naka-de	岸根靖興	和泉 亜明
azuki-no-chi	くろばR	ナガトカヨ
b-a-d	鈴木大	鈴木ダイ
b-a-d-tozaki-2012	月並甲介	綾里けいし/榊原宗々
b-b-girls	小石川イオリ	くみちょう
b-boy	なると真樹|桃さくら	倉持知子
b-boy-petit	星崎龍	アンソロジー
b-play	ツインテール	万利休
baacha-fighter-kage	来留間慎一	秋恭摩
baacharu-kun-wa-otonari-san-kara-nigetai	磯カズナリ	あきちはや
baasasu-earth	NolanGraham	渡辺義彦/一智和智
baatoretto-eiyuu-tan	ももよ万葉	三國大和
babel-no-sekkeishi	kanbe	芦藻 彬
baby-kokoro-no-mama-ni	トワ	奥山ぷく
baby-tech	桑田二郎	桑田次郎
babylon	ことぶき	野崎 まど/瀧下 信英
bachikaburihime	山本夜羽音	山本夜羽
back-stage	つだみきよ	影木　栄貴/蔵王　大志
baibai-earth	上機しほ	麻日 隆/冲方 丁
baibai-niini	柳川ヨシヒロ	柳川喜弘
baitosaki-no-senpai-ga-koukousei-janakatta-hanashi	梅涼	文之助
baiyakuzumi-no-megami-sama	昼間行燈	蛇足せんたろう
baka-de-yowakute-buzama-demo	夏江夢子	千代崎
baka-sennyuu	桜井トシフミ	桜壱バーゲン
bake-bake-bake	炊田鳩子	吉近 イチ
bake-no-kawa-no-hitobake	巳島早生	佐藤 さつき
bakee	白樺鹿夜	モコ
bakemono-to-shoujo	富田陽介漫画家	富田陽介
bakemonochou-no-hitobito	渋谷圭一郎	くまのとおる
bakeru-kun	藤子不二雄	藤子・Ｆ・不二雄
bakishimi	川﨑順平|しみけん1979-|ぐんぴぃ1990-	川崎　順平/ぐんぴぃ（バキ童）/しみけん
bakki	あたる	下川 咲
baku-kun	家田明歩	田中優吏
bakubaku	GranovAdi	斉藤いくみ
bakugan-master-honoo-moetaroo	ひこちゃん	杉谷和彦
bakuhatsu-sunzen-yoshie-chan	くら☆りっさ	くらりっさ
bakumatsu-kareshi	冬坂ころも	柚樹ちひろ/JUN（小説家）
ball-meets-girl	たまきちひろ	綱本将也
banana-hakusho	蛭田充	SANZE摩利
banana-sisters	みやすのんき	ひろもりしのぶ
bandai-kaname-wa-asobitai	高橋真弥	氷川翔
bandit-seven	青辺マヒト	まさゆみ
bandori-koma-bandoritsu	早蕨たまお	しろいはくと/ISSEN/中村　航/ひと和
banei-kakeru	いわしげ孝	岩重孝
bang-2	鈴木大	鈴木ダイ
banji-no-nyamunyamu-nikki	山崎あろえ	ジョンイ/ラナ
banken-honey	八街潤	如月 ゆきの
bannin	坂井久仁江	国枝彩香
bannou-murazukuri-cheat-de-otegaru-surooraifu	アオキタクト	九頭七尾/イセ川ヤスタカ/蚕堂j1
bannou-skill-choumiryou-sakusei-de-isekai-o-ikinukimasu	へいん	天栗めし子/あろえ
banzai	鈴木大	鈴木ダイ
banzoku-tensei-makeikusa-kara-hajimaru-isekai-seifuku	esk|鯖井ばる	佃　繁奈/武蔵野　純平
bar-flowers	ゆきの漫画家	ゆきの
bara-kessha	井出智香恵	井出知香恵
bara-to-black-pantsu	くじらいいく子	くじらいいくこ
