slug	title	year	missing
osaketosenpaikanojotonoamaamadoukyorabukomewahatachininattekara	お酒と先輩彼女との甘々同居ラブコメは二十歳になってから	2026	説明欠
osananajimi-ga-suki-kamo-shirenai	幼馴染が好きかもしれない	2026	キャッチ欠
osananajimitachinishiitageraretaore-seijoninmei-sukirunimezametetenohi	幼馴染たちに虐げられた俺、「聖女任命」スキルに目覚めて手のひら返し!	2026	説明欠
oshi-no-seitai-hiroimashita	推しの声帯拾いました	2026	両方欠
oshisamanooosenomamani	推し様の仰せのままに	2026	説明欠
ossanboukenshanookuretaeiyuutan-kanshanosuburio1nichi1mankaishi	おっさん冒険者の遅れた英雄譚	2026	説明欠
oujitokishiwadansouseijogashinuhodoitooshii	王子と騎士は男装聖女が死ぬほど愛おしい	2026	説明欠
oujodeshitagakossoriryuukishidannosenzokukusushininarimashita	王女でしたがこっそり竜騎士団の専属薬師になりました!	2026	説明欠
oyoso100nenyuuheisareteitamajutsushifuufuwasekaiomeguru	およそ100年幽閉されていた魔術師夫婦は世界を巡る	2026	説明欠
paranomasaito-file-25-reikan-shoujo-kurosuzu-miwo-no-kaikou	パラノマサイトfile 25霊感少女・黒鈴ミヲの邂逅	2026	両方欠
puchi-hontou-ni-atta-yukai-na-hanashi-occult-o-koeta-kiseki-choujou-taiken-esupii	ぷち本当にあった愉快な話 オカルトを越えた奇跡超常体験SP	2026	両方欠
purofesshonaruzu-purofesshonarudekattenikuusoutaimu	プロフェッショナルズ : プロフェッショナルで勝手に空想タイム	2026	説明欠
