slug	title	volumes	missing
yuragisou-no-yuuna-san	ゆらぎ荘の幽奈さん	24	説明欠
appare-urayasu-tekkin-kazoku	あっぱれ!浦安鉄筋家族	24	両方欠
tsui-no-taimashi-endaagaisutaa	終の退魔師-エンダーガイスター-	24	説明欠
sandarabotchi	さんだらぼっち	23	説明欠
bouryoku-taishou	暴力大将	23	両方欠
tennis-boy	テニスボーイ	23	両方欠
ningenkyouki	人間兇器	23	両方欠
bokkemon	ぼっけもん	23	両方欠
boukenshatachi-no-sekaishi	冒険者たちの世界史	23	両方欠
sunanobara	砂の薔薇	23	説明欠
mesu-yo-kagayake	メスよ輝け!!	23	両方欠
ribbon-shinjin-mangaka-debyuusakushuu	りぼん新人まんが家デビュー作集	23	両方欠
tennen-kokekkoo	天然コケッコー	23	説明欠
new-yankee-reppuutai	新ヤンキー烈風隊	23	両方欠
ubel-blatt	ユーベルブラット	23	両方欠
shikabanehime	屍姫	23	説明欠
yankee-kun-to-megane-chan	ヤンキー君とメガネちゃん	23	説明欠
ridex	RIDEX	23	両方欠
tenkuu-no-tobira	天空の扉	23	説明欠
saigo-no-restaurant	最後のレストラン	23	説明欠
takashina-ryouko-senshuu	高階良子選集	23	両方欠
kuzu	クズ!!	23	両方欠
terra-formars	テラフォーマーズ	23	説明欠
zipang-shinsou-kairyuu	ジパング深蒼海流	23	説明欠
youkai-watch	妖怪ウォッチ	23	説明欠
sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	スゴ盛!本当にあった〔○生〕ここだけの話極	23	両方欠
riinkaaneeshon-no-kaben	リィンカーネーションの花弁	23	説明欠
rikudou	リクドウ	23	説明欠
gariya	Gariya	23	両方欠
break-back	BREAK BACK	23	両方欠
shoujiki-fudou-san	正直不動産	23	説明欠
ore-dake-level-appu-na-ken	俺だけレベルアップな件	23	両方欠
yaiteru-futari	焼いてるふたり	23	説明欠
umamusume-shindereragurei	ウマ娘シンデレラグレイ	23	説明欠
ore-wa-chokkaku	おれは直角	22	両方欠
ikkyuu-san	一球さん	22	両方欠
susume-pirates	すすめ!!パイレーツ	22	説明欠
deka-ankou	刑事あんこう	22	両方欠
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	22	両方欠
toudai-itchokusen	東大一直線	22	両方欠
pelican-road	ペリカンロード	22	両方欠
shiki-sentaro-1979	史記	22	両方欠
obake-no-qtarou	オバケのQ太郎	22	両方欠
purogorufaasaru	プロゴルファー猿	22	説明欠
gindama-masayan	銀玉マサやん	22	両方欠
abayo-hakusho	あばよ白書	22	両方欠
youma-no-fuuin	妖魔の封印	22	両方欠
angel-beat	ANGEL❤BEAT	22	両方欠
circle-game	サークルゲーム	22	両方欠
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	22	両方欠
modena-no-ken	モデナの剣	22	両方欠
tokyo-babylon	東京BABYLON	22	説明欠
dakara-shousuke	だから笑介	22	両方欠
eden-no-tohoku	エデンの東北	22	両方欠
asakura-kun-chotto	朝倉くんちょっと!	22	両方欠
sunabouzu	砂ぼうず	22	説明欠
tenjou-tenge	天上天下	22	説明欠
shin-kyokujitsu-no-kantai	新旭日の艦隊	22	両方欠
monaco-no-sora-e	Monacoの空へ	22	両方欠
haru-hikou	春・飛行	22	両方欠
shitamachi-tekkoujo-funtouki-natsu-chan-toukyouhen	下町鉄工所奮闘記ナッちゃん東京編	22	説明欠
shokatsu-koumei-toki-no-chiheisen	諸葛孔明時の地平線	22	両方欠
souten-no-ken	蒼天の拳	22	説明欠
tsujiurauri	辻占売	22	説明欠
school-rumble	School Rumble	22	説明欠
saru-lock	猿ロック	22	説明欠
toritsu-mizushou	都立水商!	22	説明欠
oishii-ginza	おいしい銀座	22	両方欠
shigurui	シグルイ	22	説明欠
road-2011	覇-LORD	22	説明欠
shinyaku-kyojin-no-hoshi-hanagata	新約「巨人の星」 花形	22	説明欠
shinryaku-ikamusume	侵略!イカ娘	22	説明欠
seitokai-yakuindomo	生徒会役員共	22	説明欠
sei-onii-san	聖☆おにいさん	22	説明欠
shimauma	シマウマ	22	説明欠
souta-no-houchou-special	蒼太の包丁 special	22	両方欠
