slug	title	have	max	miss	ratio	missing
charenjaazu	チャレンジャーズ	3	4	1	0.75	3
purodeyuusaa-ni-naritai	プロデューサーになりたい	3	4	1	0.75	2
goukaku-kigan	合格祈願	3	4	1	0.75	3
miboujin-wa-ogenkijirushi	未亡人はお元気印	3	4	1	0.75	1
dekirukana	できるかな	3	4	1	0.75	2
cinema	シネマ	3	4	1	0.75	3
medarot-2	メダロット2	3	4	1	0.75	1
la-blue-girl	ラ・ブルー・ガール	3	4	1	0.75	2
saishinban-heisei-tensai-bakabon	最新版平成天才バカボン	3	4	1	0.75	1
kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	3	4	1	0.75	1
the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	3	4	1	0.75	2
sky-high	スカイハイ	3	4	1	0.75	3
hitman-go-go	ヒットマンgo!go!	3	4	1	0.75	3
eguchi-hisashi-jump-works	江口寿史JUMP WORKS	3	4	1	0.75	1
higurashi-no-naku-koro-ni-himatsubushihen	ひぐらしのなく頃に 暇潰し編	3	4	1	0.75	3
omakase-spirits	おまかせ精霊	3	4	1	0.75	1
muse-no-gakuen-de-aou	ミューズの学園で逢おう	3	4	1	0.75	3
young-shima-kousaku-shuninhen	ヤング島耕作 主任編	3	4	1	0.75	1
rikei-kun	理系クン	3	4	1	0.75	3
tales-of-vesperia-4-koma-kings	テイルズオブヴェスペリア4コマKINGS	3	4	1	0.75	3
negative-twin-tower	ネガティブ・ツインタワー!	3	4	1	0.75	3
gekiga-kachikujin-yapuu	劇画家畜人ヤプー	3	4	1	0.75	1
boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	3	4	1	0.75	1
shin-mimibukuro-kaidan-hyakumonogatari	新耳袋 怪談百物語	3	4	1	0.75	1
ribbon-no-kishi-nakayoshi-orijinaruban-fukkoku-daizenshuu	リボンの騎士 ≪なかよしオリジナル版≫ 復刻大全集	3	4	1	0.75	2
crew-de-gozaimasu	CREWでございます!	3	4	1	0.75	2
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	3	4	1	0.75	1
deadpool-samurai-sano-2021	デッドプール:SAMURAI	3	4	1	0.75	3
linkman	リンクマン	3	4	1	0.75	1
amakute-atsukute-iki-mo-dekinai	甘くて熱くて息もできない	3	4	1	0.75	3
hate-my-mia	Hate my Mia!	3	4	1	0.75	1
kojirase-kare-no-dekiai-ga-omosugimasu	こじらせ彼の溺愛が重すぎます!	3	4	1	0.75	3
wotaku-douryou-to-gisou-kekkon-shita-kekka-mainichi-ga-metcha-tanoshiin-dakedo	オタク同僚と偽装結婚した結果、毎日がメッチャ楽しいんだけ	3	4	1	0.75	3
kifujin-rooza-wa-kage-kara-ai-o-mimamoritai	貴腐人ローザは陰から愛を見守りたい	3	4	1	0.75	3
onnanoko-no-mayu	おんなのこのまゆ	3	4	1	0.75	3
doku-doku-mori-mori	どく・どく・もり・もり	3	4	1	0.75	3
nekomata-to-asagohan	ねこまたとあさごはん	3	4	1	0.75	1
cuddle	カドル	3	4	1	0.75	3
potion-danomi-de-ikinobimasu-zoku	ポーション頼みで生き延びます!続	3	4	1	0.75	3
taishou-shinkon-roman	大正新婚浪漫	3	4	1	0.75	3
imouto-wa-kanojo-ni-dekinai-noni	妹はカノジョにできないのに	3	4	1	0.75	3
