slug	title	top_prefix	top_n	minority	total
fushidarana-hanatsumi-otoko	ふしだらな花摘み男	86657	2	"{""86134"": 1}"	3
hot-pet-clinic	ほっと・ペットクリニック	09	2	"{""7780"": 1}"	3
honoka-level-up	ほのかLv.アップ!	8402	3	"{""04"": 1}"	4
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	86423	4	"{""88741"": 1}"	5
boku-no-songokuu	ぼくの孫悟空	06	11	"{""253"": 1}"	12
bokura-ha-minna-ndeiru	ぼくらはみんな*んでいる	7575	2	"{""301"": 1}"	3
makkana-ningenzou	まっかな人間像	257	2	"{""08"": 1}"	3
masshiroke	まっしろけ	7577	2	"{""04"": 1}"	3
maboroshi-tantei	まぼろし探偵	87120	6	"{""89800"": 1}"	7
mayo-chiki	まよチキ!	8401	6	"{""04"": 1}"	7
mangamichi	まんが道	12	39	"{""7780"": 1}"	40
mandaraya-no-ryouta	まんだら屋の良太	19	8	"{""408"": 1}"	9
mikio-to-mikio	みきおとミキオ	09	2	"{""12"": 1}"	3
mugyu-hagu-dakede-iki-sou	むぎゅ…ハグだけでイキそう!?	910429	3	"{""907203"": 1}"	4
mekurumeku	めくるめく	86127	3	"{""8000"": 1}"	4
megenai-hiyokko-seireishi	めげない!ひよっこ精霊士	89425	2	"{""7986"": 1}"	3
mezase-hero	めざせhero!	8352	2	"{""86263"": 1}"	3
mezase-gouka-kyakusen	めざせ豪華客船!!	7575	6	"{""301"": 1}"	7
mofutto-camp	もふっとキャンプ	910352	4	"{""86791"": 1}"	5
monresu	もんれす	89637	3	"{""86716"": 1}"	4
yasashii-akuma	やさしい悪魔	253	11	"{""06"": 1}"	12
yata-momo	やたもも	8019	2	"{""8124"": 1}"	3
yabu-to-hanamomo	やぶとはなもも	06	2	"{""344"": 1}"	3
yarinaoshi-akuyaku-reijou-wa-osanai-otouto-tenshi-o-dekiai-shimasu-comic	やり直し悪役令嬢は、幼い弟〈天使〉を溺愛します@comic	86699	2	"{""86794"": 1}"	3
yarinaoshi-tensei-reijou-wa-zamaa-shitai-noni-dekiai-dekiaisareru	やり直し転生令嬢はざまぁしたいのに溺愛される	8242	2	"{""89199"": 1}"	3
yuube-wa-otanoshimi-deshitane	ゆうべはお楽しみでしたね	7575	11	"{""301"": 1}"	12
yutonoto	ゆとのと	909767	3	"{""908588"": 1}"	4
yuniiru	ゆにいる	8124	2	"{""8019"": 1}"	3
yuru-fuwa-nouka-no-mojibake-skill	ゆるふわ農家の文字化けスキル	7575	6	"{""301"": 1}"	7
yuuri-chan-wa-namaiki-zakari	ゆーりちゃんはナマイキざかり!!	86468	5	"{""86805"": 1}"	6
yokke-kazoku	よっけ家族	8019	5	"{""8124"": 1}"	6
ruriiro-princess	るり色プリンセス	408	4	"{""8342"": 1}"	5
wagamama-diy	わがままDIY	8443	2	"{""295"": 1}"	3
watashi-no-shiawasena-kekkon	わたしの幸せな結婚	7575	5	"{""301"": 1}"	6
ware-wa-kenou	われは剣王っ!!	8402	2	"{""04"": 1}"	3
idol-liberty	アイドリバティ	86468	5	"{""86805"": 1}"	6
aion-mooru-isekaiten-honjitsu-grand-open	アイヲンモール異世界店、本日グランドオープン!	86716	3	"{""89637"": 1}"	4
outer-q	アウターQ	253	2	"{""396"": 1}"	3
akademeia-no-boukensha	アカデメイアの冒険者	592	2	"{""09"": 1}"	3
assassin-cinderella	アサシン&シンデレラ	7575	4	"{""301"": 1}"	5
acid-flower	アシッド・フラワー	87734	2	"{""86436"": 1}"	3
astro-kyuudan	アストロ球団	8342	4	"{""87233"": 1}"	5
attack	アタック!!	575	10	"{""10"": 1}"	11
adoribu-tenchou-aaru	アドリブ店長R	86535	6	"{""906936"": 1}"	7
adolf-ni-tsugu	アドルフに告ぐ	16	9	"{""06"": 1}"	10
anastasia-no-ikita-kokonokakan	アナスタシアの生きた9日間	7575	2	"{""301"": 1}"	3
after-5-wa-kiss-no-ame	アフター5はkissの雨	8352	6	"{""88271"": 1}"	7
apollo-no-uta	アポロの歌	06	4	"{""253"": 1}"	5
amazon-baby	アマゾンベビイ	88991	2	"{""253"": 1}"	3
alabaster	アラバスター	06	3	"{""253"": 1}"	4
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	7575	15	"{""301"": 1}"	16
arion	アリオン	12	4	"{""901819"": 1}"	5
arinko-no-uta	アリンコの歌	87648	2	"{""8342"": 1}"	3
arekusandaa-eiyuu-senki	アレクサンダー英雄戦記	06	2	"{""7580"": 1}"	3
under	アンダー	09	2	"{""15"": 1}"	3
unbalance-2	アンバランス×2	86032	9	"{""7992"": 1}"	10
yes-professor	イエス、プロフェッサー	04	2	"{""02"": 1}"	3
ikenai-koto-kai	イケナイコトカイ	88271	2	"{""7767"": 1}"	3
ijime-wa-akuma-no-shogyou-desu-maria-no-danzai-mokushiroku	イジメは悪魔の所業です!	7575	2	"{""301"": 1}"	3
iyahayanantomo	イヤハヤ南友	257	4	"{""594"": 1}"	5
uizaadorii-gaiden	ウィザードリィ外伝	7966	2	"{""88063"": 1}"	3
ultima	ウルティマ	88063	2	"{""7966"": 1}"	3
ultra-seven	ウルトラセブン	257	2	"{""7759"": 1}"	3
ultra-heaven	ウルトラヘヴン	7577	2	"{""04"": 1}"	3
ultraman-g	ウルトラマンG	86468	20	"{""86805"": 1}"	21
earise	エアリセ	8402	3	"{""04"": 1}"	4
emerging	エマージング	06	4	"{""8458"": 1}"	5
emerald-no-kaizoku	エメラルドの海賊	592	2	"{""253"": 1}"	3
erarii-queen-no-bouken	エラリー・クイーンの冒険	04	2	"{""257"": 1}"	3
eriotto-hitori-asobi	エリオットひとりあそび	08	2	"{""15"": 1}"	3
elite	エリート	257	2	"{""7759"": 1}"	3
elf-17	エルフ・17	592	7	"{""86176"": 1}"	8
ouru-naito	オウルナイト	7575	5	"{""301"": 1}"	6
ota-share	オタシェア!	86657	3	"{""86134"": 1}"	4
odd-taxi	オッドタクシー	86529	4	"{""09"": 1}"	5
obaike-mirai-annaisho	オバイケ未来案内所	301	2	"{""7575"": 1}"	3
obake	オバケ	06	2	"{""334"": 1}"	3
obatalian	オバタリアン	88475	2	"{""8124"": 1}"	3
omega-syndrome	オメガ・シンドローム	86297	3	"{""86717"": 1}"	4
omorai-kun	オモライくん	8124	2	"{""7966"": 1}"	3
orion-street	オリオン街	86176	5	"{""902314"": 1}"	6
orange-delivery	オレンジでりばりぃ	86176	3	"{""902314"": 1}"	4
on-site	オンサイト!	06	2	"{""635"": 1}"	3
online-no-hitsujitachi	オンラインの羊たち	9910335	2	"{""86468"": 1}"	3
ooi-yamabiko	オーイ!!やまびこ	620	6	"{""06"": 1}"	7
all-naito-live	オールナイトライブ	7577	5	"{""7572"": 1}"	6
aurora-housoukyoku	オーロラ放送局	05	2	"{""257"": 1}"	3
kasumi-den-zen	カスミ伝 〔○全〕	7577	2	"{""06"": 1}"	3
katakoi-canon	カタコイ・カノン	8019	2	"{""8124"": 1}"	3
kanojo-no-imouto-to-kiss-o-shita	カノジョの妹とキスをした。	7575	2	"{""301"": 1}"	3
coming-home	カミング・ホーム	87287	3	"{""7767"": 1}"	4
chameleon-wa-tenohira-ni-koi-o-suru	カメレオンはてのひらに恋をする。	7575	3	"{""301"": 1}"	4
karikura	カリクラ	06	2	"{""87233"": 1}"	3
kantorii-tsuushinbo	カントリー通信簿	87287	2	"{""7767"": 1}"	3
carnival	カーニバル	08	2	"{""06"": 1}"	3
gakuran-hachinengumi	ガクラン八年組	06	11	"{""8458"": 1}"	12
gakuran-hourouki	ガクラン放浪記	8211	5	"{""916085"": 1}"	6
gum-gum-punch	ガムガムパンチ	09	2	"{""06"": 1}"	3
girly-hypers	ガーリーハイパーズ	7966	2	"{""396"": 1}"	3
girls-ando-panzer-motto-raburabu-sakusen-desu	ガールズ&パンツァーもっとらぶらぶ作戦です!	04	24	"{""8401"": 1}"	25
girls-und-panzer	ガールズ＆パンツァー	8401	3	"{""04"": 1}"	4
kiss-ariki	キスアリキ。	7997	2	"{""86263"": 1}"	3
kyattsuai	キャッツ❤アイ	08	28	"{""10"": 1}"	29
captain-ken	キャプテンKen	06	2	"{""09"": 1}"	3
kyouhaku-dogguzu	キョウハクDOG'S	04	6	"{""8402"": 1}"	7
giratsuki-joushi-to-gisou-kekkon	ギラつき上司と偽装結婚!?	909699	5	"{""911186"": 1}"	6
queens-game	クインズゲーム	8124	2	"{""8019"": 1}"	3
kuma-to-usagi-wa-tomodachi-dewa-irarenai	クマとウサギは友達ではいられない	301	2	"{""7575"": 1}"	3
kurebatesu	クレバテス	04	11	"{""86697"": 1}"	12
gravitation	グラビテーション	7897	11	"{""344"": 1}"	12
guranpuri-tengoku	グランプリ天国	7796	4	"{""89107"": 1}"	5
kekkoona-otemae-desu	ケッコーなお手前です。	8000	2	"{""86127"": 1}"	3
kemonoshima	ケモノシマ	04	2	"{""8401"": 1}"	3
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	06	2	"{""09"": 1}"	3
getter-robo-gou	ゲッターロボ號	575	8	"{""19"": 1}"	9
koi-kano-x-ai-kano	コイカノ×アイカノ	8124	2	"{""8019"": 1}"	3
kokurikozaka-kara	コクリコ坂から	19	4	"{""04"": 1}"	5
kosu-puri	コスプリ!	7973	2	"{""593"": 1}"	3
kodoku-experiment	コドク・エクスペリメント	344	7	"{""7897"": 1}"	8
coyote	コヨーテ	86657	3	"{""86134"": 1}"	4
corpse-party-book-of-shadows	コープスパーティーBook of Shadows	8401	2	"{""04"": 1}"	3
corpse-party-another-child	コープスパーティーanother child	8000	2	"{""86127"": 1}"	3
goku	ゴクウ	7962	8	"{""06"": 1}"	9
gokudoo-kun-manyuuki	ゴクドーくん漫遊記	8402	2	"{""07"": 1}"	3
goblin-slayer-gaiden	ゴブリンスレイヤー外伝	7575	13	"{""301"": 1}"	14
saigoo-san-no-shiawase	サイゴーさんの幸せ	403	2	"{""15"": 1}"	3
sakamoto	サカモト	8124	2	"{""10"": 1}"	3
sobakistan	サバキスタン	910352	3	"{""86791"": 1}"	4
zako-hime-sama-wa-ikinobitai	ザコ姫さまは生きのびたい!	7575	3	"{""301"": 1}"	4
the-bokusaa	ザ・ボクサー	8211	2	"{""08"": 1}"	3
shieadan	シェア男!!	909767	3	"{""908588"": 1}"	4
shinohayu	シノハユ	7575	18	"{""301"": 1}"	19
shibusugi-gijutsu-ni-otokonaki	シブすぎ技術に男泣き!	8061	3	"{""04"": 1}"	4
sherlock-holmes-no-bouken	シャーロック・ホームズの冒険	257	3	"{""02"": 1}"	4
charlotte-totsuki-2024	シャーロット	7575	3	"{""301"": 1}"	4
sugar	シュガー	253	9	"{""8458"": 1}"	10
shumari	シュマリ	04	6	"{""06"": 1}"	7
shota-oni	ショタおに	7575	6	"{""301"": 1}"	7
shiitondoubutsuki	シートン動物記	09	2	"{""01"": 1}"	3
shiibasu-1-2-3	シーバス1-2-3	07	5	"{""8402"": 1}"	6
coelacanth-romance	シーラカンス・ロマンス	7926	2	"{""16"": 1}"	3
gerard-to-jack	ジェラールとジャック	8352	2	"{""592"": 1}"	3
jahy-sama-wa-kujikenai	ジャヒー様はくじけない!	7575	11	"{""301"": 1}"	12
japonizumu-47	ジャポニズム47	86263	2	"{""7997"": 1}"	3
janna	ジャンナ	09	2	"{""257"": 1}"	3
jun-ishinomori-2003	ジュン	7808	4	"{""8401"": 1}"	5
sky-blue-e-youkoso	スカイブルーへようこそ	08	2	"{""06"": 1}"	3
sukaruman	スカルマン	8401	4	"{""7780"": 1}"	5
scrap-gakuen	スクラップ学園	253	5	"{""8354"": 1}"	6
stardust-memories	スターダストメモリーズ	7962	2	"{""09"": 1}"	3
slime-taoshite-300-nen-shiranai-uchi-ni-level-max-ni-nattemashita	スライム倒して300年、知らないうちにレベルmaxになってました	7575	16	"{""301"": 1}"	17
thrill-hakase	スリル博士	06	2	"{""591"": 1}"	3
sledge	スレッジ	592	2	"{""257"": 1}"	3
super-no-ura-de-yani-suu-futari	スーパーの裏でヤニ吸うふたり	7575	7	"{""301"": 1}"	8
super-robot-taisen-og-dibain-wars-record-of-atx	スーパーロボット大戦OG-ディバイン・ウォーズ-Record of ATX	04	4	"{""8402"": 1}"	5
setsuko-yamada-no-nekozanmai	セツコ・山田の猫三昧	938396	3	"{""903518"": 1}"	4
seeraafuku-doori	セーラー服通り	09	2	"{""575"": 1}"	3
sodateko	ソダテコ	8124	2	"{""8019"": 1}"	3
sonic-deserter	ソニック・デザーター	7962	2	"{""257"": 1}"	3
takako-san	タカコさん	19	5	"{""86720"": 1}"	6
takopon	タコポン	7577	2	"{""575"": 1}"	3
tanuki-to-kitsune	タヌキとキツネ	86657	8	"{""86134"": 1}"	9
dust-8	ダスト8	06	2	"{""253"": 1}"	3
dash-kappei	ダッシュ勝平	09	9	"{""7771"": 1}"	10
double-gauge	ダブルゲージ	04	5	"{""8401"": 1}"	6
dungeon-faamu	ダンジョン・ファーム	7575	3	"{""301"": 1}"	4
dance-in-za-vampire-bund-sledge-hammer-no-tsuioku	ダンスインザヴァンパイアバンドスレッジ・ハマーの追憶	8401	2	"{""86472"": 1}"	3
dante-no-mon	ダンテの門	7572	3	"{""7577"": 1}"	4
dandori-kun	ダンドリくん	480	2	"{""575"": 1}"	3
charenjaazu	チャレンジャーズ	592	2	"{""87724"": 1}"	3
champ	チャンプ	8342	2	"{""08"": 1}"	3
tales-of-xillia-side-mira	テイルズオブエクシリアSIDE;MILLA	8401	4	"{""04"": 1}"	5
tempest-1993	テンペスト	06	2	"{""12"": 1}"	3
dethrone	ディスローン	8401	2	"{""04"": 1}"	3
death-hunter	デスハンター	257	2	"{""7759"": 1}"	3
trigun	トライガン	7859	2	"{""19"": 1}"	3
torimania	トリマニア	7575	5	"{""592"": 1}"	6
tokyo-girls-destruction	トーキョー・ガールズ・デストラクション	8000	2	"{""86127"": 1}"	3
doesu-obake-ga-nekasete-kurenai	ドSおばけが寝かせてくれない	8155	2	"{""87919"": 1}"	3
dream-gold	ドリムゴード	86127	4	"{""901926"": 1}"	5
dororon-enma-kun	ドロロンえん魔くん	12	3	"{""257"": 1}"	4
knights-murao-2006	ナイツ	8402	4	"{""04"": 1}"	5
nanawo-chiitoitsu	ナナヲチートイツ	8124	3	"{""8019"": 1}"	4
namuji	ナムジ	12	8	"{""19"": 1}"	9
nippon-hakubutsushi	ニッポン博物誌	06	2	"{""635"": 1}"	3
nyankoro-kamui	ニャンコロカムイ	8124	2	"{""8019"": 1}"	3
nyamu-way	ニャ夢ウェイ	86052	4	"{""16"": 1}"	5
nina-san-no-mahou-seikatsu	ニーナさんの魔法生活	86675	5	"{""593"": 1}"	6
neko-ja-naimon	ネコじゃないモン!	08	12	"{""8342"": 1}"	13
netoge-no-seibetsu-wa-sensaku-ng-desu	ネトゲの性別は詮索NGです!	7575	2	"{""301"": 1}"	3
netoraserare	ネトラセラレ	8019	2	"{""8124"": 1}"	3
nokemono-to-hanayome	ノケモノと花嫁	344	7	"{""908158"": 1}"	8
nora-mikuriya-2000	ノーラ	257	2	"{""8401"": 1}"	3
hi-score-girl-dash	ハイスコアガールdash	7575	7	"{""301"": 1}"	8
happy-days	ハッピーデイズ	06	2	"{""12"": 1}"	3
hanako-lavatory	ハナコ@ラバトリー	86176	2	"{""04"": 1}"	3
harenchi-gakuen	ハレンチ学園	09	6	"{""19"": 1}"	7
hundred-handles-handling-the-world	ハンドレッドハンドルズハンドリングザ・ワールド	86468	2	"{""86805"": 1}"	3
hard-line	ハードライン	88271	7	"{""8352"": 1}"	8
bio-hunter	バイオ・ハンター	7962	2	"{""7897"": 1}"	3
babelheim-no-shounin	バベルハイムの商人	8000	4	"{""86127"": 1}"	5
vampire-hunter-d	バンパイアハンターD	8401	7	"{""04"": 1}"	8
birth	バース	7897	5	"{""7962"": 1}"	6
baatoretto-eiyuu-tan	バートレット英雄譚	89199	3	"{""8242"": 1}"	4
pachisuro-de-atta-zenbu-umai-hanashi	パチスロであった全部旨い話	86191	9	"{""89367"": 1}"	10
pachisuro-yancha-gaiden	パチスロやんちゃ外伝	915450	3	"{""86298"": 1}"	4
pachislo-diohead	パチスロダイオヘッド	89367	2	"{""86191"": 1}"	3
puppet-in-the-city	パペット・イン・ザ・シティ	910526	2	"{""86846"": 1}"	3
paradise-view	パラダイス・ビュー	7997	2	"{""04"": 1}"	3
paranoia-street	パラノイアストリート	88991	2	"{""8401"": 1}"	3
perman	パーマン	09	13	"{""12"": 1}"	14
hittoraa-no-musuko	ヒットラーの息子	86225	2	"{""19"": 1}"	3
hyakko	ヒャッコ	7973	6	"{""593"": 1}"	7
begin-the-beguine	ビギン・ザ・ビギン	267	4	"{""391"": 1}"	5
pieta	ピエタ	592	2	"{""575"": 1}"	3
pink-chan-v	ピンクちゃんV	88653	2	"{""88332"": 1}"	3
pinup-baby	ピンナップ・ベイビー	403	2	"{""575"": 1}"	3
fire-emblem-1993	ファイアーエムブレム	7962	2	"{""7966"": 1}"	3
fire-emblem-fuyuki-1999	ファイアーエムブレム	7575	4	"{""87025"": 1}"	5
fundamental	ファンダメンタル	8458	2	"{""10"": 1}"	3
fiariiburuu-no-densetsu	フィアリーブルーの伝説	253	2	"{""575"": 1}"	3
fairy-tail-chronicle	フェアリーテイル・クロニクル	86657	7	"{""04"": 1}"	8
fenrir-kaa-san-to-attaka-gohan-attomaaku-comic	フェンリル母さんとあったかご飯@COMIC	86699	2	"{""86472"": 1}"	3
fukashigi-philia	フカシギフィリア	86127	2	"{""8000"": 1}"	3
fushinokami	フシノカミ	8240	9	"{""86554"": 1}"	10
boogiepop-wa-warawanai	ブギーポップは笑わない	8402	2	"{""04"": 1}"	3
butafiinu-san	ブタフィーヌさん	902516	6	"{""344"": 1}"	7
black-jack	ブラック・ジャック	253	41	"{""06"": 1}"	42
black-madougushi-guild-o-tsuihousareta-sareta-watashi-oukyuu-majutsushi-to-shite-hirowareru	ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる	7575	4	"{""301"": 1}"	5
blattodea	ブラトデア	7575	7	"{""301"": 1}"	8
brafman	ブラフマン	86176	4	"{""902314"": 1}"	5
burunga1sei	ブルンガ1世	06	2	"{""253"": 1}"	3
blue-city	ブルーシティー	334	2	"{""7962"": 1}"	3
brutal-satsujin-keisatsukan-no-kokuhaku	ブルータル殺人警察官の告白	8019	4	"{""86720"": 1}"	5
blue-hole	ブルーホール	06	5	"{""7962"": 1}"	6
break-age	ブレイク-エイジ	7572	9	"{""7577"": 1}"	10
purogorufaa-saru	プロゴルファー猿	12	17	"{""8458"": 1}"	18
hellhound-2018	ヘルハウンド	537	2	"{""06"": 1}"	3
peppaaminto-monogatari	ペッパーミント物語	89393	2	"{""8342"": 1}"	3
hotel	ホテル	09	57	"{""07"": 1}"	58
horror-joyuu-ga-tensai-koyaku-ni-tensei-shimashita	ホラー女優が天才子役に転生しました	7575	5	"{""301"": 1}"	6
boku-wa-shitataka-kun	ボクはしたたか君	08	4	"{""8342"": 1}"	5
poison-girl	ポイズンガール	8019	2	"{""8124"": 1}"	3
pokemon-card-ni-natta-wake	ポケモンカードになったワケ	88991	5	"{""8401"": 1}"	6
potion-wa-160km-h-de-nageru-mono	ポーションは160km/hで投げるモノ!～アイテム係の俺が万能回復薬を投擲することで最強の冒険者に成り上がる!?～@COMIC	86699	2	"{""86794"": 1}"	3
minus-ondo-no-serenade	マイナス温度のセレナーデ	593	2	"{""86675"": 1}"	3
magical-dynamite-tour	マジカル・ダイナマイト・ツアー	257	2	"{""592"": 1}"	3
mazinger-z	マジンガーZ	06	8	"{""575"": 1}"	9
matagi-rendetsu	マタギ列伝	12	5	"{""06"": 1}"	6
maraya	マラヤ	07	3	"{""8402"": 1}"	4
marry-go-round	マリーゴーラウンド	7575	2	"{""301"": 1}"	3
marii-antoinette-no-ryourinin	マリー・アントワネットの料理人	08	2	"{""8458"": 1}"	3
mangakenkanryuu	マンガ嫌韓流	88380	3	"{""86391"": 1}"	4
manga-genji-monogatari-1987	マンガ源氏物語	582	2	"{""06"": 1}"	3
maagaretto-to-goshujin-no-sokonuke-chindouchuu	マーガレットとご主人の底抜け珍道中	09	5	"{""15"": 1}"	6
miko-himiko	ミコ・ヒミコ	09	2	"{""12"": 1}"	3
misu-misou	ミスミソウ	8211	2	"{""575"": 1}"	3
midnight-dimension	ミッドナイトディメンション	8342	2	"{""253"": 1}"	3
mutant-turtles-classic-collection	ミュータントタートルズクラシックコレクション	910416	3	"{""911348"": 1}"	4
murikon	ムリ婚。	910582	2	"{""909460"": 1}"	3
medical-cd	メディカルCD	253	2	"{""8211"": 1}"	3
moko-to-yuganda-satsujinkidomo	モコと歪んだ殺人鬼ども	04	4	"{""8401"": 1}"	5
mojakou	モジャ公	09	2	"{""12"": 1}"	3
mosukuwa-2160	モスクワ2160	7575	3	"{""301"": 1}"	4
mononoke	モノノ怪	19	2	"{""7575"": 1}"	3
mob-douzen-no-akuyaku-reijou-wa-dansou-shite-kouryaku-taishou-no-za-o-comic	モブ同然の悪役令嬢は男装して攻略対象の座を狙う@COMIC	86794	2	"{""86699"": 1}"	3
monster-ga-afureru-sekai-ni-nattanode-suki-ni-ikitai-to-omoimasu	モンスターがあふれる世界になったので、好きに生きたいと思います	7575	13	"{""301"": 1}"	14
monster-and-ghost	モンスターアンドゴースト	86787	2	"{""86123"": 1}"	3
monty-paradise	モンティパラダイス	86468	2	"{""86805"": 1}"	3
yome-san-wa-moe-mangaka	ヨメさんは萌え漫画家	8000	2	"{""86127"": 1}"	3
rising-1995	ライジング!!	257	4	"{""391"": 1}"	5
live-machine	ライブマシーン	575	2	"{""86225"": 1}"	3
last-continent	ラスト・コンチネント	88570	2	"{""344"": 1}"	3
rapper-ni-kamaretara-rapper-ni-naru-manga	ラッパーに噛まれたらラッパーになる漫画	908588	2	"{""909767"": 1}"	3
ramen-daisuki-koizumi-san-narumi-2014	ラーメン大好き小泉さん	8019	10	"{""8124"": 1}"	11
little-busters-the-4-koma	リトルバスターズ!The 4コマ	04	3	"{""8402"": 1}"	4
reworld-frontier-comic	リワールド・フロンティア@COMIC	86699	2	"{""86472"": 1}"	3
ring-1996	リング	06	2	"{""04"": 1}"	3
lucifer	ルシフェル	06	2	"{""575"": 1}"	3
ruby-onza-cake	ルビー・オンザ・ケーキ	7575	2	"{""301"": 1}"	3
ruberia-oukoku-monogatari	ルベリア王国物語	8240	3	"{""86554"": 1}"	4
ludwig-b	ルードウィヒ・B	267	3	"{""06"": 1}"	4
loop-7-kaime-no-akuyaku-reijou-wa-mototekikoku-de-jiyuu-kimama-na-hanayome-seikatsu-o-mankitsu-suru	ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する	8240	7	"{""86554"": 1}"	8
rule-ihan-wa-asa-made-eichi	ルール違反は朝までH!?	909699	4	"{""911186"": 1}"	5
lettuce-burger-please-ok-ok	レタスバーガープリーズ.OK,OK!	08	10	"{""309"": 1}"	11
ressuru-ji-andaaguraundo	レッする!ジ・アンダーグラウンド	7992	3	"{""86032"": 1}"	4
red-beryl-ni-sayonara	レッドべリルにさよなら	86657	2	"{""86134"": 1}"	3
lady-q	レディーQ	575	2	"{""537"": 1}"	3
level-0-no-maou-sama-isekai-de-boukensha-o-hajimemasu	レベル0の魔王様、異世界で冒険者を始めます	7575	6	"{""301"": 1}"	7
level-1-no-saikyou-kenja	レベル1の最強賢者	89199	4	"{""8242"": 1}"	5
remushiita-bureibusu-online-slow-life-ni-akogareru-ore-no-mamanaranai-vuiaaru-boukenki-attomaaku	レムシータ・ブレイブス・オンライン～スローライフに憧れる俺のままならないVR冒険記～@COMIC	86699	2	"{""86472"": 1}"	3
rockman-8	ロックマン8	06	2	"{""8354"": 1}"	3
robin	ロビン	7973	2	"{""593"": 1}"	3
robomusume-no-aakitekucha	ロボ娘のアーキテクチャ	8124	3	"{""8019"": 1}"	4
rose-x-marie	ローズ×マリー	86032	2	"{""7992"": 1}"	3
loafer-loafer	ローファー・ローファー	08	2	"{""12"": 1}"	3
wakaru-tori	ワカルトリ	909767	2	"{""86697"": 1}"	3
watari	ワタリ	09	10	"{""06"": 1}"	11
wonderful-life-kiyohara-1996	ワンダフルライフ	08	2	"{""15"": 1}"	3
one-room-wanko	ワンルームワンコ	86675	3	"{""593"": 1}"	4
uaruna-collection	ヴァルナ・コレクション	253	2	"{""08"": 1}"	3
uanpaia-savior-tamashii-no-mayoigo	ヴァンパイアセイヴァー魂の迷い子	7575	4	"{""87025"": 1}"	5
hitori-camp-shitara-isekai-ni-teni-shita-hanashi	一人キャンプしたら異世界に転移した話	575	4	"{""8156"": 1}"	5
isshukuippan	一宿一飯	12	2	"{""06"": 1}"	3
mannen-dranku-no-chuunen-boukensha-yotta-ikioi-de-densetsu-no-ken-o-hikkonuku	万年Dランクの中年冒険者、酔った勢いで伝説の剣を引っこ抜く	7575	11	"{""301"": 1}"	12
sangoku-rensenki-otome-no-heihou	三国恋戦記 オトメの兵法!	8000	3	"{""86127"": 1}"	4
uewoshitahenojiretta	上を下へのジレッタ	06	3	"{""16"": 1}"	4
shitamachi-tekkoujo-funtouki-natsu-chan-toukyouhen	下町鉄工所奮闘記ナッちゃん東京編	08	21	"{""8342"": 1}"	22
fuchin-senkan-kii	不沈戦艦紀伊	05	7	"{""8149"": 1}"	8
sekainorekishi	世界の歴史	12	7	"{""08"": 1}"	8
sekai-no-owari-niwa-kimi-to-isshokenmei-ni	世界の終わりには君と一緒に	391	2	"{""396"": 1}"	3
sekai-seifuku-children	世界征服チルドレン	7577	2	"{""04"": 1}"	3
sewa-ga-yakemasu-haadesu-sama	世話がやけますハーデス様	86715	2	"{""86176"": 1}"	3
kawaite-sourou	乾いて候	88315	7	"{""86225"": 1}"	8
nido-tensei-shounen-wa-s-rank-boukensha-to-shite-heion-ni-sugosu	二度転生した少年はSランク冒険者として平穏に過ごす	7575	9	"{""301"": 1}"	10
ningendomo-atsumare	人間ども集まれ!	06	3	"{""16"": 1}"	4
ningen-shikkaku-ito-2010	人間失格	05	2	"{""10"": 1}"	3
kyou-mo-tsukiyo-ni-kimi-no-meshi	今日も月夜に君のめし	86846	2	"{""910526"": 1}"	3
butsuzou-no-machi	仏像のまち	8401	3	"{""04"": 1}"	4
shitomeya-kagyou-asami	仕留屋稼業あさみ	8211	5	"{""86704"": 1}"	6
iga-no-kagemaru	伊賀の影丸	253	18	"{""06"": 1}"	19
kyuujitsu-no-warumono-san	休日のわるものさん	7575	7	"{""301"": 1}"	8
kaisha-to-shiseikatsu	会社と私生活	7575	4	"{""301"": 1}"	5
shuugaku-ryokou-satsujin-jiken	修学旅行殺人事件	06	2	"{""8211"": 1}"	3
shuudoushi-falco	修道士ファルコ	253	5	"{""592"": 1}"	6
ore-janee-to-dame-na-kuseni	俺じゃねぇとダメなくせに	909699	2	"{""911186"": 1}"	3
ore-nimo-kure	俺にもくれ	09	2	"{""916085"": 1}"	3
ore-no-zense-no-chishiki-de-teihenshoku-tamer-ga-joukyuushoku-ni-natte-shimaisou-na-ken	俺の前世の知識で底辺職テイマーが上級職になってしまいそうな件	8240	9	"{""86554"": 1}"	10
ore-no-genjitsu-wa-love-game-ka-to-omottara-inochigake-no-game-datta	俺の現実は恋愛ゲーム??-かと思ったら命がけのゲームだった	7575	21	"{""301"": 1}"	22
ore-wa-boukensha-guild-no-akutoku-guild-master	俺は冒険者ギルドの悪徳ギルドマスター	7575	2	"{""301"": 1}"	3
ore-wa-kage-no-eiyuu-ja-arimasen	俺は影の英雄じゃありません!	7575	2	"{""301"": 1}"	3
ore-alice	俺アリス	8401	2	"{""04"": 1}"	3
kenzen-love-life	健全恋愛ライフ	8211	2	"{""396"": 1}"	3
