slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
seishun-kijinden-240-o-gakuen	青春奇人伝!240学園	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784065101193"}
sengoku-jieitai-2014	戦国自衛隊	standard	[1, 2]	[3, 4]	1	RECOVERABLE	{"1": "9784845846689", "2": "9784845846696"}
shii-chan-to-mitsu-chan	しーちゃんとみっちゃん	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784088643106"}
shippo-ga-tomodachi	シッポがともだち	bunkobon	[1]	[2, 3, 4]	1	RECOVERABLE	{"1": "9784087850239"}
shitou-sensen-iiekkusu	死島戦線EX	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784063958164"}
silent-m-bius	サイレントメビウス	bunkobon	[1, 2]	[3, 4, 5, 6, 7, 8]	1	RECOVERABLE	{"1": "9784821171101", "2": "9784821171439"}
sugar	シュガー	standard	[1, 2, 3, 4, 5, 6]	[7]	1	RECOVERABLE	{"1": "9784253017145", "2": "9784253017152", "3": "9784253017169", "4": "9784253017176", "5": "9784253017183", "6": "9784253017190"}
suikoden-2000	水滸伝	standard	[1, 2, 3]	[4, 5]	1	RECOVERABLE	{"1": "9784845840960", "2": "9784122036062", "3": "9784122036239"}
suimeikyuu	水迷宮	bunkobon	[1]	[2, 3, 4]	1	RECOVERABLE	{"1": "9784063602180"}
suna-to-iris	砂とアイリス	standard	[1]	[2, 3, 4, 5]	1	RECOVERABLE	{"1": "9784087825190"}
syd-lid	Syd ＆ Lid	bunkobon	[1]	[2, 3, 4, 5]	1	RECOVERABLE	{"1": "9784344824218"}
tales-of-destiny-inomata-2000	Tales of Destiny	standard	[1, 2]	[3, 4]	1	RECOVERABLE	{"1": "9784757202191", "2": "9784757203419"}
tales-of-destiny2	Tales of Destiny2	standard	[1, 2]	[3, 4]	1	RECOVERABLE	{"1": "9784757202191", "2": "9784757203419"}
tama-sensei-ni-kike	たま先生に訊け!	bunkobon	[1]	[2]	1	RECOVERABLE	{"1": "9784575294064"}
tasokare-no-yume	たそかれの夢	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784088590592"}
teida-neenee	太陽娘	standard	[1]	[2, 3]	2	RECOVERABLE	{"1": "9784821171422"}
tempest-1993	テンペスト	bunkobon	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784122029095", "2": "9784063175875"}
tenkuu-shinpan	天空侵犯	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[15, 16, 17, 18, 19, 20, 21]	1	RECOVERABLE	{"1": "9784063769791", "2": "9784063770568", "3": "9784063771114", "4": "9784063771909", "5": "9784063772920", "6": "9784063773491", "7": "9784063774221", "8": "9784063774610", "9": "9784063774993", "10": "9784063930733", "11": "9784063931372", "12": "9784063931877", "13": "9784065100288", "14": "9784065102626"}
tenshi-no-omou-tsubo	天使の思う壺	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784334780661", "2": "9784334780678"}
tezuka-osamu-manga-zenshuu-mishuuroku-sakuhinshuu	手塚治虫漫画全集未収録作品集	bunkobon	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784063738940"}
tim-tim-circus	ティム・ティム・サーカス	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784122027916"}
tomodachi-nannin-nakusukana	ともだちなんにんなくすかな	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784088642673"}
trinity-seven	トリニティセブン	standard	[1]	[2, 3, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]	6	RECOVERABLE	{"1": "9784047127371"}
uchuusen-red-shark	宇宙船レッドシャーク	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063608458"}
umi-no-ouji-2009	海の王子	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784091434166"}
unchiku-manga	蘊蓄漫画	bunkobon	[1]	[2]	1	RECOVERABLE	{"1": "9784120021923"}
v8-kid	V8キッド	standard	[1]	[2, 3, 4, 5]	1	RECOVERABLE	{"1": "9784063216097"}
w3	W3	aizoban	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784061087392", "2": "9784061087408"}
watashi-no-kyoufutaiken	宜保愛子の私の恐怖体験	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063193428"}
watashi-o-tsuki-made-tsuretette	私を月まで連れてって!	aizoban	[1]	[2]	1	RECOVERABLE	{"1": "9784120021060"}
with-2000	ウィズ	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784063258998"}
yamafuji-shouji-no-black-anguru	山藤章二のブラック=アングル	standard	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	2	RECOVERABLE	{"1": "9784101237022"}
young-shima-kousaku-shuninhen	ヤング島耕作 主任編	standard	[1]	[2, 3, 4]	2	RECOVERABLE	{"1": "9784063750317"}
yume-de-aetara-2000	夢で逢えたら	bunkobon	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 11, 12, 13, 14, 15, 16, 17]	1	RECOVERABLE	{"1": "9784840115636", "2": "9784840115643", "3": "9784840115902", "4": "9784840115919", "5": "9784840117029", "6": "9784840117036", "7": "9784840117180", "8": "9784840117197"}
yume-no-sousou	夢の葬送	standard	[1, 2, 3, 4, 5]	[6]	1	RECOVERABLE	{"1": "9784257721727"}
za-doraemonzusupesharu	ザ・ドラえもんズスペシャル	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[11, 12]	1	RECOVERABLE	{"1": "9784091493019", "2": "9784091493026", "3": "9784091493033", "4": "9784091493040", "5": "9784091493057", "10": "9784091493101"}
zero-yamazaki-2009	ZERO	bunkobon	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[11, 12, 13, 14, 15, 16]	1	RECOVERABLE	{"1": "9784091917959", "2": "9784091917966", "3": "9784091917973", "4": "9784091917980", "5": "9784091917997", "6": "9784091918000"}
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	standard	[1]	[2, 3, 4, 5]	3	SOURCE_GAP	{}
