tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	e-shanai-system-subete-wanope-shite-iru-watashi-o-kaikosareta-desu-ka	え、社内システム全てワンオペしている私を解雇ですか?	standard	4	9784391164381	2025-05	主婦と生活社	え、社内システム全てワンオペしている私を解雇ですか? 4	伊於/下城米 雪/icchi	伊於	PASH！コミックス	9784391	9784391	3
STRICT	OK	edomae-no-shun-ginzayanagisushisandaime	江戸前の旬	standard	131	9784537173338	2025-12	日本文芸社	江戸前の旬 (131)	原案：九十九 森/さとう 輝	さとう輝	ニチブンコミックス	9784537	9784537	4
STRICT	OK	eiyuu-kyoushitsu	英雄教室	standard	20	9784757594661	2024-10	スクウェア・エニックス	英雄教室(20)	新木伸/岸田こあら/森沢晴行	岸田こあら	ガンガンコミックス	9784757	9784757	5
STRICT	OK	endan-yobanashi	厭談夜話	standard	5	9784098536856	2024-11	小学館	厭談夜話(5)	夜馬裕/外本 ケンセイ	外本ケンセイ	サンデーうぇぶりコミックス	9784098	9784098	3
STRICT	OK	enkan-no-emotions	円環のエモーションズ	standard	4	9784088940311	2025-12	集英社	円環のエモーションズ 4	原田 ケンタロー/花林 ソラ	花林ソラ / 原田ケンタロー	ヤングジャンプコミックス	9784088	9784088	2
STRICT	OK	fairway-no-koe-o-kikasete	フェアウェイの声をきかせて	standard	4	9784253295291	2024-08	秋田書店	フェアウェイの声をきかせて 4	椎葉裕巳	椎葉裕巳	少年チャンピオン・コミックス	9784253	9784253	2
STRICT	OK	fool-night	フールナイト	standard	9	9784098630363	2024-09	小学館	フールナイト(9)	安田 佳澄	安田佳澄	ビッグ コミックス	9784098	9784098	1
STRICT	OK	fuchin-senkan-kii	不沈戦艦紀伊	standard	3	9784056021325	2000-06	Gakken	不沈戦艦紀伊(3)	神矢みのる	神矢みのる	歴史群像コミックス	9784056	9784056	1
STRICT	OK	fuchin-senkan-kii	不沈戦艦紀伊	standard	4	9784056023695	2001-02	Gakken	不沈戦艦紀伊(4)	神矢みのる	神矢みのる	歴史群像コミックス	9784056	9784056	1
STRICT	OK	fuku-o-kiru-nara-konna-fuu-ni	服を着るならこんなふうに	standard	16	9784041152751	2024-09	KADOKAWA	服を着るならこんなふうに (16)	縞野やえ/MB	縞野やえ		9784041	9784041	2
