slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover	max_no	seq	cov_rate
epotoransu-mai	エポトランス!舞	渡瀬悠宇	deluxe	フラワーコミックスデラックス	小学館	1	2	0.50	圧縮(豪華本)	2003-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09131886.jpg?_ex=200x200	1	OK	1/1
eroika-yori-ai-o-komete	エロイカより愛をこめて	青池保子	deluxe	プリンセスコミックス デラックス	秋田書店	15	39	0.38	圧縮(豪華本)	1995-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3447/9784253153447.jpg?_ex=300x300	15	OK	15/15
fostine	フォスティーヌ	原ちえこ	deluxe	KCデラックス	講談社	3	4	0.75	圧縮(豪華本)	1997-10-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0631/06319869.jpg?_ex=200x200	3	OK	3/3
fushigi-no-rin	ふ★し★ぎのRIN	赤石路代	deluxe	Flower comics deluxe	小学館	3	6	0.50	圧縮(豪華本)	2003-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7053/9784091347053.gif?_ex=200x200	3	OK	3/3
futari-2-omakase	2人におまかせ	八神ひろき	deluxe	KCデラックス	講談社	1	6	0.17	圧縮(豪華本)	1998-08-07	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9642/9784063339642.jpg?_ex=200x200	1	OK	1/1
futari-wa-precure-splash-star	ふたりはプリキュアスプラッシュスター	上北ふたご	deluxe	KCデラックス KCDX	講談社	1	2	0.50	圧縮(豪華本)	2006-09-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2031/9784063722031.jpg?_ex=200x200	1	OK	1/1
gaburin	ガブリン	小林まこと	deluxe	KCmimiデラックス	講談社	1	3	0.33	圧縮(豪華本)	1994-06-13	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/2459/2000003152459.jpg?_ex=300x300	1	OK	1/1
gang-king	ギャングキング	柳内大樹	deluxe		講談社	27	37	0.73	圧縮(豪華本)	2015-12-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3682/9784063773682.jpg?_ex=200x200	27	OK	27/27
gegege-no-kitarou	ゲゲゲの鬼太郎	水木しげる	deluxe	KCデラックス	講談社	9	17	0.53	圧縮(豪華本)	1996-01-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6696/9784063196696.jpg?_ex=200x200	9	OK	9/9
ghost-hunt	ゴーストハント	いなだ詩穂	deluxe	KCデラックス	講談社	5	12	0.42	圧縮(豪華本)	2026-01-26	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6304/9784065266304_1_37.jpg?_ex=200x200	5	OK	5/5
goku	ゴクウ	寺沢武一	deluxe	KC deluxe	講談社	1	4	0.25	圧縮(豪華本)	1987-10	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/7250/2000008957250.jpg?_ex=300x300	1	OK	1/1
gunkan-shounen	軍艦少年	柳内大樹	deluxe	KCデラックス	講談社	1	2	0.50	圧縮(豪華本)	2021-12-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3501/9784065263501_1_2.jpg?_ex=200x200	1	OK	1/1
gunryuuden	群竜伝	本宮ひろ志・本間正夫	deluxe	KCデラックス	講談社	3	4	0.75	圧縮(豪華本)	1998-01-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8959/9784063198959.jpg?_ex=200x200	3	OK	3/3
hadashi-no-aitsu	裸足のアイツ	高田りえ	deluxe	Flower comics deluxe	小学館	4	9	0.44	圧縮(豪華本)	2004-08	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0913/09134886.jpg?_ex=200x200	4	OK	4/4
hagane-no-renkinjutsushi	鋼の錬金術師	荒川弘	deluxe	ガンガンコミックスデラックス	スクウェア・エニックス	18	27	0.67	圧縮(豪華本)	2011-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2793/9784757532793.jpg?_ex=200x200	18	OK	18/18
haisouki	敗走記	水木しげる	deluxe	KCデラックス	講談社	1	3	0.33	圧縮(豪華本)	1991-11-22	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/2110/2000012122110.jpg?_ex=300x300	1	OK	1/1
hayou-no-ken	破妖の剣	厦門潤	deluxe		集英社	2	4	0.50	圧縮(豪華本)	1998-01-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4013/9784088624013.jpg?_ex=200x200	2	OK	2/2
high-teen-boogie	ハイティーン・ブギ	牧野和子	deluxe	Flower comics deluxe	小学館	6	26	0.23	圧縮(豪華本)	2003-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8513/9784091388513.gif?_ex=200x200	6	OK	6/6
ishi-no-hana	石の花	坂口尚	deluxe	KCデラックス	講談社	4	6	0.67	圧縮(豪華本)	2002-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6336/9784063346336.jpg?_ex=200x200	4	OK	4/4
jajaumanarashi	ジャジャ馬ならし	門地かおり	deluxe	Be-boy comics deluxe	リブレ出版	1	2	0.50	圧縮(豪華本)	2008-04-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8626/86263383.jpg?_ex=200x200	1	OK	1/1
jangurutaitei	ジャングル大帝	手塚治虫	deluxe	ノーラコミックスデラックス	学習研究社	2	4	0.50	圧縮(豪華本)	1990-01-06	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/8987/2000002958987.jpg?_ex=300x300	2	OK	2/2
japonizumu-47	ジャポニズム47	青色イリコ	deluxe	クロフネdeluxe	リブレ	1	2	0.50	圧縮(豪華本)	2017-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3295/9784799733295.jpg?_ex=200x200	1	OK	1/1
jelly-beans	ジェリービーンズ	安野モヨコ	deluxe	KCデラックス なかよしKCDX	講談社	4	5	0.80	圧縮(豪華本)	2005-10-13	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0785/9784063720785.jpg?_ex=200x200	4	OK	4/4
kachou-baka-ichidai	課長バカ一代	野中英次	deluxe	KCデラックス	講談社	3	7	0.43	圧縮(豪華本)	2002-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6053/9784063346053.jpg?_ex=200x200	3	OK	3/3
kachou-shima-kousaku	課長島耕作	弘兼憲史	deluxe	KCデラックス	講談社	8	17	0.47	圧縮(豪華本)	1998-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0129/9784063340129.jpg?_ex=200x200	8	OK	8/8
kagemusha-tokugawa-ieyasu	影武者徳川家康	原哲夫	deluxe	Bunch comics deluxe	新潮社	4	7	0.57	圧縮(豪華本)	2009-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1077/10771520.jpg?_ex=200x200	4	OK	4/4
