verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:小田三月|name:極愛!!	極愛!!	1	2026-06-08	2026-06-08	Daitosha comic. Daito comics YLシリーズ	小田三月	9784864958059
著者は本番に在る(作品は別)		name:一之瀬絢|name:断固として婚約辞退はいたしません	断固として婚約辞退はいたしません	1	2026-06-08	2026-06-08	Daitosha comic. Daito comics異世界シリーズ	一之瀬絢 / 春時雨よわ	9784864958066
本番に完全に無い		name:みり|name:推し合ってるふたり	推し合ってるふたり	1	2026-06-08	2026-06-08			9784758098977
著者は本番に在る(作品は別)		name:tomomo|name:嘘つきウルフは淫魔と踊る	嘘つきウルフは淫魔と踊る	2	2026-06-08	2026-06-08	ジュネットコミックス	mononofu	9784910582887
本番に完全に無い		name:OFURO|name:クズ勇者のその日暮らし@COMIC	クズ勇者のその日暮らし@COMIC	1	2026-06-08	2026-06-08	コロナ・コミックス		9784868540021
著者は本番に在る(作品は別)		name:黒井白|name:龍狩のナト	龍狩のナト	2	2026-04-08	2026-06-06	講談社コミックスデラックス. 月刊少年マガジン	黒井白	9784065430293
著者は本番に在る(作品は別)		name:かなたるい|name:黒歴史クラブ	黒歴史クラブ	2	2025-10-17	2026-06-06	KCデラックス	Jagae	9784065409619
著者は本番に在る(作品は別)		name:しっぽタヌキ|name:魔物をペット化する能力が目覚めました	魔物をペット化する能力が目覚めました	1	2026-06-06	2026-06-06	ビーズログコミックス	藤丘ようこ / しっぽタヌキ	9784045001314
著者は本番に在る(作品は別)		name:猫にゃん|name:魔法少女イナバ	魔法少女イナバ	2	2025-11-15	2026-06-06	ブシロードコミックス	猫にゃん	9784048997805
本番に完全に無い		name:小森てん|name:魅了持ちの姉に奪われる人生はもう終わりにします	魅了持ちの姉に奪われる人生はもう終わりにします	2	2025-12-12	2026-06-06	BF COMICS	鈴宮 / 小森てん	9784813765318
著者は本番に在る(作品は別)		name:サウロ|name:鬼条院家の花嫁	鬼条院家の花嫁	2	2026-03-06	2026-06-06	Crape comics	サウロ	9784434370281
著者は本番に在る(作品は別)		name:かりね|name:離縁予定の捨てられ令嬢ですが、なぜか次期公爵様の溺愛が始まりました	離縁予定の捨てられ令嬢ですが、なぜか次期公爵様の溺愛が始まりました	3	2026-04-18	2026-06-06	BF COMICS	かりね / 浅岸久	9784813765806
