season	anime_title	kind	detail
2025-SUMMER	彼女がセパレートをまとう理由	NO_PAGE	NO_PAGE:195977 彼女がセパレートをまとう理由― 女陸少女と中年おじさんのカンケイー
2025-SUMMER	デキちゃうまで婚	NO_PAGE	NO_PAGE:139978 デキちゃうまで婚
2025-SPRING	プリンセッション・オーケストラ	NO_PAGE	NO_PAGE:210295 プリンセッション・オーケストラ アンソロジーコミック
2025-SPRING	アン・シャーリー	NO_PAGE	NO_PAGE:190343 アン・シャーリー
2025-SPRING	ひみつのアイプリ リング編	NO_PAGE	NO_PAGE:177019 ひみつのアイプリ　フルカラーおさらい4コマ
2025-SPRING	ちょっとだけ愛が重いダークエルフが異世界から追いかけてきた	NO_PAGE	NO_PAGE:139611 ちょっとだけ愛が重いダークエルフが異世界から追いかけてきた
2025-SPRING	けものっ娘通信〜The Animation〜 狸娘ポコラ	NO_PAGE	NO_PAGE:111452 けものっ娘通信 ～理想のケモ娘、あなたにお届け～
2025-SPRING	おいでよ魔法少女村（不法占拠）	NO_PAGE	NO_PAGE:206492 おいでよ 魔法少女村（不法占拠）
2025-FALL	陛下わたしを忘れてください	NO_PAGE	NO_PAGE:198311 陛下わたしを忘れてください
2025-FALL	推しが部下になりました	NO_PAGE	NO_PAGE:180039 推しが部下になりました
2025-FALL	ポーション、わが身を助ける	NO_PAGE	NO_PAGE:200398 ポーション、わが身を助ける
2025-FALL	ギルティホール	NO_PAGE	NO_PAGE:175663 ギルティホール～教え子しか指名できない店～
2025-FALL	ガングリオン	NO_PAGE	NO_PAGE:200232 ガングリオン
2025-FALL	3年Z組銀八先生	NO_PAGE	NO_PAGE:199621 銀魂 3年Z組銀八先生 とぅぅぅんん!!
2024-WINTER	孕ませ屋 THE ANIMATION	NO_PAGE	NO_PAGE:146435 孕ませ屋
2024-WINTER	メタリックルージュ	NO_PAGE	NO_PAGE:173933 メタリックルージュ
2024-WINTER	わんだふるぷりきゅあ！	NO_PAGE	NO_PAGE:176782 わんだふるぷりきゅあ!
2024-WINTER	ちこまる	NO_PAGE	NO_PAGE:136939 ちこまる
2024-WINTER	けものっ娘通信〜The Animation〜 鳥娘ルピア	NO_PAGE	NO_PAGE:111452 けものっ娘通信 ～理想のケモ娘、あなたにお届け～
2024-WINTER	MONSTERS 一百三情飛龍侍極	NO_PAGE	NO_PAGE:125826 モンスターズ
2024-SUMMER	神之塔 -Tower of God- 第2期	NO_PAGE	NO_PAGE:85143 신의 탑
2024-SUMMER	異世界スーサイド・スクワッド	NO_PAGE	NO_PAGE:182659 異世界スーサイド・スクワッド
2024-SUMMER	グレンダイザーU	NO_PAGE	NO_PAGE:38558 UFOロボグレンディザー / NO_PAGE:181310 グレンダイザーU ジ・インセプション
2024-SUMMER	まぁるい彼女と残念な彼氏	NO_PAGE	NO_PAGE:147656 まぁるい彼女と残念な彼氏
2024-SUMMER	〈物語〉シリーズ オフ&モンスターシーズン	NO_CAND	
2024-SUMMER	VTuberなんだが配信切り忘れたら伝説になってた	NO_PAGE	NO_PAGE:167746 VTuberなんだが配信切り忘れたら伝説になってた
2024-SPRING	シンカリオン チェンジ ザ ワールド	NO_PAGE	NO_PAGE:204451 シンカリオン チェンジ ザ ワールド
2024-SPRING	ひみつのアイプリ	NO_PAGE	NO_PAGE:177019 ひみつのアイプリ　フルカラーおさらい4コマ / NO_PAGE:177018 ひみつのアイプリ
2024-SPRING	Unnamed Memory	NO_PAGE	NO_PAGE:120039 Unnamed Memory
2024-FALL	入り浸りギャルにま〇こ使わせて貰う話 Animation	NO_PAGE	NO_PAGE:160501 入り浸りギャルにま〇こ使わせて貰う話
2024-FALL	メカウデ (TV)	NO_PAGE	NO_PAGE:167056 メカウデ
2024-FALL	ゴムをつけてといいましたよね...	NO_PAGE	NO_PAGE:169347 ゴムをつけてといいましたよね... / NO_PAGE:186960 あの、もう1回しませんか...？
2024-FALL	まぁるい彼女と残念な彼氏 第2期	NO_PAGE	NO_PAGE:147656 まぁるい彼女と残念な彼氏
2024-FALL	お兄さん…おひとりですか？	NO_PAGE	NO_PAGE:154426 お兄さん…おひとりですか? / NO_PAGE:186960 あの、もう1回しませんか...？
2024-FALL	Duel Masters LOST ～追憶の水晶～	NO_PAGE	NO_PAGE:181784 Duel Masters LOST  追憶の水晶
2023-WINTER	ツルネ －つながりの一射－	NO_CAND	
2023-WINTER	ひろがるスカイ！プリキュア	NO_PAGE	NO_PAGE:159430 ひろがるスカイ！プリキュア
2023-WINTER	UniteUp!	NO_PAGE	NO_PAGE:175976 ゆゆこみ ~UniteUp! the comic~
2023-WINTER	REVENGER	NO_PAGE	NO_PAGE:175846 REVENGER
2023-SUMMER	夫婦交歓～戻れない夜～	NO_PAGE	NO_PAGE:149374 夫婦交歓～夫よりスゴい婚外セックス～
2023-SUMMER	シュガーアップル・フェアリーテイル 第2クール	NO_CAND	
2023-SUMMER	GAMERA -Rebirth-	NO_PAGE	NO_PAGE:171267 GAMERA-Rebirth-
2023-SPRING	Mark Your Kiss - The Animation	NO_PAGE	NO_PAGE:153631 MARK YOUR KISS
2023-FALL	僕の心のヤバイやつ ツイヤバ	NO_PAGE	NO_PAGE:138781 僕の心のヤバイやつ ツイヤバまとめ
2023-FALL	しーくれっとみっしょん～潜入捜査官は絶対に負けない！～	NO_PAGE	NO_PAGE:118667 潜入捜査官はセックスもお仕事です。
2023-FALL	B-PROJECT 熱烈＊ラブコール	NO_PAGE	NO_PAGE:97157 B-PROJECT 妄想＊スキャンダル
2022-WINTER	デリシャスパーティ♡プリキュア	NO_PAGE	NO_PAGE:143176 デリシャスパーティ♡プリキュア
2022-WINTER	オンエアできない！	NO_PAGE	NO_PAGE:107030 オンエアできない！女ADまふねこ（23）、テレビ番組つくってます
2022-WINTER	お昼のショッカーさん	NO_PAGE	NO_PAGE:141744 お昼のショッカーさん
2022-SPRING	兄に付ける薬はない！5	NO_PAGE	NO_PAGE:98808 快把我哥带走
2022-FALL	後宮の烏	NO_CAND	
2022-FALL	けものっ娘通信〜The Animation〜 猫娘ニア	NO_PAGE	NO_PAGE:111452 けものっ娘通信 ～理想のケモ娘、あなたにお届け～
2021-WINTER	紫陽花の散ル頃に	NO_PAGE	NO_PAGE:125065 紫陽花の散ル頃に
2021-WINTER	幸せなら肉を盛ろう!ジアニメーション	NO_PAGE	NO_PAGE:117645 幸せなら肉を盛ろう！
2021-WINTER	向日葵ハ夜ニ咲ク	NO_PAGE	NO_PAGE:125066 向日葵ハ夜ニ咲ク
2021-WINTER	トロピカル~ジュ！プリキュア	NO_PAGE	NO_PAGE:127745 トロピカル~ジュ！プリキュア
2021-WINTER	じみへんっ！！～地味子を変えちゃう純異性交遊～	NO_PAGE	NO_PAGE:128641 じみへんっ！！
2021-WINTER	SK∞ エスケーエイト	NO_PAGE	NO_PAGE:129672 SK∞ エスケーエイト
2021-SPRING	バトルアスリーテス 大運動会ReSTART!	NO_PAGE	NO_PAGE:128858 バトルアスリーテス大運動会 ReSTART! プリマ・ステラ
2021-SPRING	ハイパーポジティブよごれモン	NO_PAGE	NO_PAGE:140134 ハイパーポジティブよごれモン
2021-SPRING	ゾンビランドサガ リベンジ	NO_PAGE	NO_PAGE:104714 ゾンビランドサガ
2021-SPRING	やくならマグカップも	NO_PAGE	NO_PAGE:132897 やくならマグカップも
2021-SPRING	しかるねこ	NO_PAGE	NO_PAGE:128395 しかるねこ
2021-FALL	やみつきフェロモン The Animation	NO_PAGE	NO_PAGE:139374 やみつきフェロモン
2021-FALL	やくならマグカップも 二番窯	NO_PAGE	NO_PAGE:132897 やくならマグカップも
2021-FALL	でーじミーツガール	NO_PAGE	NO_PAGE:148233 でーじミーツガール
