slug	title	authors	year	publisher	total_volumes
sunstone	サンストーン	ステファン・セジク	2018	(unknown)	5
dust-18	ダスト18	手塚治虫	2018	(unknown)	1
dokutaa-aisuke-no-kodoku	Dr.愛助の孤独	ワタセセイゾウ	2019	(unknown)	1
konna-no-unmei-ja-nai-kara-kanchigai-shinaide	こんなの運命じゃないから勘違いしないで	ちふゆ	2019	(unknown)	2
motto-atsumare-falcom-gakuen	も～っと集まれ!ファルコム学園	新久保だいすけ	2019	(unknown)	4
heart-telephone	ハートテレフォン	ワタセセイゾウ	2019	(unknown)	1
mirai-no-arabujin	未来のアラブ人	リアド・サトゥフ	2019	(unknown)	6
ketteiban-kaitou-koumori-danshaku	決定版!怪盗こうもり男爵	飛鳥幸子	2019	(unknown)	1
tsuisekisha-kenjuu-yarou	追跡者×拳銃野郎	池上遼一	2019	(unknown)	1
kuroe-to-mesu-no-sono	クロエと雌の園	ちふゆ漫画家	2020	(unknown)	2
dungeon-battle-royale	ダンジョンバトルロワイヤル	梅村真也	2020	(unknown)	4
tentai-suit-sanreddo-enu	天体戦士サンレッドN	くぼたまこと	2020	(unknown)	1
yamaoku-youkai-shougakkou	山奥妖怪小学校	Moo.念平	2020	(unknown)	1
nuretoro-3p	濡れトロ3P	ずんだ餅粉	2020	(unknown)	2
tokumei-joshiana-namino-youko-final	特命女子アナ並野容子ファイナル	柳沢きみお	2020	(unknown)	1
isekai-no-suit-to-shite-kuni-ni-manekareta-kedo-kotowatte-heishi-kara-hajimeru-koto-ni-shita	異世界の戦士として国に招かれたけど、断って兵士から始める事にした	Chihiro	2020	(unknown)	7
tsuukai-yagyuu-juubei	痛快!柳生十兵衛	ケン月影	2020	(unknown)	1
watashi-wa-okazu-senpai-ni-taberaretai	私はおかず先輩に食べられたい。	才手けい	2020	(unknown)	3
tsuyabanashi-sakaba-otakubaa	艶話酒場オタクバー	花見沢Q太郎	2020	(unknown)	2
kubikari-osen	首狩りお仙	ケン月影	2020	(unknown)	1
matouden	魔刀伝	ケン月影	2020	(unknown)	1
esuooesu-mushi-mushi-tanteidan	SOS!ムシムシ探偵団	岸大武郎	2021	(unknown)	1
uisupaa-ando-merou	whisper & mellow-ウィスパーアンドメロウ-	いせざき	2021	(unknown)	2
kurukuru-mawase	くるくるまわせ!	佐久間力	2021	(unknown)	3
double-revenge	ダブルリベンジ	OUMA	2021	(unknown)	2
mirimosu-saga	ミリモス・サーガ	奥英樹	2021	(unknown)	5
robasutonesu	ロバストネス	角光	2021	(unknown)	3
taiyouken-zero	太陽犬ゼロ	Moo.念平	2021	(unknown)	1
kunoichi-kagerou	女忍陽炎	ケン月影	2021	(unknown)	1
koishicha-ikenai-room-share	恋しちゃイケないルームシェア	poco	2021	(unknown)	2
oborozuki-no-regorisu	朧月のレゴリス	大隅剛史	2021	(unknown)	5
shitou-iejimasen	死闘伊江島戦	新里堅進	2021	(unknown)	2
shiro-no-necromancer	白のネクロマンサー	azumaya	2021	(unknown)	4
nemurenu-yoru-wa-ubaini-kitene	眠れぬ夜は奪いに来てね	ちふゆ漫画家	2021	(unknown)	2
taichou-san-to-akutoresu-ssu	隊長さんとアクトレスっす	新久保だいすけ	2021	(unknown)	2
sub-sama-shitsuke-no-jikan-desu	Sub様、躾の時間です	二条めも	2022	(unknown)	3
okyan-doushin	おきゃん同心	ケン月影	2022	(unknown)	1
chinure-warashi	ちぬれわらし	KAKERU	2022	(unknown)	2
kedamono-switch	ケダモノ×スイッチ	志水しゅな	2022	(unknown)	2
shikou-kikai-no-file	嗜好機械の事件簿	喜国雅彦	2022	(unknown)	1
hoshitabi-shounen	星旅少年	坂月さかな	2022	(unknown)	6
abare-musashi	暴れ武蔵	ケン月影	2022	(unknown)	1
koenden	狐艶伝	ホントク	2022	(unknown)	2
beni-oan	紅お杏	ケン月影	2022	(unknown)	1
kaze-no-you-ni	風のように	ちばてつや	2022	(unknown)	1
mato-no-hoshikuzu	魔都の星屑	都	2022	(unknown)	2
ano-yoru-ni-michizure	あの夜に道連れ	鷹	2023	(unknown)	2
oita-shitara-butte	おいたしたらぶって	ちふゆ漫画家	2023	(unknown)	2
chocolate-sufinkusu-kou	チョコレート・スフィンクス考	伊藤重夫	2023	(unknown)	1
neo-manyou	ネオ万葉	横山裕一	2023	(unknown)	1
kyoukan-suteetasu-makkusu-na-ore-to-majuu-no-isekai-soukoku	共感ステータスMAXな俺と魔獣の異世界創国	はやしけんた	2023	(unknown)	2
zense-de-shinu-hodo-kirai-datta-ouji-wa-watashi-ga-aisanai-to-shinu-rashii-desu	前世で死ぬほど嫌いだった王子は、私が愛さないと死ぬらしいです?	青日晴	2023	(unknown)	2
shikkaku-ouji-no-koukyuu-seifukuki	失格王子の後宮征服記	ウル	2023	(unknown)	2
shikeishuu-mahou-gakkou-nite-kyouben-o-furuu	死刑囚、魔法学校にて教鞭を振るう	アオイシュン	2023	(unknown)	2
kekkon-yoteibi	結婚予定日	ムノ	2023	(unknown)	3
okitsune-sama-no-okiniiri	お狐様のお気に入り	茉白あさひな	2024	(unknown)	2
yanbaru-no-tatakai	ヤンバルの戦い	新里堅進・石原昌家	2024	(unknown)	2
moto-saikyou-kouryakusha-nozomanu-dungeon-haishin-de-musou-shite-shimau	元最強攻略者、望まぬダンジョン配信で無双してしまう	すかいふぁーむ・Chihiro・明野ワタル	2024	(unknown)	2
doukyonin-ga-kono-yo-no-mon-janai	同居人がこの世のモンじゃない. 第2巻	仲邑エンジツ	2024	(unknown)	2
youjuu-sama-no-gochisou-chan	妖獣様のごちそうちゃん	荒居すすぐ	2024	(unknown)	2
ryousha-no-ikemen-douryou-wa-shikou-no-playmate	寮舎のイケメン同僚は至高のプレイメイト	nocori	2024	(unknown)	2
shatei-gokuburi-yumi-oji-san	射程極振り弓おじさん	草乃葉オウル・米野ヌキ	2024	(unknown)	2
koi-no-mae-ni-amaku-hajimete	恋の前に、あまくハジメテ。	小雨	2024	(unknown)	2
mugen-seichou-no-card-tsukai	無限成長のカード使い	晴瀬ひろき・台東クロウ	2024	(unknown)	2
hakoniwa-kidan	箱庭綺談	雪路凹子	2024	(unknown)	2
sei-kishi-no-ore-ga-suki-ni-natta-heroine-ga-zokuzoku-to-aitsu-no-harem-menbaa-ni-natte	聖騎士の俺が好きになったヒロインが続々とアイツのハーレムメンバーになってしまうんだけど俺の何がいけないのか誰か教えてくれ!!	麒麟堂あみだ	2024	(unknown)	2
shokuba-no-ikemen-eigyou-wa-risou-no-kainushi-sama	職場のイケメン営業は理想の飼い主様	nocori	2024	(unknown)	2
genkai-otaku-ga-gisou-koibito-hajimeta-ken	限界オタクが偽装恋人はじめた件	小神トイ	2024	(unknown)	2
aotoorenji	青⇔オレンジ	本間アキラ	2024	(unknown)	2
10-nen-goshi-no-fukushuu	10年越しの復讐	miyamon・テラーノベル	2025	(unknown)	2
ichibyou-saki-wa-koi	1秒先は、恋	大木真白	2025	(unknown)	2
speak	SPEAK	夜なのに朝日	2025	(unknown)	2
two-beliefs	TWO BELIEFS	PutriYasmine	2025	(unknown)	2
za-kabocha-wine-first-rukku	TheかぼちゃワインFirst Look	三浦みつる	2025	(unknown)	1
anarchy-oji-san	アナーキーおじさん	赤塚不二夫	2025	(unknown)	1
crazy-animals	クレイジー・アニマルズ	赤塚不二夫	2025	(unknown)	1
goburin-airando	ゴブリンアイランド	しきシキ	2025	(unknown)	2
ribbon-no-kishi-missing-piishizu	リボンの騎士MISSING PIECES	手塚治虫	2025	(unknown)	1
goryuukoku-monogatari	五龍国物語	津寺里可子	2025	(unknown)	2
katte-ni-shoukan-shita-kuse-ni-ikiokure-dakara-seijo-dewa-nai-to-iwaremashita	勝手に召喚したくせに「行き遅れだから聖女ではない」と言われました : 異世界はとても面倒です	海石ともえ	2025	(unknown)	2
ochita-kensei-fushin-ni-hirowareru	堕ちた剣聖、腐神に拾われる	田鵺功空	2025	(unknown)	2
yakutatazu-boukensha-menyuu-gamen-de-eiyuu-ni	役立たず冒険者【メニュー画面】で英雄に!	万野みずき・美羽	2025	(unknown)	3
osorubeki-kodomotachi	恐るべき子供たち	赤塚不二夫	2025	(unknown)	1
gokujou-mechamote-iinchou-gaiden-mechamote-iinchou-datta-watashi-ga-ise	極上!!めちゃモテ委員長外伝めちゃモテ委員長だった私が異世界でも極上めざします!!	にしむらともこ	2025	(unknown)	2
shigo-hitotsu-yane-no-shita	死後ひとつ屋根の下	イテカ	2025	(unknown)	2
isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	ひろのあきとみ	2025	(unknown)	5
