slug	title	remaining_gaps
koukidou-gensou-ganpareedo-march-4-koma-manga-gekijou	高機動幻想ガンパレード・マーチ 4コママンガ劇場	(1巻が無い):[1]
b-boy-luv	B-boy luv	(1巻が無い):[1]
ahoudori-no-tomarigi	あほう鳥の止り木	(1巻が無い):[1]
guruguru-kakumei	ぐるぐる革命	standard:[7, 8]
manga-grimm-douwa	まんがグリム童話	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 61, 62]
pachisuro-yancha-gaiden	パチスロやんちゃ外伝	standard:[3, 5, 6]
hodogaya-saichuusokuha-seven	保土ヶ谷最中速派セブン	(1巻が無い):[1]
senri-no-michi-mo-dai-sanshou	千里の道も 第三章	standard:[12]
osaka-itemae-surottaa-manmai-kun	大阪いてまえスロッター万枚くん	standard:[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]
show-chan-no-bouken	正チャンの冒険	standard:[2, 3, 4]
tokusen-ol-shinkaron	特選OL進化論	standard:[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]
comic-shin-genjitsu	Comic新現実	(1巻が無い):[1]
fate-kishi	Fate騎士	(1巻が無い):[1]
gush-mania	GUSH mania	standard:[8]
oppai-no-tatsujin	おっぱいの達人	(1巻が無い):[1]
