slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
nijitte-monogatari	standard	通常版	109	3	3	1,2,3
otoko-wa-tenpei	standard	通常版	11	3	3	1,2,3
pharaoh-no-haka	standard	通常版	8	3	3	6,7,8
ping-pong	standard	通常版	9	3	3	6,8,9
rasenjikake-no-umi	standard	通常版	5	3	3	3,4,5
rikon-jidai	standard	通常版	31	3	3	5,6,9
roboko-san	standard	通常版	4	3	3	2,3,4
robot-kun	standard	通常版	5	3	3	2,4,5
sabu-to-ichi-torimonohikae	bunkobon	文庫版	13	3	3	11,12,13
sayonara-ganpeki-sensei	standard	通常版	5	3	3	1,2,3
senrei	standard	通常版	6	3	3	4,5,6
sexaroid	standard	通常版	4	3	3	2,3,4
shin-dabide-no-hoshi	standard	通常版	10	3	3	8,9,10
shishi-no-musume	standard	通常版	11	3	3	3,4,5
shouwa-gokudoushi	standard	通常版	33	3	3	8,9,16
tamaroido-choucgandamu	standard	通常版	5	3	3	3,4,5
teiitaimu	standard	通常版	7	3	3	2,3,5
tenma-no-sora	standard	通常版	4	3	3	1,2,3
tensai-choukoushi-houjou-mika	standard	通常版	4	3	3	2,3,4
the-moon	standard	通常版	6	3	3	4,5,6
uchuu-kaizoku-captain-harlock	shinsoban	SUNDAY COMICS	4	3	3	1,2,3
wild-way	standard	通常版	4	3	3	1,2,3
yadokari	standard	通常版	14	3	3	1,2,3
yamafuji-shouji-no-black-anguru	standard	通常版	21	3	3	2,3,4
yuujin-brand	standard	通常版	5	3	3	2,3,4
zeni-gari	bunkobon	文庫版	5	3	3	1,2,3
3nen-kimengumi	standard	通常版	6	2	2	5,6
abare-hayabusa	standard	通常版	10	2	2	2,3
adventure-kid	standard	通常版	4	2	2	3,4
aijin	standard	通常版	8	2	2	1,2
asunarozaka	standard	通常版	9	2	2	4,6
atagoul-monogatari	standard	通常版	9	2	2	7,9
bokura-no-jidai	standard	通常版	5	2	2	4,5
chocolate-panic	standard	通常版	4	2	2	1,3
count-11	standard	通常版	5	2	2	2,3
dai-san-no-gokudou	shinsoban	バンブーコミックス	4	2	2	1,4
dokkin-minako-sensei	standard	通常版	4	2	2	1,2
dokkiri-doctor	standard	通常版	4	2	2	1,2
dosanko	standard	通常版	5	2	2	1,2
doughnuts-books	standard	通常版	16	2	2	20,32
eden-no-tohoku	standard	通常版	21	2	2	2,3
ehon-saiyuuki	standard	通常版	6	2	2	1,2
famicom-zeminaaru	standard	通常版	4	2	2	2,4
furoagari-no-yozora-ni	deluxe	デラックス版	3	2	2	1,3
gamora	standard	通常版	3	2	2	2,3
gekitotsu-rajikon-rokku	standard	通常版	9	2	2	1,3
genji-monogatari-masaki	standard	通常版	3	2	2	2,3
ginga-eiyuu-densetsu-gaiden-ougon-no-tsubasa	standard	通常版	3	2	2	2,3
go-west-2004	standard	通常版	4	2	2	3,4
goetsu-moyu	standard	通常版	3	2	2	2,3
green-teii-dream	standard	通常版	4	2	2	2,3
guutara-mama	standard	通常版	3	2	2	2,3
hajimete-no-sayonara	standard	通常版	4	2	2	1,2
