tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
2	romeo-to-juliet-isakawa-2014	romeo-to-juliet-isakawa-2014	ロミオとジュリエット	ロミオトジュリエット		ロミオ ト ジュリエット	SLUG_TOKEN_MISMATCH:isakawa
2	ronaldinho	ronaldinho	ロナウジーニョ	ロナウジーニョ			NOHYPHEN_UNVERIFIED
2	room-room-no-1301	room-room-no-1301	るーむ!room no.1301	ルームroomno.1301	ルームナンバーイチサンゼロサン1		KANA_DIFF_RAKUTEN
2	roriitameshi	roriitameshi	ロリータ飯	ロリータメシ		ロリータメシ	NOHYPHEN_UNVERIFIED
2	rosengarten-saga	rosengarten-saga	ローゼンガーテン・サーガ	ローゼンガーテンサーガ	ローゼン ガーテン サーガ	Rosen Garten・Saga	KANA_DIFF_MADB
2	rosutaimu-17fun	rosutaimu-17fun	ロスタイム17分	ロスタイム17フン	ロス タイム ジュウナナフン	ロスタイム 17フン	SLUG_TOKEN_MISMATCH:17fun
2	roudou-2gou	roudou-2gou	労働2号	ロウドウ2ゴウ	ロウドウ ニゴウ	ロウドウ 2ゴウ	SLUG_TOKEN_MISMATCH:2gou
2	rouge-red-data-book-aka	rouge-red-data-book-aka	ルージュ/red data book赤	ルージュreddatabookアカ	ルージュ レッド データ ブック アカ		KANA_DIFF_RAKUTEN
2	rouhaidou	rouhaidou	浪牌道	ロウハイドウ		ロウハイドウ	NOHYPHEN_UNVERIFIED
2	route-3-1998	route-3-1998	〔√3〕	ルート3	ルート サン	ルート 3	SLUG_TOKEN_MISMATCH:route
2	rpg-fudou-san	rpg-fudou-san	RPG不動産	RPGフドウサン	アールピージーフドウサン　イチ	RPG フドウサン	KANA_DIFF_RAKUTEN
2	rsr	rsr	RSR	アールエスアール	アールズ レボリューション	アール エス アール	KANA_DIFF_RAKUTEN
2	rude-boy-okazaki-2012	rude-boy-okazaki-2012	RUDE BOY	ルードボーイ	ルード ボーイ	ルード ボーイ	SLUG_TOKEN_MISMATCH:okazaki
2	rude39	rude39	RUDE39	RUDE39	ルード サンジュウク		KANA_DIFF_RAKUTEN
