slug	title	ours	rakuten	year	isbn
youji-ee	幼児A	髙橋一仁	高橋 一仁	2025	9784091582010
yukai-na-shintouki	ゆかいな神統記	雨水汐	尾羊　英	2025	9784047385573
yume-de-aredake-yatta-noni	夢であれだけやったのに	石井紺	臓内 ニガツ	2025	9784785978358
yuunou-na-gunjin-koutei-wa-katabutsu-reijou-o-amaku-dekiai-suru	有能な軍人皇弟はカタブツ令嬢を甘く溺愛する	シンギョウガク / 怜悧	すけまる / ちろりん	2025	9784801943148
zeni-banzuke	ゼニ番付	山崎匡佑	山崎享祐	2025	9784575860924
3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	貞清カズヒコ / あるくひと	かじきすい / ゆいレギナ / あかつき聖	2024	9784803018868
academic-hype	アカデミックハイプ	衣谷イロ	西塔 しゅんけ	2024	9784065367568
ake-no-qilin	朱のチーリン	煙かぶり	向井 沙子	2024	9784098630165
akiresu	アキレス	衣谷イロ	佐伯 直	2024	9784065367636
akumade-majo-no-yuuwaku-desu-kara	あくまで魔女の誘惑ですから	連城寺のあ	わたりさえ	2024	9784801984332
akuyaku-hime-desu-kirawarete-iru-hazu-no-ouji-to-kozukuri-shinaito-ikemasen	悪役姫ですが、嫌われているはずの王子と子作りしないといけません。	林倉吉	もちあんこ	2024	9784865898163
akuyaku-no-joou-ni-tensei-shitakedo-kakushi-chara-ga-kakuretenai	悪役の王女に転生したけど、隠しキャラが隠れてない。@COMIC	植田真太郎 / 早瀬黒絵	こわたりひろ	2024	9784867947142
amayakashite-kureru-jimu-no-onee-san	甘やかしてくれるジムのお姉さん	わかつきひかる	若槻 ヒカル	2024	9784065358191
asagiiro-no-saudaaji	あさぎ色のサウダージ	逆縞	サクタロー	2024	9784041153031
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されています。	永田礼路	結城アオ	2024	9784434331824
baitosaki-no-senpai-ga-koukousei-janakatta-hanashi	バイト先の先輩が高校生じゃなかった話	梅涼	文之助	2024	9784049157338
baka-de-yowakute-buzama-demo	バカで弱くて無様でも	夏江夢子	千代崎	2024	9784403669200
batsubatsu-shinaide-tsukimine-san	××しないで!月峰さん。	カシバ	夜墨リョウ	2024	9784824008947
bengonin-yuragi-no-shoudou	弁護人ゆらぎの衝動	山形シン	岡野 める	2024	9784065368046
bocchi-za-rock-gaiden-hiroi-kikuri-no-fukazake-nikki	ぼっち・ざ・ろっく!外伝廣井きくりの深酒日記	小石川イオリ	はまじあき / くみちょう	2024	9784832203655
bon-hyakusen-sai	盆百千栽	冴木ぽてり	火事屋	2024	9784065374566
chichi-o-okorasetai	父を怒らせたい	葉月セン	おかくーこ	2024	9784098630172
chuutoriaru-ga-hajimaru-mae-ni	チュートリアルが始まる前に	髙橋炬燵	横山　コウヂ / 高橋　炬燵 / カカオ・ランタン	2024	9784049147544
dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu	抱かれた悪役令嬢は、激変王子の溺愛ルートに突入中!?	やまち	吉田にん	2024	9784596535030
dou-ganbattemo-etchi-ni-natchau-osananajimi	どう頑張ってもHになっちゃう幼なじみ	狐神文夜	すしじろう	2024	9784065348840
dreamland	ドリームランド	原正人 / LemaireReno	ルノー・ルメール	2024	9784868010418
dungeon-faamu	ダンジョン・ファーム	春乃カミハル	鈴木竜一 / シソ / もずくず	2024	9784757590540
dungeon-haishin-o-kiriwasureta-yuumei-haishinsha-o-tasuketara-densetsu-no-tansakusha-toshite-bazuri	ダンジョン配信を切り忘れた有名配信者を助けたら、伝説の探索者としてバズりはじめた	紅木春 / 浅白優作	鳴九 / どまどま	2024	9784575420357
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	雨宮皐季	茸太	2024	9784434336577
fudanshi-no-ore-ga-youkya-osananajimi-ni-semarareteru-ken	腐男子の俺が陽キャ幼馴染に迫られてる件	しちみや	雪潮にぎり	2024	9784434343254
fure-ai	触レ愛	春兎あや	おぐり イコ	2024	9784785975661
furoya-no-fuuko	風呂屋のフーコ	町健次郎	鳴果なる	2024	9784575440621
genmetsu-camera	幻滅カメラ	八守りょう	鳥　トマト	2024	9784047379091
ginii-pig-wa-ori-no-soto-no-yume-o-minai	ギニーピッグは檻の外の夢を見ない	安房さとる	理原	2024	9784866696638
gogh-hajimemashita	ゴッホはじめました。	関﨑俊三	関崎　俊三	2024	9784041150016
grenimal-no-shokeinin	グレニマルの処刑人	森由羅	鴉鬼助	2024	9784845867707
hakugetsu-no-ban-ni	白月の晩に	霧崎秀征	渋江 ヨフネ	2024	9784799769942
handsome-must-die	ハンサムマストダイ.	あさがお	アストラ 芦魔	2024	9784088838120
haramu-made-midare-ike	孕むまで乱れいけ	山本泰一郎	神崎柚	2024	9784434335174
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STORIES	村上春樹 / 日乃チハヤ	Haruki Murakami / Jean-Christophe Deveney's / PMGL	2024	9784805317679
hatsukoi-oobaadoozu	初恋オーバードーズ	かくたすず	amai	2024	9784046832153
heisei-haizanhei-sumire-chan	平成敗残兵すみれちゃん	野田大輔	里見 U	2024	9784065352151
hiiragi-buchou-no-panst-line	柊部長のパンストライン	吉宗	ウシハシル	2024	9784785976194
hirotta-inui-kun-to-koi-o-suru	拾った戌井くんと恋をする	児嶋建洋	行村 コウ	2024	9784088677743
houkago-boku-wa-kimi-ni-naru	放課後、ぼくは君になる	インド僧	多喜 れい	2024	9784065368121
hundred-note	ハンドレッドノート	染谷リキ	雪一	2024	9784065349151
idol-wa-oshinobi-chu	アイドルはお忍びchu♡	むつき潤	青島かなえ	2024	9784832259348
ikukyuu-maou-to-nise-yuusha	育休魔王とニセ勇者	比村奇石	水稀たま	2024	9784832292581
isekai-ni-shoukan-sarete-watashi-ga-kokuou-sonnano-muri-desu	異世界に召喚されて私が国王!?そんなのムリです!	といけ	キシバマユ / トガタガト	2024	9784824202079
itsuki-to-yuusei	いつきと優成	九重千花	コダ	2024	9784867870389
juusou-reijou-morenet	重装令嬢モアネット	GuidiGuido / 小見川なまり	nishi / さき / 増田　メグミ	2024	9784046831828
kaburidani	カブリダニ	紙屋りな	オオゾネサトシ	2024	9784253296717
kaijuu-no-hanataba	かいじゅうの花束	つきみせい	雨花 深衣	2024	9784088430744
kaminegu-shimai	かみねぐしまい	電柱棒	若鶏にこみ	2024	9784832295582
kayuuma	かゆうま	百乃モト	坂木原 レム	2024	9784065345870
kegawa-to-nakami	けがわとなかみ	19歳	類家 海	2024	9784107726872
kimi-ni-sasageru-otokomae	君に捧げる男前	梅涼	文之助	2024	9784049157680
kimi-to-apocalypse	君とアポカリプス	生方めぐみ	むうりあん	2024	9784253297363
kimi-wa-yoru-no-juunin	きみは夜の住人	園千代子	黒井 モリー	2024	9784799768402
korogaru-hoshikuzu-domo	転がる星屑ども	甘酒縞	有海とよこ	2024	9784047377981
kuro-mahou-ryou-no-sanakunin	黒魔法寮の三悪人	イマイマキ	斎藤 キミオ	2024	9784098535071
kyuuketsu-bar-e-youkoso	吸血バーへようこそ	小手万里	次見 やをら	2024	9784592165675
liar-chiyozaki-2024	liar	夏江夢子	千代崎	2024	9784813033899
love-game	LoVE GAME	雨蛙ガメ	有田 ケイ	2024	9784065368558
love-no-jugyou	恋愛の授業	斉田えじわ	高橋つばさ	2024	9784757595736
lunatic-terrapop	ルナティック・テラポップ	弓庭史路	橋田 久弥	2024	9784088843506
mad-miniscape	マッドミニスケープ	高妍	廣瀬　アユム	2024	9784049157314
