kind	popularity	season	anime_title	gensaku(animatetimes)
MANGA?	380	2025-FALL	さわらないで小手指くんミニアニメ劇場	シンジョウタクヤ （講談社『マガジンポケット』連載）
MANGA?	363	2022-FALL	贄姫と獣の王 ミニアニメ	「 贄姫と獣の王 」友藤結（白泉社・花とゆめコミックス）
MANGA?	275	2014-SPRING	ラブリームービー　いとしのムーコ シーズン２	みずしな孝之「 いとしのムーコ 」（講談社『イブニング』連載）
MANGA?	270	2025-FALL	機械じかけのマリーミニアニメ	あきもと明希 「 機械じかけのマリー 」（白泉社・花とゆめコミックス）
MANGA?	214	2025-FALL	科学×冒険サバイバル！ 第2シリーズ	「 科学漫画サバイバル 」シリーズ（朝日新聞出版）
non-manga	42728	2000-WINTER	ブギーポップは笑わない Boogiepop Phantom	上遠野浩平（電撃文庫 刊） 原作イラスト：緒方剛志
non-manga	41670	2026-SUMMER	片田舎のおっさん、剣聖になるII	佐賀崎しげる 鍋島テツヒロ（SQEXノベル／スクウェア・エニックス刊）
non-manga	37556	2012-FALL	中二病でも恋がしたい！Lite	虎虎（KAエスマ文庫 京都アニメーション ）
non-manga	24669	2014-WINTER	中二病でも恋がしたい！戀 Lite	虎虎（KAエスマ文庫 京都アニメーション ）
non-manga	21864	2012-SPRING	LUPIN the Third ～峰不二子という女～	モンキー・パンチ (C)TMS TVアニメ『LUPIN the Third ～峰不二子という女～』日テレ公式サイト &nbsp; 「LUPIN the Third ～峰不二子という
non-manga	16247	2011-SPRING	メタルファイト ベイブレード 4D	足立たかふみ「 メタルファイト ベイブレード 」（小学館「月刊コロコロコミック」） 主題歌 OP：「心の勇気」YU+KI ED：「Destiny」唐澤有弥 feat.YU+KI 公
non-manga	3937	2020-SUMMER	戦乙女の食卓Ⅱ	miHoYo（ゲーム「崩壊3rd」より）
non-manga	1976	2021-SPRING	異世界魔王と召喚少女の奴隷魔術Ω ミニアニメ	むらさきゆきや(講談社ラノベ文庫刊) キャラクター原案：鶴崎貴大
non-manga	1167	2020-SPRING	アイドルマスター シンデレラガールズ劇場 Extra Stage	バンダイナムコエンターテインメント キャラクター原案：窪岡俊之 監督・キャラクターデザイン：錦織敦史
non-manga	1109	2020-FALL	安達としまむら ミニアニメ	入間人間 KADOKAWA（電撃文庫刊 イラスト：のん
non-manga	1094	2021-SPRING	探偵はもう、死んでいる。ミニアニメ	二語十 キャラクター原案：うみぼうず（MF文庫J「 探偵はもう、死んでいる。 」／ＫＡＤＯＫＡＷＡ刊）
non-manga	1053	2019-SUMMER	ありふれた職業で世界最強 ピクチャードラマ	白米良（オーバーラップ文庫刊） イラスト：たかやKi
non-manga	1047	2022-SUMMER	悪役令嬢なのでラスボスを飼ってみました ミニ	永瀬さらさ(角川ビーンズ文庫) 原作イラスト：紫真依
non-manga	707	2023-FALL	まったり解説 暴食のベルセルク	一色一凛(GC ノベルズ『 暴食のベルセルク 〜俺だけレベルという概念を突破する〜』/マイクロマガジン社刊)
non-manga	688	2022-SPRING	魔法使い黎明期 ミニアニメ	虎走かける『 魔法使い黎明期 』（講談社ラノベ文庫刊） キャラクター原案：いわさきたかし 一部キャラクター原案：しずまよしのり 監督・シリーズ構成：桑原智 文芸：虎走かける・森田眞
non-manga	659	2022-FALL	新米錬金術師の店舗経営 ミニアニメ	いつきみずほ『 新米錬金術師の店舗経営 』（ファンタジア文庫刊） キャラクター原案：ふーみ
non-manga	520	2023-SUMMER	おかしな転生 ミニアニメ	古流望「 おかしな転生 」(TOブックス刊) 原作イラスト：珠梨やすゆき
non-manga	415	2021-SUMMER	みにヴぁん ら～じ	Quily 原作：ブシロード 監修： 伊藤彰
non-manga	190	2023-FALL	魁!!令和の男塾	宮下あきら『魁!!男塾』 集英社 集英社文庫（コミック版）刊 監督・キャラクターデザイン・演出・編集： FROGMAN
non-manga	186	2023-WINTER	齢5000年の草食ドラゴン、いわれなき邪竜認定 ~ちょこっと~	榎本快晴(「 齢5000年の草食ドラゴン、いわれなき邪竜認定 〜やだこの生贄、人の話を聞いてくれない〜」角川スニーカー文庫刊) キャラクター原案：しゅがお
non-manga	116	2025-SPRING	全力ウサギシーズン2	イケダケイ ビー・バード プロデューサー：佐藤進哉 鵜飼浩史 アニメーションプロデューサー：益田史樹 エグゼクティブプロデューサー：浅井武士
