巻数	タイトル	最新巻発売月	未発売	状態	著者	出版社	総巻数(全版合計)	slug	URL
12	指先から本気の熱情	2025-09		completed	川野タニシ	seiunsha	12	yubisaki-kara-honki-no-netsujou	https://mangal.shuichi0725.workers.dev/manga/yubisaki-kara-honki-no-netsujou
12	最凶の支援職〈話術士〉である俺は世界最強クランを従える	2026-05		ongoing	じゃき/やもりちゃん	overlap	12	saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-kuran-o-shitagaeru	https://mangal.shuichi0725.workers.dev/manga/saikyou-no-shienshoku-wajutsushi-de-aru-ore-wa-sekai-saikyou-kuran-o-shitagaeru
12	最弱な僕は〈壁抜けバグ〉で成り上がる	2026-07		ongoing	北川ニキタ/畑優以	kodansha	12	saijaku-na-boku-wa-kabenuke-bagu-de-nariagaru	https://mangal.shuichi0725.workers.dev/manga/saijaku-na-boku-wa-kabenuke-bagu-de-nariagaru
12	最強の職業は勇者でも賢者でもなく鑑定士〈仮〉らしいですよ?	2026-06		ongoing	あてきち/武田充司	seiunsha	12	saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo	https://mangal.shuichi0725.workers.dev/manga/saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo
12	氷属性男子とクールな同僚女子	2026-09		ongoing	殿ヶ谷美由記	square-enix	12	koori-zokusei-otoko-to-coolna-douryou-joshi	https://mangal.shuichi0725.workers.dev/manga/koori-zokusei-otoko-to-coolna-douryou-joshi
12	虐げられ令嬢とケガレ公爵	2025-12		completed	廻	flex-comix	12	shiitagerare-reijou-to-kegare-koushaku	https://mangal.shuichi0725.workers.dev/manga/shiitagerare-reijou-to-kegare-koushaku
12	願いを叶えてもらおうと悪魔を召喚したけど、可愛かったので結婚しました	2026-06		completed	shiryu/となりける	earth-star	12	negai-o-kanaete-moraou-to-akuma-o-shoukan-shita-kedo-kawaikatta-node-kekkon-shimashita	https://mangal.shuichi0725.workers.dev/manga/negai-o-kanaete-moraou-to-akuma-o-shoukan-shita-kedo-kawaikatta-node-kekkon-shimashita
11	せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい	2025-11		completed	ブッチャーU/ムンムン	micro-magazine	11	sekkaku-cheat-o-moratte-isekai-ni-teni-shitandakara-suki-na-youni-ikite-mitai	https://mangal.shuichi0725.workers.dev/manga/sekkaku-cheat-o-moratte-isekai-ni-teni-shitandakara-suki-na-youni-ikite-mitai
11	アンネームドメモリー	2026-08		ongoing	古宮九時/オカカ	kadokawa	11	unnamed-memory	https://mangal.shuichi0725.workers.dev/manga/unnamed-memory
11	デブとラブと過ちと!	2026-04		ongoing	ままかり	harpercollins-japan	11	debu-to-love-to-ayamachi-to	https://mangal.shuichi0725.workers.dev/manga/debu-to-love-to-ayamachi-to
11	トランスフォーマークラシックス	2025-12		ongoing	FurmanSimon/BudianskyBob/石川陽介/Macchioralph/DelboJosé/KupperbergAlan/SpringerFrank/SeniorGeoff	takeshobo	11	transformers-classics	https://mangal.shuichi0725.workers.dev/manga/transformers-classics
11	ヒュドラブレイク	2026-02		ongoing	荒達哉	akita	11	hydra-break	https://mangal.shuichi0725.workers.dev/manga/hydra-break
11	妖精国(アルフヘイム)の騎士Ballad～継ぐ視の守護者～	2026-05		ongoing	中山星香	akita	11	alfheim-no-kishi-ballad-tsugumi-no-mori	https://mangal.shuichi0725.workers.dev/manga/alfheim-no-kishi-ballad-tsugumi-no-mori
11	絶倫陸奥くんは大きいクリが好き	2026-05		ongoing	新薫	seisensha	11	zetsurin-mutsu-kun-wa-ookii-kuri-ga-suki	https://mangal.shuichi0725.workers.dev/manga/zetsurin-mutsu-kun-wa-ookii-kuri-ga-suki
11	走れ!ウンコオー	2026-06		ongoing	浦田カズヒロ	bunkyousha	11	hashire-unkooo	https://mangal.shuichi0725.workers.dev/manga/hashire-unkooo
