class	title	sid	edition	imprint	isbn0	date0	min_numbered	numbered	頁
NOISBN	DDT-僕、耳なし芳一です	31845	standard			1983-11-25	1999-01	1	ddt-boku-miminashi-houichi-desu
NOISBN	I・餓男	125404	standard	劇画キングシリーズ		1973-09-30	1974-02-28	2	i-ueo-boy
NOISBN	People	132218	standard			1973	1977-07	2	
NOISBN	SF・ファイブ	34887	standard	Star comics		1978-01-10	1989-08	1	sf-five
NOISBN	Z	40986	standard	花とゆめコミックス		1981-07-25	1985-03	2	z
NOISBN	あかねちゃん	37077	standard			1968-04-27	1968-05-23	4	
NOISBN	あきたほじなしドロップ	62458	standard			2016-06	2018-06	1	
NOISBN	あきたほじなしドロップ	62458	standard			2016-06	2018-06	1	
NOISBN	あきたほじなしドロップ	62458	standard			2016-06	2018-06	1	
NOISBN	あきたほじなしドロップ	62458	standard			2016-06	2018-06	1	
NOISBN	いっぽん伊平太	15190	standard	Comic		1975-02-15	1975-04-15	2	
NOISBN	おじょも寺の妖怪地蔵	64156	standard	ヒット・コミックス		1984-08-16	1986-11-06	1	
NOISBN	お姉さまとお呼びっ!!	3743	standard	アクションコミックス		2000-04-28	2001-09-10	2,3	oneesama-to-oyobi
NOISBN	かかあ天下	65027	standard			1973	2009-11	1	
NOISBN	かっぱ川太郎	22368	standard			1952	1954-05-10	1,2,3	
NOISBN	がんばれエガワ君	6058	standard	芳文社コミックス		1982-11	1984-04	2,6	
NOISBN	くれない頭巾	45492	standard			2000-03-10	2009-09-14	1	kurenaizukin
NOISBN	こんにちはマイコン	135420	standard	ワンダーライフコミックス		1982-11-01	1983-08-15	2	konnichiwa-maikon
NOISBN	こんにちは初恋さん	5913	standard	りぼんマスコットコミックス		1970-07-10	1972-06-10	1	
NOISBN	さわやかな朝	66611	standard	りぼんマスコットコミックス		1974-01-10	1975-01-10	1	
NOISBN	すえっ子台風	56714	standard	講談社コミックス		1972-06-20	1976-02-15	1,2	
NOISBN	すばらしき遺産	38680	standard	花とゆめコミックス		1980-01-20	1981-10-15	7	
NOISBN	そして5年後	21824	bunkobon	集英社漫画文庫		1978-10	1979-05-15	3	
NOISBN	そのばしのぎの犯罪	48320	standard	青林傑作シリーズ		1977-04-10	1978-11-20	2	
NOISBN	そばかすの少年	38355	standard	PFビッグコミックス		1982-04	1982-04-20	1	sobakasu-no-shounen
NOISBN	たかの宗美スペシャル	4246	standard	無敵恋愛S・girl増刊		2007-06	2007-11	2,3,4	
NOISBN	たかの宗美スペシャル	4246	standard	無敵恋愛S・girl増刊		2007-06	2007-11	2,3,4	
NOISBN	つげ義春作品集	31586	standard			1975-06	1996-07	1	tsuge-yoshiharu-sakuhinshuu
