n	type	imprint	series_key	excluded	isbns
23	standard	KPC	qid:Q966701|name:クニミツの政	除外レーベル	9784063716757,9784063716818,9784063716894,9784063716979,9784063717112,9784063717204,9784063717341,9784063717426,9784063717518,9784063717594,9784063717747,9784063717815,9784063717921,9784063718027,9784063718140,9784063718256,9784063718379,9784063718447,9784063718577,9784063718652
23	standard	少年マガジンコミックス	qid:Q966701|name:金田一少年の事件簿		9784063125511,9784063126129,9784063126594,9784063126693,9784063127300,9784063128147,9784063128284,9784063128581,9784063129342,9784063129359,9784063634686,9784063636482,9784063636499,9784063637557,9784063637564,9784063638608,9784063638615,9784063840315,9784063840322,9784063842029
22	standard	SP pocket	name:池波正太郎|name:鬼平犯科帳		9784845840441,9784845840458,9784845840465,9784845840472,9784845840489,9784845840496,9784845840502,9784845840519,9784845840526,9784845840533,9784845840540,9784845845002,9784845845019,9784845845026,9784845845033,9784845845040,9784845845057,9784845845064,9784845845071,9784845845088
22	standard	My first big	qid:Q1153258|name:今日から俺は!!	除外レーベル	9784091095312,9784091095411,9784091095510,9784091095619,9784091095695,9784091095862,9784091096029,9784091096371,9784091096470,9784091096753,9784091096821,9784091096920,9784091097057,9784091097149,9784091097231,9784091097637,9784091097989,9784091098078,9784091098177,9784091098368
22	standard	少年サンデーコミックスビジュアルセレクション	qid:Q219948|name:犬夜叉		9784091267559,9784091267566,9784091267573,9784091267580,9784091267603,9784091267917,9784091267924,9784091267931,9784091267948,9784091267955,9784091267979,9784091267986,9784091268013,9784091268020,9784091268037,9784091268044,9784091268051,9784091268068,9784091268075,9784091268082
22	standard	SHŌNEN CHAMPION COMICS EXTRA	qid:Q2279877|name:クローズ		9784253131766,9784253131773,9784253131780,9784253131797,9784253131803,9784253131810,9784253131827,9784253131834,9784253131841,9784253131858,9784253131865,9784253131872,9784253131889,9784253131896,9784253131902,9784253131919,9784253131926,9784253131933,9784253131940,9784253131957
22	standard	Akita top comics wide	qid:Q2875041|name:仁義		9784253240925,9784253240949,9784253240956,9784253240963,9784253240970,9784253240987,9784253242882,9784253242899,9784253242905,9784253242912,9784253242929,9784253242936,9784253242967,9784253243025,9784253243032,9784253243049,9784253243063,9784253243070,9784253243087,9784253243094
22	standard	SHONEN CHAMPION COMICS	qid:Q3045424|name:グラップラー刃牙		9784253213516,9784253213523,9784253213530,9784253213547,9784253213554,9784253213561,9784253213578,9784253213585,9784253213615,9784253213622,9784253213639,9784253213646,9784253213653,9784253213660,9784253213677,9784253213684,9784253213691,9784253213707,9784253213714,9784253213721
22	standard	講談社プラチナコミックス	qid:Q618883|name:ミスター味っ子	除外レーベル	9784063749434,9784063749441,9784063777031,9784063777208,9784063777406,9784063777581,9784063777680,9784063777833,9784063778045,9784063778229,9784063778465,9784063778601,9784065102282,9784065102824,9784065103357,9784065105009,9784065107089,9784065108444,9784065110348,9784065113387
22	standard	Jump comics	qid:Q725387|name:聖闘士星矢		9784088740553,9784088740560,9784088740577,9784088740584,9784088740591,9784088740607,9784088740614,9784088740621,9784088740638,9784088740645,9784088740652,9784088740669,9784088740676,9784088740683,9784088740690,9784088740706,9784088740713,9784088740720,9784088740737,9784088740744
22	standard	My first big	qid:Q841020|name:ギャラリーフェイク	除外レーベル	9784091083067,9784091083180,9784091083258,9784091083333,9784091083401,9784091083463,9784091083548,9784091083678,9784091092526,9784091092588,9784091093332,9784091093950,9784091094162,9784091094261,9784091094360,9784091094612,9784091094889,9784091095176,9784091095336,9784091095497
22	standard	SHONEN SUNDAY COMICS SPECIAL	qid:Q958449|name:からくりサーカス		9784091230287,9784091230294,9784091230300,9784091230423,9784091230447,9784091230454,9784091230461,9784091230478,9784091230485,9784091230492,9784091230508,9784091230676,9784091230683,9784091230690,9784091230706,9784091230751,9784091230768,9784091230775,9784091230782,9784091230799
21	standard	講談社プラチナコミックス	name:七三太朗|name:風光る	除外レーベル	9784065171035,9784065171059,9784065171066,9784065171073,9784065179819,9784065179826,9784065179833,9784065179840,9784065183861,9784065183878,9784065183885,9784065183892,9784065183908,9784065190531,9784065190548,9784065190555,9784065190562,9784065190579,9784065190586,9784065190593
21	standard	KPC	qid:Q11469324|name:ゴッドハンド輝	除外レーベル	9784063743760,9784063743845,9784063743913,9784063744026,9784063744101,9784063744224,9784063744309,9784063744385,9784063744484,9784063744590,9784063744705,9784063744811,9784063744859,9784063744972,9784063746235,9784063746433,9784063746600,9784063746761,9784063746884,9784063747041
