slug	title	authors	year	publisher	total_volumes
dinosaur-zone	ダイナソア・ゾーン	松本零士	1978	nihon-bungeisha	1
chokokukkii-no-okurimono	チョコクッキーの贈り物	美村あきの	1978	kodansha	1
pygmalio	ピグマリオ	和田慎二	1978	hakusensha	27
microman	ミクロマン	森藤よしひろ	1978	taiyoh-tosho	4
mister-saint	ミスター・セイント	神奈幸子	1978	kodansha	1
rosumarin-no-densetsu	ロスマリンの伝説	神奈幸子	1978	kodansha	2
wani-bunsho	ワニ分署	篠原とおる	1978	shueisha	12
ichiman-jiyuubiyou-monogatari	一万十秒物語	倉多江美	1978	chikuma-shobo	5
kyouhan-gensou	共犯幻想	真崎守	1978	(unknown)	3
gakuseigai-no-rabusaundo	学生街のラブサウンド	前原滋子	1978	kodansha	1
shoujonoshinwa	少女の神話	羽中ルイ	1978	kubo-shoten	1
koi-no-kashidashi-itashimasu	恋の貸し出しいたします	まさき輝	1978	kodansha	1
higashi-no-chihei-nishi-no-eien	東の地平 西の永遠	萩尾望都	1978	shogakukan	1
okinawa-kessen	沖縄決戦	新里堅進	1978	holp-shuppan	2
horobi-no-fue	滅びの笛	田辺節雄	1978	akita	7
burai-za-kid	無頼・ザ・キッド	永井豪	1978	asahi-sonorama	5
kyoujinkankei	狂人関係	上村一夫	1978	(unknown)	4
sora-ga-suki	空がすき!	竹宮惠子	1978	shogakukan	4
karate-sensou	空手戦争	守谷哲巳	1978	kodansha	11
warawazu-ni-ikirunante	笑わずに生きるなんて	赤塚不二夫	1978	chuokoron	2
yabou	野望	佐藤まさあき	1978	(unknown)	7
tekkanomakihei	鉄火の巻平	たがわ靖之	1978	houbunsha	11
seishun-no-shippo	青春の尻尾	平野仁	1978	shogakukan	12
seishun-chinposium	青春チンポジュウム	神江里見	1978	akita	10
ashita-tenki-ni-naare-1979	あした天気になァれ	はしもとてつじ	1979	kubo-shoten	1
kimiiro-no-hibi	きみ色の日々	前原滋子	1979	kodansha	1
kokonotsu-no-yuujou	ここのつの友情	竹宮惠子	1979	shogakukan	1
dekinbooi	できんボーイ	田村信	1979	(unknown)	4
niramekko-shijuusou	にらめっこ四重奏	山田路子	1979	shogakukan	4
norakuro-chuutaichou	のらくろ中隊長	田河水泡	1979	kodansha	2
flying-magii	ふらいんぐ❤マギー	吉田まゆみ	1979	kodansha	2
boku-no-heart-wa-hareeshon	ぼくの心はハレーション	西尚美	1979	kodansha	1
astro-twin	アストロツイン	竹宮惠子	1979	shogakukan	1
welcome-1979	ウェルカム	柳沢きみお	1979	kodansha	1
ultra-q	ウルトラQ	中城けんたろう	1979	asahi-sonorama	2
campus-karendaa	キャンパスかれんだあ	神奈幸子	1979	kodansha	1
kirara-seijin-outou-seyo	キララ星人応答せよ	大島弓子	1979	shogakukan	1
circuit-no-ookami	サーキットの狼	池沢早人師	1979	akita	26
the-starbow	ザ・スターボウ	石ノ森章太郎	1979	kodansha	3
scandal	スキャンダル	成毛厚子	1979	kodansha	1
supeope-chuugaku	スペオペ宙学	永井豪	1979	(unknown)	3
dororon-enma-kun	ドロロンえん魔くん	永井豪・ダイナミックプロダクション	1979	chuokoron	5
night-baby	ナイトベイビー	成毛厚子	1979	kodansha	2
hustler-the-kid	ハスラー.ザ.キッド	黒咲一人	1979	nihon-bungasha	5
white-wedding	ホワイトウエディング	神奈幸子	1979	kodansha	1
ring-no-takaou	リングのタカ王	桑田二郎	1979	pan-rolling	2
reinboosentai	レインボー戦隊	鈴木伸一	1979	fukkan-com	2
sankaku-kankei-hakusho	三角関係白書	内村月子	1979	kodansha	1
nidome-no-propose-1979	二度めのプロポーズ	神奈幸子	1979	kodansha	1
hatsukoi-strike	初恋ストライク	まさき輝	1979	kodansha	1
shounen-no-machi-zf	少年の町ZF	平野仁	1979	koike-shoin	15
heiwa-e-no-dankon	平和への弾痕	秋本治	1979	shueisha	1
koishi-yume-mishi-ayakashi-gitsune	恋し夢見しあやかしギツネ	西尚美	1979	kodansha	1
senryaku-rettou	戦略列島	田辺節雄	1979	akita	3
houkago-itchokusen	放課後一直線	神奈幸子	1979	kodansha	1
ryourinin	料理人	小島剛夕	1979	chuokoron	5
gekitotsu-rajikon-rokku	激突!ラジコンロック	もろが卓	1979	kodansha	9
hikuidori	火喰鳥	篠原とおる	1979	koike-shoin	2
tsuzuribako-no-katasumi-ni	綴り箱のかたすみに	前原滋子	1979	kodansha	1
seimaden-1984	聖魔伝	石川賢	1979	asahi-sonorama	4
hana-no-sakitarou	花の咲太郎	ジョージ秋山	1979	kodansha	7
yabou-no-oukoku	野望の王国	由紀賢二	1979	nihon-bungeisha	28
kinseiju	金星樹	佐藤史生	1979	shinchosha	2
giniro-no-shiyousei	銀色の照星	新谷かおる	1979	asahi-sonorama	3
majo-wa-hot-nao-toshigoro	魔女はホットなお年頃	竹宮惠子	1979	shogakukan	2
ojama-yuurei-kun	おじゃまユーレイくん	よしかわ進	1980	(unknown)	3
kawaii-onna-to-iwaretai	かわいい女といわれたい	神奈幸子	1980	kodansha	1
gakuran-kaikyou	がくらん海峡	中島徳博	1980	nihon-bungasha	5
kemonomichi-kagemaru-1980	けものみち	影丸穣也	1980	akita	20
sukidesu-to-surechigai	すきですとすれちがい	はしもとてつじ	1980	kubo-shoten	1
tatoeba-kare-to-watashi	たとえば彼とわたし	前原滋子	1980	kodansha	1
tsuruhime-jaatsu	つる姫じゃ～っ！	土田よしこ	1980	chuokoron	18
dorobou-tenshi	どろぼう天使	大和和紀	1980	wakagi-shobo	1
bokura-no-housoku	ぼくらの法則	まさき輝	1980	kodansha	3
mandaraya-no-ryouta	まんだら屋の良太	畑中純	1980	jitsugyo-no-nihon	61
kokomame-chan	ゝゝこまめちゃん	あなだ〔スペード〕もあ	1980	kodansha	3
aran-iyan-naito	アランイヤンナイト	西尚美	1980	kodansha	1
eei-kendo	エーイ!剣道	村上もとか	1980	shogakukan	3
complex-city	コンプレックス・シティ	諸星大二郎	1980	futabasha	1
