decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
HOLD	REVIEW	oyakodeka	おやこ刑事	canon:volumes	0	standard	通常版	少年サンデーコミックス	18	MID	9784091203984	1980-12	おやこ刑事. 18	林, 律雄, 1950-/大島, やすいち, 1954-	小学館	小学館	?	?	o	o	o	o		x	17		19		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	pureibooru	プレイボール	canon:extra[2]	3	shinsoban	ジャンプ・コミックス(1977)	ジャンプ・コミックス	15	MID	9784088527659	1978-04	プレイボール 15	ちばあきお	集英社	集英社	?	?	o	o	o	o		x	14		16		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	pureibooru	プレイボール	canon:extra[2]	3	shinsoban	ジャンプ・コミックス(1977)	ジャンプ・コミックス	17	MID	9784088527673	1978-10	プレイボール 17	ちばあきお	集英社	集英社	?	?	o	o	o	o		x	16		22		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	pureibooru	プレイボール	canon:extra[2]	3	shinsoban	ジャンプ・コミックス(1977)	ジャンプ・コミックス	18	MID	9784088527680	1979-01	プレイボール 18	ちばあきお	集英社	集英社	?	?	o	o	o	o		x	16		22		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	pureibooru	プレイボール	canon:extra[2]	3	shinsoban	ジャンプ・コミックス(1977)	ジャンプ・コミックス	19	MID	9784088527697	1979-02	プレイボール 19	ちばあきお	集英社	集英社	?	?	o	o	o	o		x	16		22		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	pureibooru	プレイボール	canon:extra[2]	3	shinsoban	ジャンプ・コミックス(1977)	ジャンプ・コミックス	20	MID	9784088527703	1979-03	プレイボール 20	ちばあきお	集英社	集英社	?	?	o	o	o	o		x	16		22		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	pureibooru	プレイボール	canon:extra[2]	3	shinsoban	ジャンプ・コミックス(1977)	ジャンプ・コミックス	21	MID	9784088527710	1979-04	プレイボール 21	ちばあきお	集英社	集英社	?	?	o	o	o	o		x	16		22		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	sahara	サハラ	canon:extra[0]	1	other	劇画キングシリーズ版	劇画キングシリーズ	2	MID	9784091904225	1978-10	サハラ. 2	平野, 仁, 1941-	小学館	不明	?	?	x	o	o	?		x	1		3		同じ頁の同レーベル別版が既にこの巻を持つ=刊行run分裂頁(G8)	ndl	
HOLD	REVIEW	shounen-keniya	少年ケニヤ	canon:extra[0]	1	other	単行本(1962-63・版元不明)	単行本(1962-63・版元不明)	4	MID	9784041547045	1983-09	少年ケニヤ. 4	山川, 惣治, 1908-1992	角川書店	不明	?	?	x	o	o	?		o	3		5		証拠不足	ndl	
DROP	REVIEW	jaiantotaifuu	ジャイアント台風	canon:extra[2]	3	shinsoban	ヒット・コミック	ヒット・コミック	8	MID	9784785944780	1984-12	ジャイアント台風 8	高森朝雄/辻なおき/全日本プロ・レスリング/フロッシュ/丸山元博	少年画報社	不明	?	?	o	o	o	?		o	4		9		版は『ヒット・コミック』(少年画報社系)。候補は講談社KCで、同ISBNが同頁の KCスペシャル版(講談社)に日付まで整合する = そちらが正	ndl	
