class	isbn	ym	title	author	publisher	slug	reason
zokkan	9784199611032	2026-11	二重螺旋（5）	吉原理恵子/円陣闇丸	徳間書店	nijuu-rasen	
zokkan	9784088552798	2026-11	冷遇婿ライフを満喫しようとしたら、溺愛ルートに入りました!? 4	宝生 悠亜/子羊 ノニク/梨莉子/深凪 雪花	集英社	reiguu-muko-life-o-mankitsu-shiyou-to-shitara-dekiai-route-ni-hairimashita	
zokkan	9784087921083	2026-11	銀太郎さんお頼み申す 11	東村 アキコ	集英社	gintarou-san-otanomi-mousu	
zokkan	9784087921076	2026-11	しろくまカフェ today's special 5	ヒガ アロハ	集英社	shirokuma-cafe-toudeizu-special	
zokkan	9784785983345	2026-11	家に黒猫がいます 2	安堂 維子里	少年画報社	ie-ni-kuroneko-ga-imasu	
zokkan	9784434388699	2026-11	王国の鍵2 -Tale of the Missing Princess-	羽根真	ドリコム	oukoku-no-kagi-hane	
zokkan	9784046606297	2026-11	世界最強の後衛　〜迷宮国の新人探索者〜　11	力蔵/とーわ/風花　風花	KADOKAWA	sekai-saikyou-no-kouei	
zokkan	9784046606792	2026-11	穢れた聖地巡礼について　3	桃井　ゆづき/背筋	KADOKAWA	kegareta-seichi-junrei-ni-tsuite	
zokkan	9784046606556	2026-11	塔の管理をしてみよう　31	盧恩＆雪笠(Friendly Land)/早秋/	KADOKAWA	tou-no-kanri-o-shitemiyou	
zokkan	9784046606549	2026-11	見える子ちゃん　15	泉　朝樹	KADOKAWA	mieruko-chan	
zokkan	9784046606754	2026-11	完全回避ヒーラーの軌跡　15	倭　ヒナ/ぷにちゃん/匈歌　ハトリ	KADOKAWA	kanzen-kaihi-healer-no-kiseki	
zokkan	9784046606808	2026-11	盾の勇者の成り上がり　31	藍屋球/アネコ　ユサギ/弥南　せいら	KADOKAWA	tate-no-yuusha-no-nariagari	
zokkan	9784049525175	2026-11	青は難く春は易し3	榎木　りか	KADOKAWA	ao-wa-kataku-haru-wa-yasushi	
zokkan	9784046604569	2026-11	てのひら開拓村で異世界建国記〜増えてく嫁たちとのんびり無人島ライフ〜　11	ヤツタガナクト/星崎　崑/あるや	KADOKAWA	tenohira-kaitakumura-de-isekai-kenkokuki	
zokkan	9784045002861	2026-11	アビスマル 2	こかむも	KADOKAWA	abysmal	
zokkan	9784049524475	2026-11	商い人魚と蒼空の初恋2	紅蜜　ゆず	KADOKAWA	akinai-ningyo-to-sora-no-hatsukoi	
zokkan	9784046609311	2026-11	ライアー・ライアー　5	幸奈ふな/久追　遥希/konomi（きのこのみ）	KADOKAWA	liar-liar	
zokkan	9784098548972	2026-11	灰被り姫は結婚した、なお王子は（12）	中 てい/壱崎 煉	小学館	haikaburi-hime-wa-kekkon-shita-nao-ouji-wa	
