sid	series_key	title	kana	n_isbn	isbn1
104785	name:夏本夕子|name:本能で俺を感じろ	本能で俺を感じろ	ホンノウ デ オレ オ カンジロ	1	9784909699053
104786	name:時枝文彦|name:本能ガ変	本能ガ変	ホンノウ ガ ヘン	1	9784286190853
104787	name:艶|name:本能ショコラ	本能ショコラ	ホンノウ ショコラ	1	9784091318893
104790	name:長尾文子|name:本陣殺人事件	本陣殺人事件	ホンジン サツジン ジケン	1	9784253185127
104791	name:横溝正史|name:本陣殺人事件	本陣殺人事件	ホンジン サツジン ジケン	1	9784048535090
104795	name:竹崎真実|name:朱い沓の花嫁	朱い沓の花嫁	アカイ クツ ノ ハナヨメ	1	9784821187317
104796	name:朱伎|name:朱伎|sub:椿屋本舗	朱伎	アカギ	1	9784865892765
104797	name:ムノ|name:朱夏のかげろう	朱夏のかげろう	シュカ ノ カゲロウ	1	9784864423380
104803	name:井上ナヲ|name:机の下の秘密	机の下の秘密	ツクエ ノ シタ ノ ヒミツ	1	9784866252070
104804	name:ヒナチなお|name:机上のrubber	机上のrubber	キジョウ ノ rubber	1	9784063415391
104805	name:長沢13センチ|name:机上の九龍城	机上の九龍城	キジョウ ノ キュウリュウジョウ	1	9784253218238
104807	name:篠田圭子|name:杉並くみんのちいさなおはなし	杉並くみんのちいさなおはなし	スギナミ クミン ノ チイサナ オハナシ	1	9784809678875
104809	name:宮代忠童|name:杉原千畝物語	杉原千畝物語	スギハラ チウネ モノガタリ	1	9784063281439
104810	name:井上晴樹|name:杉浦茂 自伝と回想	杉浦茂 自伝と回想	スギウラ シゲル ジデン ト カイソウ	1	9784480885180
104819	name:森崎法美|name:杏子-雨よりもせつなく-	杏子-雨よりもせつなく-	キヨウコ アメヨリ モ セツナク	1	9784088497624
104820	name:古館由姫子|name:杏子と健司の心霊事件ファイル	杏子と健司の心霊事件ファイル	キョウコ ト ケンジ ノ シンレイ ジケン ファ	1	9784408431437
104822	name:村|name:村	村	ムラ	1	9784864421072
104828	name:佐藤志保里|name:村一番の米子さん	村一番の米子さん	ムラ イチバン ノ ヨネコサン	1	9784088542713
104835	name:永島直樹|name:村山実	村山実	ムラヤマ ミノル	1	9784324026588
104839	name:杜乃ミズ|name:杜乃ミズ	杜乃ミズ	モリノ ミズ	1	9784861233937
104841	name:笠間瑠美|name:束縛	束縛	ソクバク	1	9784790112075
104843	name:水野なさ|name:束縛くんと過激なお仕置き生活 元彼と逢引で離婚の危機!?	束縛くんと過激なお仕置き生活 元彼と逢引で離婚の危機!?	ソクバククン ト カゲキナ オシオキ セイカツ 	1	9784864951760
