slug	title	route	ei	etype	label	imprint	publisher	min	missing	have	min_isbn	min_date	lower_in
koigakubo-kun-ni-hajimete-o-ubawaremashita-2023	恋ヶ窪くんにはじめてを奪われました	overrides	1	deluxe	デラックス版	KCデラックス	講談社	6	[1, 2, 3, 4, 5]	[6, 7, 9, 10]	9784065329764	2023-09-13	[0]
kuchiyaku-mondo-kawaitesourou	唇役主丞乾いて候	canon:extra[0]	1	shinsoban	劇画キングシリーズ	劇画キングシリーズ	小池書院	4	[1, 2, 3]	[4, 6]	9784883152179	1993-06	[0, 2]
kyou-kara-ore-wa	今日から俺は!!	seed4	1	wideban	ワイド版	少年サンデーコミックスワイド版	小学館	2	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	9784091258823	2000-11	[0, 2]
lupin-iii	ルパン三世	canon:extra[3]	4	bunkobon	双葉文庫(1995)	双葉文庫	双葉社	9	[1, 2, 3, 4, 5, 6, 7, 8]	[9, 10]	9784575720204	1995-04	[0, 1, 2, 3]
maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	seed4	0	standard	通常版	コミック	少年画報社	18	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[18, 19, 20, 21, 22, 23, 24, 25, 26]	9784785923556	2003-10	[1]
mama	ママ	seed4	1	wideban	ワイド版	ヤングサンデーコミックス ワイド版	小学館	3	[1, 2]	[3, 4, 5, 6]	9784091528230	1998-07	[0]
mangaban-nobushi-no-gourmet	漫画版野武士のグルメ	seed4	1	standard	通常版		幻冬舎	2	[1]	[2, 3]	9784344027398		[0]
maou-dante	魔王ダンテ	canon:extra[2]	3	shinsoban	KCDX	KCDX	講談社	2	[1]	[2, 3]	9784063345629	2002-06-21	[0, 1, 2, 4, 5, 6, 7, 8]
mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	1	deluxe	デラックス版	ジャンプ・コミックスデラックス	集英社	13	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[13, 14, 15, 16, 17, 18, 19, 20]	9784088583839	1994-01-11	[0]
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	canon:extra[0]	1	shinsoban	水木しげる漫画大全集(2014)	水木しげる漫画大全集	講談社	3	[1, 2]	[3, 4, 5, 9, 10, 11, 13, 18, 19, 20, 22, 23, 24, 32, 40, 41, 42, 43, 44, 45]	9784065107881	2017-12	[0]
