aid	n_pages	kind_hint	slug	title	first_author
165825	2	B?扇形/別題	eguchi-hisashi-no-okuradashi-yoruyou-super	江口寿史のお蔵出し夜用スーパー	江口寿史
165825	2	B?扇形/別題	eguchi-hisashi-no-okuradashi	江口寿史のお蔵出し	江口寿史
169574	2	B?扇形/別題	natsu-no-omoide-1994	夏の思い出	山本直樹
169574	2	B?扇形/別題	yoru-no-ryouiki	夜の領域	山本直樹
170754	2	B?扇形/別題	mazinger-z-tai-transformer-yoshioka-2019	マジンガーZ対トランスフォーマー	衣谷遊
170754	2	B?扇形/別題	mazinger-z-tai-transformer	トランスフォーマー:ロボッツ・イン・ディスガイズ	石川裕人
172570	2	B?扇形/別題	kamen-rider-2011	仮面ライダー	山田ゴロ
172570	2	B?扇形/別題	kamen-rider-amazon-1974	仮面ライダーアマゾン1974	石ノ森章太郎
174863	2	B?扇形/別題	0-shinohara-1977	0課の女	篠原とおる
174863	2	B?扇形/別題	keishichou-0-ka-no-onna	警視庁0課の女	篠原とおる
176608	2	B?扇形/別題	haai-mari-chan-ai-no-toile	ハーイ!まりちゃん 愛のエトワール	上原きみこ
176608	2	B?扇形/別題	haai-mari-chan	ハーイ!まりちゃん	上原きみこ
176953	2	B?扇形/別題	onna-kudouden-rei	女苦道伝れい	叶精作
176953	2	B?扇形/別題	shin-onna-kudouden-rei	新女苦道伝れい	叶精作
177319	2	B?扇形/別題	manga-de-yomu-kojiki-yamato-takerunomikoto	まんがで読む古事記倭建命	久松文雄
177319	2	B?扇形/別題	manga-de-yomu-kojiki	まんがで読む古事記	久松文雄
178822	2	B?扇形/別題	1000nengo-no-sekai	火星博士 一千年后の世界	手塚治虫
178822	2	B?扇形/別題	kasei-hakase	火星博士	手塚治虫
180590	2	B?扇形/別題	lady-q	レディーQ	三浦みつる
180590	2	B?扇形/別題	tensai-choukoushi-houjou-mika	天才調香師宝条ミカ	三浦みつる
180718	2	B?扇形/別題	cannonball-yatsura-no-senjou	キャノンボール奴らの戦場	さいとう・たかを
180718	2	B?扇形/別題	yatsura-no-senjou	奴らの戦場	さいとう・たかを
180835	2	B?扇形/別題	kurata-emi-no-hon-sakura-sakura	倉多江美の本 さくらサクラ	倉多江美
180835	2	B?扇形/別題	sakura-sakura-1998	さくらサクラ	倉多江美
183480	2	B?扇形/別題	garakutamachi-ki-tan	我楽多街奇譚	高橋葉介
183480	2	B?扇形/別題	kamen-shounen	仮面少年	高橋葉介
184199	2	B?扇形/別題	madara-ao	MADARA青	花津美子
184199	2	B?扇形/別題	madara-gilgamesh-saga	MADARAギルガメシュ・サーガ	花津美子
186036	2	B?扇形/別題	amo-kun	あもくん	諸星大二郎
186036	2	B?扇形/別題	yume-no-amo-kun	夢のあもくん	諸星大二郎
201378	2	B?扇形/別題	mahou-shoujo-lyrical-nanoha-ace-pootaburu-za-giaazu-obu-destiny-materiarumusume-dash	魔法少女リリカルなのはA's PORTABLE -THE GEARS OF DESTINY-マテリアル娘。 ダッシュ	榊蒼十郎
201378	2	B?扇形/別題	mahou-shoujo-lyrical-nanoha-ace-pootaburu-za-giaazu-obu-destiny-materiarumusume	魔法少女リリカルなのはA's PORTABLE -THE GEARS OF DESTINY-マテリアル娘。	榊蒼十郎
201568	2	B?扇形/別題	kimi-no-tonari	キミノトナリ	亜月亮
201568	2	B?扇形/別題	yami-toshi-densetsu	闇都市伝説	亜月亮
202443	2	B?扇形/別題	sakura-no-mori-no-mankai-no-shita	桜の森の満開の下 夜長姫と耳男	萩原玲二
202443	2	B?扇形/別題	yonagahime-to-mimiotoko	夜長姫と耳男	近藤ようこ
