重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	osakimochi	おさきもち	standard	Bamboo comics	竹書房	4	978-4-8124x2	竹書房	3	9784801950986	978-4-8019	竹書房	2015-03	2巻2014-07→-	8		おさきもち〜大江戸妖奇譚〜（3）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	osakimochi	おさきもち	standard	Bamboo comics	竹書房	4	978-4-8124x2	竹書房	4	9784801950993	978-4-8019	竹書房	2015-03	2巻2014-07→-	8		おさきもち〜大江戸妖奇譚〜（4）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(39%)	ota-share	オタシェア!	standard	Hugピクシブシリーズ	フロンティアワークス	4	978-4-86657x3	フロンティアワークス	1	9784861349393	978-4-86134	フロンティアワークス	2016-12-15	-→2巻2017-08	8		オタシェア 〜エロゲ女子×腐女子×ルームシェア〜	リラクトコミックス Hugピクシブシリーズ	フロンティアワークス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	otsu-san-boukensha-kein-no-zenkou	おっさん冒険者ケインの善行	standard	ガンガンコミックスup!	スクウェア・エニックス	16	978-4-7575x14	スクウェア・エニックス	15	9784301000990	978-4-301	スクウェア・エニックス	2025-10-24	14巻2025-02→-	8		おっさん冒険者ケインの善行（15）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON27(8%)	ou-sama-no-gakkou	王様の学校	standard	ビーズログコミックス	エンターブレイン	4	978-4-7577x3	エンターブレイン	4	9784047263765	978-4-04	KADOKAWA	2010-03	3巻2009-07→-	8		王様の学校（4）	ビーズログコミックス	エンターブレイン
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON35(22%)+RAKPUB	pon-to-kimaira	PON!とキマイラ	standard	GANGAN COMICS	エニックス	7	978-4-7575x5	スクウェア・エニックス	2	9784870253728	978-4-87025	エニックス	1998-10	-→3巻1999-06	8		Pon！とキマイラ（2）	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	queens-game	クインズゲーム	standard	Bamboo comics	竹書房	3	978-4-8124x2	竹書房	3	9784801951006	978-4-8019	竹書房	2015-03	2巻2014-07→-	8				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	ragna-crimson	ラグナクリムゾン	standard	ガンガンコミックスjoker	スクウェア・エニックス	17	978-4-7575x15	スクウェア・エニックス	16	9784301000662	978-4-301	スクウェア・エニックス	2025-09-27	15巻2025-01→-	8		ラグナクリムゾン（16）	ガンガンコミックスJOKER	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(64%)	reworld-frontier-comic	リワールド・フロンティア@COMIC	standard	コロナ・コミックス	TOブックス	3	978-4-86699x2	TOブックス	1	9784864728744	978-4-86472	TOブックス	2019-11-01	-→2巻2020-07	8		リワールド・フロンティア		TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	robotics-notes-2012	Robotics;Notes	standard	ヤングジャンプ・コミックス・ウルトラ	集英社	4	978-4-08x3	集英社	6	9784800003584	978-4-8000	マッグガーデン	2014-09-10	3巻2014-01→-	8		ROBOTICS；NOTES（06）	ブレイドコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON35(55%)+TITLEDIFF+RAKPUB	saikyou-skill-inochigoi-de-kuyashii-kedo-musou-shichau-moto-maou-sama-no-sekai-seifuku-katsudou	最強スキル〈命乞い〉で悔しいけど無双しちゃう・元魔王様の世界征服活動	standard	ヒーローズコミックスわいるど	小学館クリエイティブ	3	978-4-86468x2	小学館クリエイティブ	3	9784868050346	978-4-86805	小学館クリエイティブ	2025-02-05	2巻2024-06→-	8		最強スキル「命乞い」で悔しいけど無双しちゃう元魔王様の世界征服活動（3）		ヒーローズ
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+RAKPUB	saku-wa-edo-nimo-sono-soshitsu	咲くは江戸にもその素質	standard	ビーズログコミックス	双葉社	3	978-4-575x2	双葉社	1	9784047301351	978-4-04	KADOKAWA	2015-02-14	-→2巻2015-10	8		咲くは江戸にもその素質　1	B’s LOG COMICS	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON8(57%)	sakura-no-hanamichi	さくらのはなみち	standard	MeDu COMICS	ジーオーティー	4	978-4-8148x3	ジーオーティー	4	9784823600081	978-4-8236	ジーオーティー	2020-01	3巻2019-05→-	8		さくらのはなみち4		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON56(76%)	sekai-wa-owattemo-ikiru-tte-tanoshii	世界は終わっても生きるって楽しい	standard	ガルドコミックス	オーバーラップ	8	978-4-8240x6	オーバーラップ	2	9784865549201	978-4-86554	オーバーラップ	2021-05-25	-→3巻2022-01	8		世界は終わっても生きるって楽しい 2		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON23(23%)+RAKPUB	shinkyoku-soukai-porifonika	神曲奏界ポリフォニカ	standard	Flex comix	ソフトバンククリエイティブ	9	978-4-7973x7	ソフトバンククリエイティブ	8	9784593856985	978-4-593	ほるぷ出版	2012-07	7巻2011-11→-	8		神曲奏界ポリフォニカカーディナル・クリムゾン（8）	フレックスコミックス	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON16(64%)	shiromahoushi-wa-shienshoku-dewa-arimasen	白魔法師は支援職ではありません	standard	コロナ・コミックス	TOブックス	3	978-4-86699x2	TOブックス	1	9784864729161	978-4-86472	TOブックス	2020-03	-→2巻2020-11	8		白魔法師は支援職ではありません＠COMIC 1〜支援もできて、本(ぶつり)で殴る攻撃職です〜		TOブックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	shiryou-majutsu-no-yougisha	死霊魔術の容疑者	standard	IDコミックス. Rex comics	一迅社	4	978-4-7580x3	一迅社	4	9784825101739	978-4-8251	一迅社	2026-10-27	3巻2026-02→-	8				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	shokuryou-seisei-skill-o-te-ni-ireta-node-isekai-de-shoukai-o-tachiageyou-to-omoimasu	食料生成スキルを手に入れたので、異世界で商会を立ち上げようと思います	standard	IDコミックス	一迅社	6	978-4-7580x5	一迅社	6	9784825100336	978-4-8251	一迅社	2026-08-10	5巻2025-12→-	8		食料生成スキルを手に入れたので、異世界で商会を立ち上げようと思います (6)	REXコミックス	一迅社
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON27(8%)	shounen-maid	少年メイド	standard	ビーズログコミックス	KADOKAWA	10	978-4-04x8	KADOKAWA	2	9784757749399	978-4-7577	エンターブレイン	2009-06-01	-→3巻2010-02	8		少年メイド　2	B's-LOG COMICS	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	shuumatsu-no-maristella	終末のマリステラ	standard	MFコミックス	メディアファクトリー	4	978-4-8401x3	メディアファクトリー	4	9784040665610	978-4-04	KADOKAWA	2014-05	3巻2013-09→-	8		終末のマリステラ　4	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON41(73%)	slime-wa-saikyou-taru-kanousei-o-himete-iru-nikaime-no-jinsei-chanto-slime-to-mukiaimasu-comic	スライムは最強たる可能性を秘めている～2回目の人生、ちゃんとスライムと向き合います～@COMIC	standard	コロナ・コミックス	TOブックス	3	978-4-86794x2	TOブックス	3	9784868541622	978-4-86854	TOブックス	2026-10-15	2巻2026-02→-	8				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	suugaku-joshi	数学女子	standard	Bamboo comics	竹書房	5	978-4-8124x4	竹書房	5	9784801952669	978-4-8019	竹書房	2015-06	4巻2014-10→-	8		数学女子（5）		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	tabata-chan-ha	たばたちゃん派	standard	Bamboo comics	竹書房	5	978-4-8019x4	竹書房	1	9784812485378	978-4-8124	竹書房	2014-04	-→2巻2014-12	8		たばたちゃん派（1）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON27(8%)	taitei-no-ken	大帝の剣	standard	BEAM COMIX	エンターブレイン	5	978-4-7577x3	エンターブレイン	4	9784047262119	978-4-04	KADOKAWA	2010-01	3巻2009-05→-	8		大帝の剣（4（天魔の章　妖魔復活編））	Beam　comix	エンターブレイン
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	tales-of-xillia-side-mira	テイルズオブエクシリアSIDE;MILLA	standard	MFコミックス	メディアファクトリー	5	978-4-8401x4	メディアファクトリー	5	9784040665979	978-4-04	KADOKAWA	2014-06-27	4巻2013-10→-	8		テイルズ　オブ　エクシリア　SIDE；MILLA　5	MFコミックス ジーンシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON17(71%)	tengai-retrogical	天外レトロジカル	standard	Blade comics	マッグガーデン	7	978-4-86127x5	マッグガーデン	2	9784901926492	978-4-901926	マッグガーデン	2003-06-10	-→3巻2004-02	8		天外レトロジカル（2）	Blade　comics	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON26(59%)	tensei-kizoku-no-isekai-boukenroku-sasaki-2020	転生貴族の異世界冒険録	standard	コミックポルカ	一二三書房	6	978-4-89199x4	一二三書房	5	9784824201157	978-4-8242	一二三書房	2024-02-15	4巻2023-06→-	8		転生貴族の異世界冒険録（5）	ポルカコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON21(21%)	time-slip-otagirl	タイムスリップオタガール	standard	POLARIS COMICS	フレックスコミックス	8	978-4-86675x6	フレックスコミックス	2	9784593881499	978-4-593	ほるぷ出版	2017-08	-→3巻2018-04	8		タイムスリップオタガール（2）	ポラリスCOMICS	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	toaru-majutsu-no-index	とある魔術の禁書目録	standard	ガンガンコミックス	スクウェア・エニックス	34	978-4-7575x32	スクウェア・エニックス	33	9784301003199	978-4-301	スクウェア・エニックス	2026-02-16	32巻2025-06→-	8		とある魔術の禁書目録(33)	ガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON13(19%)+RAKPUB	transistor-ni-venus	トランジスタにヴィーナス	standard	MFコミックス	メディアファクトリー	7	978-4-8401x5	メディアファクトリー	2	9784889917789	978-4-88991	メディアファクトリー	2001-04	-→3巻2001-12	8		トランジスタにヴィーナス2	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	tsuihousareta-yuusha-no-yuugana-seikatsu	追放勇者の優雅な生活	standard	ヤングガンガンコミックス	スクウェア・エニックス	6	978-4-301x4	スクウェア・エニックス	1	9784757596924	978-4-7575	スクウェア・エニックス	2025-02-05	-→3巻2025-10	8		追放勇者の優雅な生活〜自由になったら俺だけの最愛天使も手に入った！〜（1）	ヤングガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	urakata-de-support-shiteta-geinou-ikka-o-tsuihousareta-sareta-boku-wa-futsuu-no-seishun-o-ouka	裏方でサポートしてた芸能一家を追放された僕は、普通の青春を謳歌したい。	standard	ガンガンコミックスup!	スクウェア・エニックス	3	978-4-301x2	スクウェア・エニックス	1	9784757596559	978-4-7575	スクウェア・エニックス	2025-02-12	-→2巻2025-10	8		裏方でサポートしてた芸能一家を追放された僕は、普通の青春を謳歌したい。（1）	ガンガンコミックスUP！	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON240(70%)	vtuber-kusamura-shigemi	VTuber草村しげみ	standard	ガンガンコミックスpixiv	スクウェア・エニックス	3	978-4-301x2	スクウェア・エニックス	1	9784757598126	978-4-7575	スクウェア・エニックス	2025-04-22	-→2巻2025-12	8		VTuber草村しげみ〜遠くに行ってしまった気がした推しが全然遠くに行ってくれない話〜（1）	ガンガンコミックスpixiv	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON41(23%)+RAKPUB	wagaya-no-oinari-sama	我が家のお稲荷さま。	standard	電撃コミックス	角川グループパブリッシング	11	978-4-04x9	KADOKAWA	1	9784840241120	978-4-8402	メディアワークス	2009-07	-→3巻2008-11	8		我が家のお稲荷さま。（1）	電撃コミックス	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	watashi-ga-motenai-no-wa-dou-kangaetemo-omaera-ga-warui	私がモテないのはどう考えてもお前らが悪い!	standard	GC ONLIN	スクウェア・エニックス	28	978-4-7575x27	スクウェア・エニックス	28	9784301003915	978-4-301	スクウェア・エニックス	2026-03-27	27巻2025-07→-	8		私がモテないのはどう考えてもお前らが悪い！(28)	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON21(17%)	wataya-san-no-tomodachi	綿谷さんの友だち	standard	ゼノンコミックス	コアミックス	3	978-4-86720x2	コアミックス	1	9784199805967	978-4-19	徳間書店	2019-11	-→2巻2020-07	8		綿谷さんの友だち　1		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON26(59%)	yarinaoshi-tensei-reijou-wa-zamaa-shitai-noni-dekiai-dekiaisareru	やり直し転生令嬢はざまぁしたいのに溺愛される	standard	LAVARE comics	一二三書房	3	978-4-8242x2	一二三書房	1	9784891999186	978-4-89199	一二三書房	2023-02-15	-→2巻2023-10	8		やり直し転生令嬢はざまぁしたいのに溺愛される（1）	ラワーレコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON26(59%)	youjo-musou	幼女無双	standard	ポルカコミックス	一二三書房	5	978-4-8242x3	一二三書房	2	9784891999667	978-4-89199	一二三書房	2023-05-15	-→3巻2024-01	8		幼女無双（2）	ポルカコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON26(59%)	yuiitsu-muni-no-saikyou-tamer	唯一無二の最強テイマー	standard	NOVA COMICS	一二三書房	4	978-4-89199x2	一二三書房	3	9784824200792	978-4-8242	一二三書房	2023-12-26	2巻2023-04→-	8		唯一無二の最強テイマー（3）	ノヴァコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON26(59%)	35-sai-no-sentaku	35歳の選択	standard	NOVA COMICS	一二三書房	9	978-4-8242x7	一二三書房	2	9784891999292	978-4-89199	一二三書房	2023-02-20	-→3巻2023-09	7		35歳の選択（2）	ノヴァコミックス	一二三書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(17%)+RAKPUB	aa-warera-ga-myao-shogun	あゝ我らがミャオ将軍	standard	ゼノンコミックス	徳間書店	4	978-4-19x2	徳間書店	3	9784867201527	978-4-86720	コアミックス	2020-07	2巻2019-12→-	7		あゝ我らがミャオ将軍（3）	ゼノンコミックス	コアミックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON37(26%)	ai-toka-ii-kara-dakishimete	愛とかいいから抱きしめて	standard	プティルコミックス	ハーパーコリンズ・ジャパン	6	978-4-596x4	ハーパーコリンズ・ジャパン	6	9784302109555	978-4-302	ハーパーコリンズ・ジャパン	2026-01-02	4巻2025-06→-	7		愛とかいいから抱きしめて　6	プティルコミックス　プティルコミックス　CMPTR98	ハーパーコリンズ・ジャパン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	aoi-kun-wa-mukimuki-kanojo-o-koutei-shitai	葵くんはムキムキ彼女を肯定したい	standard	ガンガンコミックスonline	スクウェア・エニックス	3	978-4-7575x2	スクウェア・エニックス	3	9784301002826	978-4-301	スクウェア・エニックス	2026-01-16	2巻2025-06→-	7		葵くんはムキムキ彼女を肯定したい（3）(完)	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	aquarion-evol	アクエリオンEVOL	standard	MFコミックス	メディアファクトリー	5	978-4-8401x3	メディアファクトリー	4	9784040661698	978-4-04	KADOKAWA	2013-12-27	3巻2013-05→-	7		アクエリオンEVOL　4	MFコミックス ジーンシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON22(63%)	asaha-furu	朝羽振る	standard	LINE COMICS	LINE Digital Frontier	4	978-4-86697x3	LINE Digital Frontier	1	9784909767943	978-4-909767	LINE Digital Frontier	2019-11-15	-→2巻2020-06	7		朝羽振る　1		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	asumi-chan-wa-rezu-fuuzoku-ni-kyoumi-ga-arimasu	彩純ちゃんはレズ風俗に興味があります!	standard	IDコミックス	一迅社	8	978-4-7580x7	一迅社	8	9784825100350	978-4-8251	一迅社	2026-07-28	7巻2025-12→-	7		彩純ちゃんはレズ風俗に興味があります！(8)	百合姫コミックス	一迅社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	ato-wa-go-jiyuu-ni-douzo	あとはご自由にどうぞ!	standard	IDコミックス. Rex comics	一迅社	4	978-4-7580x3	一迅社	4	9784825100909	978-4-8251	一迅社	2026-10-27	3巻2026-03→-	7				
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON60(72%)	boku-wa-imasugu-zense-no-kioku-o-sutetai-akogare-no-inaka-wa-jingai-makyou-deshita-comic	僕は今すぐ前世の記憶を捨てたい。～憧れの田舎は人外魔境でした～@COMIC	standard	コロナ・コミックス	TOブックス	5	978-4-86794x3	TOブックス	1	9784866999050	978-4-86699	TOブックス	2023-08	-→2巻2024-03	7		僕は今すぐ前世の記憶を捨てたい。〜憧れの田舎は人外魔境でした〜@COMIC 第1巻	コロナ・コミックス	TOブックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON7(70%)	brafman	ブラフマン	standard	CR comics	ジャイブ	5	978-4-86176x4	ジャイブ	1	9784902314830	978-4-902314	ジャイブ	2004-09	-→2巻2005-04	7		ブラフマン　vol．1	CR　COMICS	ジャイブ
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON102(19%)	bw	BW	standard	近代麻雀comics	竹書房	3	978-4-8019x2	竹書房	1	9784812485590	978-4-8124	竹書房	2014-05	-→2巻2014-12	7		BW（1）	近代麻雀コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	charlotte-totsuki-2024	シャーロット	standard	ガンガンコミックスonline	スクウェア・エニックス	4	978-4-7575x3	スクウェア・エニックス	4	9784301003250	978-4-301	スクウェア・エニックス	2026-02-16	3巻2025-07→-	7		シャーロット〜とある侍女の城仕え物語〜（4）(完)	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	dead-mount-death-play	デッドマウント・デスプレイ	standard	ヤングガンガンコミックス	スクウェア・エニックス	17	978-4-7575x15	スクウェア・エニックス	16	9784301001874	978-4-301	スクウェア・エニックス	2025-11-15	15巻2025-04→-	7		デッドマウント・デスプレイ（16）	ヤングガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	dethrone	ディスローン	standard	MFコミックス	メディアファクトリー	3	978-4-8401x2	メディアファクトリー	3	9784040662527	978-4-04	KADOKAWA	2014-01-23	2巻2013-06→-	7		ディスローン　3	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(24%)	dolci	Dolci	standard	Avarus series	マッグガーデン	3	978-4-86127x2	マッグガーデン	3	9784800000668	978-4-8000	マッグガーデン	2012-11-15	2巻2012-04→-	7		Dolci（3）	アヴァルスコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON17(71%)	dream-gold	ドリムゴード	standard	Blade comics	マッグガーデン	5	978-4-86127x4	マッグガーデン	1	9784901926751	978-4-901926	マッグガーデン	2003-09-09	-→2巻2004-04	7		ドリムゴード（1）	ブレイドコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(24%)	fetish-berry	フェティッシュベリー	standard	Avarus series	マッグガーデン	5	978-4-86127x3	マッグガーデン	4	9784800000385	978-4-8000	マッグガーデン	2012-08	3巻2012-01→-	7		フェティッシュベリー（4）	アヴァルスコミックス	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON8(57%)	fukakai-na-boku-no-subete-o	不可解なぼくのすべてを	standard	MeDu COMICS	ジーオーティー	5	978-4-8236x3	ジーオーティー	2	9784814802036	978-4-8148	ジーオーティー	2019-08	-→3巻2020-03	7		不可解なぼくのすべてを（2）	MeDu　COMICS	ジーオーティー
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	gakuen-sensuikantai-mermaid-girls	学園潜水艦隊マーメイドガールズ	standard	ビッグガンガンコミックス	スクウェア・エニックス	4	978-4-7575x2	スクウェア・エニックス	3	9784301001966	978-4-301	スクウェア・エニックス	2025-11-15	2巻2025-04→-	7		学園潜水艦隊マーメイドガールズ（3）	ビッグガンガンコミックス	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	gal-ni-yasashii-wotaku-kun	ギャルに優しいオタク君	standard	ガンガンコミックスonline	スクウェア・エニックス	6	978-4-7575x4	スクウェア・エニックス	5	9784301000587	978-4-301	スクウェア・エニックス	2025-09-13	4巻2025-02→-	7		ギャルに優しいオタク君（5）	ガンガンコミックスONLINE	スクウェア・エニックス
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON35(55%)+RAKPUB	gin-no-kuni	銀のくに	standard	ヒーローズコミックスふらっと	小学館クリエイティブ	3	978-4-86805x2	小学館クリエイティブ	1	9784864682558	978-4-86468	小学館クリエイティブ	2024-05-15	-→2巻2024-12	7		銀のくに（1）	ヒーローズコミックス ふらっと	ヒーローズ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	girls-und-panzer	ガールズ＆パンツァー	standard	MFコミックス	メディアファクトリー	4	978-4-8401x3	メディアファクトリー	4	9784040665481	978-4-04	KADOKAWA	2014-04	3巻2013-09→-	7		ガールズ＆パンツァー　4	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	goomanizumu-sengen	ゴーマニズム宣言	standard		扶桑社	9	978-4-594x8	扶桑社	9	9784575285659	978-4-575	双葉社	1996-03	8巻1995-08→-	7		ゴーマニズム宣言（9）		双葉社
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON56(76%)	haikei-koori-no-kishi-to-hazurehime-datta-watashitachi-e	拝啓「氷の騎士とはずれ姫」だったわたしたちへ	standard	ガルドコミックス	オーバーラップ	8	978-4-8240x6	オーバーラップ	2	9784865549256	978-4-86554	オーバーラップ	2021-05-25	-→3巻2021-12	7		拝啓「氷の騎士とはずれ姫」だったわたしたちへ 2	ガルドコミックス	オーバーラップ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON23(23%)+RAKPUB	hana-mo-mata-kimi-no-tame	花もまた、きみのため。	standard	Flex comix	ソフトバンククリエイティブ	3	978-4-7973x2	ソフトバンククリエイティブ	3	9784593880607	978-4-593	ほるぷ出版	2012-05	2巻2011-10→-	7		花もまた、きみのため。（3）	フレックスコミックス フレア	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON35(55%)+RAKPUB	hanabi-chan-wa-okuregachi	ハナビちゃんは遅れがち	standard	HCヒーローズコミックス	小学館クリエイティブ	10	978-4-86468x8	小学館クリエイティブ	9	9784868050490	978-4-86805	小学館クリエイティブ	2025-03-12	8巻2024-08→-	7		ハナビちゃんは遅れがち（9）		ヒーローズ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON3(43%)	harassment-ga-kowai-maki-senpai	ハラスメントが怖いマキ先輩!	standard		viviON viviON THOTH	3	978-4-910803x2	viviON viviON THOTH	3	9784911351208	978-4-911351	viviON viviON THOTH	2026-10-30	2巻2026-03→-	7				
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON58(56%)	hinata-to-onii-chan	ひなたとお兄ちゃん	standard	Howl comics	一迅社	3	978-4-7580x2	一迅社	3	9784825101166	978-4-8251	一迅社	2026-09-15	2巻2026-02→-	7				
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON30(25%)	hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	standard	バンブーコミックス	竹書房	10	978-4-8124x8	竹書房	2	9784884758233	978-4-88475	竹書房	1995-07-27	-→3巻1996-02	7		田島みるくの本当にあった愉快な話（2）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON35(55%)+RAKPUB	hundred-handles-handling-the-world	ハンドレッドハンドルズハンドリングザ・ワールド	standard	ヒーローズコミックスふらっと	小学館クリエイティブ	3	978-4-86468x2	小学館クリエイティブ	3	9784868050322	978-4-86805	小学館クリエイティブ	2025-03-12	2巻2024-08→-	7		ハンドレッドハンドルズハンドリングザ・ワールド（3）		ヒーローズ
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON240(70%)	ijime-wa-akuma-no-shogyou-desu-maria-no-danzai-mokushiroku	イジメは悪魔の所業です!	standard	ガンガンコミックスonline	スクウェア・エニックス	3	978-4-7575x2	スクウェア・エニックス	3	9784301002253	978-4-301	スクウェア・エニックス	2025-12-26	2巻2025-05→-	7		イジメは悪魔の所業です！〜マリアの断罪黙示録〜（3）(完)	ガンガンコミックスONLINE	スクウェア・エニックス
