slug	last_pub_year	anilist_status	anilist_end_year
yoru-o-buttobase	1997	FINISHED	1997
yuusha-kojiroo-2	1997	-	
zanmakenden	1997	FINISHED	1997
zz	1997	-	
19-rufu-19	1998	-	
ai-no-kamen	1998	-	
aji-gokudou-ryouhei	1998	-	
akaneiro-junjou	1998	-	
anata-ni-aete-yokatta	1998	-	
araragi-express	1998	FINISHED	1998
ashitakagayaku	1998	FINISHED	1973
awasete-1-pon	1998	FINISHED	1997
battle-thunder	1998	-	
beru-star-goutoudan	1998	FINISHED	1995
bodaiju	1998	FINISHED	1985
bran-new	1998	FINISHED	1998
buttobihiromi-kun	1998	-	
chim-chim-cheree	1998	-	
dennou-junkei	1998	-	
diamond-girl	1998	FINISHED	1997
dog-world	1998	FINISHED	1977
elan	1998	-	
fuchi-to-narinu	1998	FINISHED	1998
good-bad-mama	1998	FINISHED	1998
hallelujah-7	1998	FINISHED	1998
hana-ni-koi-shite-souraeba	1998	-	
happy-boy	1998	FINISHED	1997
heart-beat-ni-nosete	1998	-	
hitomi-ippai-no-namida	1998	-	
idol-sousei-densetsu-princess	1998	FINISHED	1998
igi-ari	1998	-	
jun	1998	-	
kazoku-no-shokutaku	1998	-	
king-of-fighters-giga	1998	FINISHED	
kirin-yagami-1998	1998	FINISHED	1998
koi-ga-bokura-o-yurusu-hani	1998	FINISHED	1998
kokoro-no-meikyuu	1998	FINISHED	1998
konguru-good	1998	-	
love-senka	1998	-	
lucky-god-billiken	1998	-	
mahou-shoujo-pretty-sammy	1998	FINISHED	1998
maji-bangaihen	1998	FINISHED	1998
manatsu-no-kuni	1998	-	
messiah-half	1998	FINISHED	1998
mille-fleurs	1998	FINISHED	
monohon-honmonology	1998	FINISHED	1998
nariyuki-dungeon	1998	FINISHED	1998
nue-1998	1998	-	
oedo-musume-ninja	1998	FINISHED	
onnanoko-pokopon	1998	-	
pit-bull	1998	-	
plamo-wars	1998	-	
present	1998	FINISHED	1998
ringo	1998	FINISHED	
roodosutou-senki-1997	1998	FINISHED	1998
shin-yatto-anshin-uchuu-ryokou	1998	-	
shokuninzukushi-hyakkei	1998	-	
toppuku-kyousoukyoku	1998	FINISHED	1998
tsukiiro-kyousoukyoku	1998	-	
tsuraize-boku-chan	1998	FINISHED	1975
vaacharu-batoraa-jin	1998	-	
voice	1998	-	
wagana-wa-wolf	1998	-	
warera-no-ryuugi	1998	-	
yakouun	1998	-	
yaku-mitsuru-no-ochanko-club	1998	-	
21seiki-no-ookami	1999	FINISHED	1999
arina	1999	FINISHED	1998
asu-no-tameni	1999	-	
blank-up	1999	-	
botamochi-o-sagashite	1999	-	
cheap-thrill	1999	FINISHED	1992
choberibu	1999	-	
cinema	1999	FINISHED	1999
derby-sutarion-gaiden-dabisuta-buriidaazu-battle	1999	-	
diamond-paradise	1999	FINISHED	1985
donto-excuse-me	1999	-	
erika-no-oka-no-monogatari	1999	-	
fancy-zatsugidan	1999	-	
femme-fatale	1999	-	
frankensteins-princess	1999	-	
friends	1999	-	
gamma-1999	1999	-	
genji-monogatari-1995	1999	-	
girls	1999	FINISHED	1990
goudou-nain	1999	-	
hey-cathy	1999	-	
houkago-children	1999	-	
jelly-in-the-merry-go-round	1999	FINISHED	1998
jitsuroku-takasare	1999	-	
kaze-kara-kiita-hanashi	1999	-	
kaze-koi-ki	1999	-	
kekkon-yosouyo	1999	FINISHED	1999
kimi-dakeni-kagayaku	1999	-	
kokuritsu-hakubutsukan-monogatari	1999	FINISHED	1999
kooni-ga-kitatsu	1999	-	
kurenai-niou-takemiya-1994	1999	FINISHED	1995
kusekke-lullaby	1999	-	
last-order	1999	-	
