isbn	reason	adult	title	base	vol	brand	pub	date
9784758067690	no_creator		スライムにエッチなイタズラされちゃうアンソロジーコミック	スライムにエッチなイタズラされちゃうアンソロジーコミック	3	IDコミックス	講談社	2018-11
9784758020152	no_creator		文豪とアルケミストコミックアンソロジー	文豪とアルケミストコミックアンソロジー	vol. 4	DNAメディアコミックス	講談社	2018-11
9784799211892	no_creator	1	大量中出しで卵子を完全包囲!	大量中出しで卵子を完全包囲!		二次元コミックマガジン	キルタイムコミュニケーション	2018-11
9784815500405	no_creator		熟れおじBL : この年にして性に目覚める	熟れおじBL		Charles Comics	三交社	2018-11
9784785963057	no_creator		ときめきごはん : 思い出食堂特別編集	ときめきごはん	no. 10	Comic	少年画報社	2018-10
9784785963101	no_creator		居酒屋deごはん : ひとり満福? : 思い出食堂特別編集	居酒屋deごはん		Comic	少年画報社	2018-10
9784785963170	no_creator		みんなの食卓	みんなの食卓	no. 24	Comic	少年画報社	2018-11
9784785963002	no_creator		お江戸ねこぱんち	お江戸ねこぱんち	其の20	にゃんcomi	少年画報社	2018-10
9784396784621	no_creator		On blue : boys love anthology for ultimate entertainment	On blue	vol. 37		祥伝社	2018-11
9784081022670	no_creator		北斗の拳ジャンプベストシーンtop 10	北斗の拳ジャンプベストシーンtop 10		集英社ムック	集英社	2018-09
9784758066365	no_creator		人外の嫁といちゃいちゃするアンソロジーコミック	人外の嫁といちゃいちゃするアンソロジーコミック		IDコミックス	一迅社	2016-12
9784813032021	no_creator		Craft : original comic anthology	Craft	vol. 78	H &amp	大洋図書	2018-11
9784801916586	no_creator		本当にあった愉快な話芸能プレミアム	本当にあった愉快な話芸能プレミアム	2018 秋号	バンブームック	竹書房	2018-11
9784801917309	no_creator		女のブラック履歴書	女のブラック履歴書		バンブームック	竹書房	2018-12
9784815550141	no_creator		R-40 BL : ふしだらなOVER四十路たち	R-40 BL		DAISY COMICS	三交社	2018-12
9784758067782	no_creator		ゴブリンにエロいことされちゃうアンソロジーコミック	ゴブリンにエロいことされちゃうアンソロジーコミック	4	IDコミックス	講談社	2018-12
9784799212172	no_creator	1	生意気女に腹パン制裁!	生意気女に腹パン制裁!		二次元コミックマガジン	キルタイムコミュニケーション	2018-12
9784758067799	no_creator		スライムにエッチなイタズラされちゃうアンソロジーコミック	スライムにエッチなイタズラされちゃうアンソロジーコミック	4	IDコミックス	講談社	2018-12
9784758020220	no_creator		Fate/grand orderコミックアンソロジーthe next	Fate/grand orderコミックアンソロジーthe next	3	DNAメディアコミックス	一迅社	2019-01
9784799212202	no_creator	1	異種NTR : 別冊コミックアンリアル	異種NTR		アンリアルコミックス	キルタイムコミュニケーション	2018-12
9784799212189	no_creator	1	敗北乙女エクスタシー	敗北乙女エクスタシー	SP.06	二次元ドリームコミックス	キルタイムコミュニケーション	2018-12
