判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
別題ISBN無交差=概ね正当	B_基底頁あり	bakidou-itagaki2019	bakidou	17	22	0	バキ道	刃牙道	板垣恵介	板垣恵介	2019	2014	bakidou-itagaki2019	bakidou
別題ISBN無交差=概ね正当	B_基底頁あり	birth-2002	birth	9	6	0	BIRTH	バース	山口譲司/Seinen/Gore	山口譲司/Seinen/Gore	2002	1998	birth-2002	birth
別題ISBN無交差=概ね正当	B_基底頁あり	boku-no-nee-chan-2015	boku-no-nee-chan	1	2	0	続・僕の姉ちゃん	僕の姉ちゃん	益田ミリ/Family Life	益田ミリ/Family Life	2015	2011	boku-no-nee-chan-2015	boku-no-nee-chan
別題ISBN無交差=概ね正当	B_基底頁あり	boys-love-2016	boys-love	3	5	0	ボーイズラブ!	Boys Love	松本ミーコハウス/Boys' Love/Love Triangle	毒液/Boys' Love	2016	2022	boys-love-2016	boys-love
別題ISBN無交差=概ね正当	B_基底頁あり	card-kyaputaa-sakura-2016	card-kyaputaa-sakura	19	24	0	カードキャプターさくら クリアカード編	カードキャプターさくら	CLAMP	CLAMP	2016	1996	card-kyaputaa-sakura-2016	card-kyaputaa-sakura
別題ISBN無交差=概ね正当	B_基底頁あり	change-2018	change	6	7	0	Change!	チェンジ	曽田正人/冨山玖呂/晋平太/Shounen	小山ゆう/Shounen/Baseball	2018	1988	change-2018	change
別題ISBN無交差=概ね正当	B_基底頁あり	chocolate-girl-2013	chocolate-girl	1	3	0	チョコレートガールEXTRA	チョコレートガール	吉原由起/Josei	吉原由起/Josei	2013	2010	chocolate-girl-2013	chocolate-girl
別題ISBN無交差=概ね正当	B_基底頁あり	cobra-1995	cobra	26	40	0	COBRA	コブラ	寺沢武一	寺沢武一	1994	1983	cobra-1995	cobra
別題ISBN無交差=概ね正当	B_基底頁あり	duel-masters-2015	duel-masters	12	17	0	デュエル・マスターズバーサス	デュエル・マスターズ	松本しげのぶ/かる/押目祥樹/Card Battle/Kids	松本しげのぶ/中村聡	2014	1999	duel-masters-2015	duel-masters
別題ISBN無交差=概ね正当	B_基底頁あり	durarara-2015	durarara	4	8	0	'デュラララ!! re: ダラーズ編'	デュラララ!!	あおぎり/Shounen	茶鳥木明代/成田良悟/Gangs/Shounen	2015	2009	durarara-2015	durarara
別題ISBN無交差=概ね正当	B_基底頁あり	elite-yankee-saburou-2005	elite-yankee-saburou	25	26	0	エリートヤンキー三郎 第2部	エリートヤンキー三郎	阿部秀司	阿部秀司	2005	2000	elite-yankee-saburou-2005	elite-yankee-saburou
別題ISBN無交差=概ね正当	B_基底頁あり	fate-zero-2011	fate-zero	1	14	0	Fate/zeroコミックアラカルト	Fate/Zero	TYPE-MOON/虚淵玄	真じろう/虚淵玄/TYPE-MOON/Seinen/Mythology	2011	2011	fate-zero-2011	fate-zero
別題ISBN無交差=概ね正当	B_基底頁あり	fire-emblem-thracia-776-2000	fire-emblem-thracia-776	1	3	0	ファイアーエムブレム トラキア776	FIRE EMBLEM THRACIA 776	日野慎之助/Magic/War/Shounen	たかなぎ優名/Magic/War/Shounen	2000	2000	fire-emblem-thracia-776-2000	fire-emblem-thracia-776
別題ISBN無交差=概ね正当	B_基底頁あり	gakkou-kachinukisen-jikken-taiketsu-2016	gakkou-kachinukisen-jikken-taiketsu	5	20	0	学校勝ちぬき戦 実験対決	学校勝ち抜き戦 実験対決	洪鐘賢/HANA Press Inc.	洪鐘賢/ゴムドリ.co/HANA韓国語教育研究会/HANA Press Inc.	2015	2010	gakkou-kachinukisen-jikken-taiketsu-2016	gakkou-kachinukisen-jikken-taiketsu
別題ISBN無交差=概ね正当	B_基底頁あり	garla-2000	garla	1	1	0	ガルラ 電送人バルバー	ガルラ	永井豪/Shounen	永井豪/Shounen	2000	1982	garla-2000	garla
別題ISBN無交差=概ね正当	B_基底頁あり	gekiman-2015	gekiman	5	9	0	激マン! マジンガーZ編	激マン!	永井豪/永井豪＆ダイナミックプロ/Autobiographical/Seinen	永井豪/ダイナミックプロ/Seinen/Autobiographical/Writing	2014	2010	gekiman-2015	gekiman
別題ISBN無交差=概ね正当	B_基底頁あり	ginga-sengoku-gunyuuden-rai-2004	ginga-sengoku-gunyuuden-rai	1	27	0	銀河戦国群雄伝ライ 異聞	銀河戦国群雄伝ライ	真鍋譲治	真鍋譲治	2004	1993	ginga-sengoku-gunyuuden-rai-2004	ginga-sengoku-gunyuuden-rai
