page_slug	series_title	n_isbn(未掲載版)	page_vols	imprint	sid
gold-1997	Gold	2	1	YKベスト	122848
koike-kazuo-no-za-shibi-golf	小池一夫のザ・シビゴルフ	2	3		124478
ekuserento-men-kiite	Ex-men聞いて	2	3	あすかコミックス	124969
devilman	デビルマン	2	3	KCデラックス	125315
meitantei-conan-harouin-no-hanayome	名探偵コナンハロウィンの花嫁	2	2	少年サンデーコミックスビジュアルセレクシ	127243
meitantei-conan-hiiro-no-dangan	名探偵コナン緋色の弾丸	2	2	少年サンデーコミックスビジュアルセレクシ	127254
mahou-shoujo-lyrical-nanoha-strikers-the-comics	魔法少女リリカルなのはstrikers the comics	2	2	Nora comics = ノーラコミッ	129795
a-peanuts-book-special-featuring-snoopy	A Peanuts Book Special featuring	2	1		130460
akb0048	AKB0048	2	2	講談社コミックスマガジン	130497
heaven-2001	Heaven	2	1	Patsy comics	131528
kyuupii-gaiden-drama-special	QP外伝ドラマスペシャル	2	1	YK best	132266
re-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活	2	3	MFコミックス. アライブ+シリーズ	132366
shion	SHION	2	2	コロコロコミックス	132443
vitamin-z	VitaminZ	2	2	ビーズログコミックス	132892
tamaranai-etchi-na-taiken-oshiemasu	たまらないHな体験教えます	2	1	SP pocket wide	136045
puyopuyo	ぷよぷよ　4コマギャグバトル	2	2	Shounenoh comics	137261
manga-grimm-douwa-2003	まんがグリム童話	2	1	まんがグリム童話	137641
yappari-majime-ni-danjo-kousai	やっぱりまじめに!男女交際	2	3	マーガレットコミックス	138023
andromeda-stories	アンドロメダ・ストーリーズ	2	3	あすかコミックスDX	138839
elisabeth	エリザベート	2	2	講談社漫画文庫	139287
chance-1987	チャンス!	2	3	講談社コミックスミミ	142450
doraemon-himitsu-dougu-hyakka	ドラえもんひみつ道具百科.	2	2		142949
final-fantasy	ファイナルファンタジー	2	1	Vジャンプコミックス アニメコミックスシ	144099
herubooi	ヘルボーイ	2	2	Jive American comics	144624
louvre-no-neko	ルーヴルの猫	2	2	ビッグコミックススペシャル	146234
rockman-zx	ロックマンゼクス	2	2		146391
maeda-toshiie	前田利家	2	2	このマンガがすごい!comics	149177
ten-yori-takaku	天より高く	2	2	希望コミックス	151202
ten-yori-takaku	天より高く!	2	2	ジャンプ・コミックス	151204
soukei	宗桂	2	3	SP pocket wide	152310
jitsuwa-maji-de-kowaai-hanashi	実話マジで怖ーい話	2	1	SP pocket wide	152357
taimadou-gakuen-35-shiken-shoutai	対魔導学園35試験小隊	2	3	MFコミックス	152565
shin-rabutsuna	新ラブツナ	2	1	ピクト・コミックス	155844
kasuga-no-tsubone-1988-2	春日局	2	2	わたなべまさこ名作集	156307
mobile-suit-bui-gundam	機動戦士Vガンダム	2	2	KPC	157292
mobile-suit-gundam-f91	機動戦士ガンダムF91	2	1	KPC	157337
mobile-suit-gundam-climax-yuushii-tsumugareshi-kettou	機動戦士ガンダムクライマックスU.C.-紡がれし血統-	2	2	角川コミックス・エース	157409
mobile-suit-gundam-gaiden	機動戦士ガンダム外伝	2	1	講談社コミックスボンボンデラックス	157430
mobile-suit-gundam-senki	機動戦士ガンダム戦記	2	2	角川コミックス・エース	157434
hyakka-ryouran-samurai-girls	百花繚乱サムライガールズ	2	2	MFコミックス	160362
sugao-no-mamade-1985	素顔のままで	2	1	マーガレットコミックス	161601
hana-no-koukou-joshi-gorufubu	花の高校女子ゴルフ部	2	2	GOLF LESSON COMIC BO	162610
reikansha-no-file	霊感者の事件簿	2	1	マンサンコミックス	165341
kishi-gundam-seiden	騎士ガンダム聖伝	2	3	KCDX	165680
mukuro-buiesu-hibari	骸VSヒバリ	2	1	ピクト・コミックス	165704
