slug	title	edition	numbers
awana-chan-wa-kyou-mo-shiawase	あゎ菜ちゃんは今日もしあわせ	通常版	2,3
ayakashiko	あやかしこ	通常版	2,3,4,5,6,7,8
ayashikimi	アヤシキミ	通常版	2,3
baby-shachuu-hackers	ベイビー車中ハッカーズ	通常版	2,3
bad-baby-wa-nakanai	バッドベイビーは泣かない	通常版	2,3,4
baito-kun	バイトくん	通常版	2,3
bake-bake-bake	ベイク・ベイク・ベイク	通常版	2,3
bakumeshi	ばくめし!	通常版	2,3,4,5,6
bakuon-taiwan-hen	ばくおん!!台湾編	通常版	2,3,4
barubaro	バルバロ!	通常版	2,3
bastard	BASTARD!!	愛蔵版	2,3,4,5,6,7,8,9
batchiri-scratch	ばっちりスクラッチ	通常版	2,3
battle-heart	バトル・ハート	通常版	2,3
biblia-koshodou-no-jiken-techou-tobiko-to-utsuro-na-yume	ビブリア古書堂の事件手帖扉子と虚ろな夢	通常版	2,3
bitter-playmate	ビタープレイメイト	通常版	2,3
blife	BLife	通常版	2,3,4
bodo-kan	ボドカン!	通常版	2,3
bokkinseerusuman	ぼっきん性留守マン	通常版	2,3
boku-no-ikezu-na-konyakusha	僕のいけずな婚約者	通常版	2,3
boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	通常版	2,3,4
booska-plus	ブースカプラス	通常版	2,3
botsu-chan-no-jidai-1989	坊ちゃんの時代	通常版	2,3,4,5
bouken-kyouryuukan	まんが 冒険恐竜館	通常版	2,3,4,5
boukun-sama-wa-yasashiku-naritai	暴君様は優しくなりたい	通常版	2,3
braju	ブラジュ～	通常版	2,3
bumper	バンプアー	通常版	2,3,4
bushigin	武士銀	通常版	2,3,4,5
byakumonogatari	白物語	通常版	2,3
byoujaku-na-imouto-ni-subete-o-sakushu-sarete-kita-reijou-wa-mou-nanimo-ubawasenai	病弱な妹に全てを搾取されてきた令嬢はもう何も奪わせない	通常版	2,3
cannabis	カンナビス	通常版	2,3,4
chanpen-to-mamapen-no-heibon-dakedo-shiawase-na-hibi	ちゃんぺんとママぺんの平凡だけど幸せな日々	通常版	2,3
chihaya-restart	チハヤリスタート!	通常版	2,3,4
chiisa-na-madougu-gishi-no-rakuraku-sei-san-kakumei	小さな魔道具技師のらくらく生産革命	通常版	2,3
chimera	キメイラ	通常版	2,3
chinchin-devil-o-oe	チンチンデビルを追え!	デラックス版	2,3,4
chippai-joshi-to-osuppai-otoko	ちっぱい女子と雄っぱい男子	通常版	2,3,4,5
chiro-chan	ちろちゃん	通常版	2,3,4,5
choitsuri-dandy	ちょい釣りダンディ	通常版	2,3,4
chou-ten-chan	超てんちゃん!	通常版	2,3
chuchu-hunter	Chu❤chuハンター	通常版	2,3
chun-talk	ちゅんトーク	通常版	2,3,4
chuutoriaru-ga-hajimaru-mae-ni	チュートリアルが始まる前に	通常版	2,3,4
cinderella-express	シンデレラ・エクスプレス	通常版	2,3,4
cmyk-sameda-kazuo-wa-chuunibyou-ga-naosenai	CMYK鮫田和王は厨二病が治せない	通常版	2,3,4,5
collar-me	Collar me	通常版	2,3
colorful-antinomy	カラフルアンチノミー	通常版	2,3
comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー	通常版	2,3,4
comic-bii-tarou	コミックビー太郎	通常版	2,3,4,5
comic-cue	Comic cue	通常版	2,3
comic-image-special	コミックイマージュ・スペシャル	通常版	2,3
comic-shin-genjitsu	Comic新現実	通常版	2,3,4,5
cosmos-rakuenki	コスモス楽園記	デラックス版	2,3,4,5
coyote	コヨーテ	通常版	2,3,4
crash-junky-spirit	Crash junky × spirit	通常版	2,3
crown	CROWN	通常版	2,3,4,5
da-capo-3	D.C.Ⅲ～ダ・カーポⅢ～	通常版	2,3
dakasete-kudasai-furutaka-shunin	抱かせてください古高主任	通常版	2,3
dameo-no-shiina-senpai-to-yabao-no-sasaki-kun	ダメ男の椎名先輩とヤバ男の佐々木くん	通常版	2,3
danna-sama-kaseide-rikon-sasete-itadakimasu	旦那様、稼いで離婚させていただきます!	通常版	2,3
danna-sama-wa-saikyou	旦那様は最強	通常版	2,3,4,5
danna-sama-wa-tsuma-no-watashi-yori-osananajimi-no-hou-ga-taisetsu-na-you-desu	旦那様は妻の私より幼馴染の方が大切なようです	通常版	2,3
danshikou-no-hime	男子校の姫	通常版	2,3
danshikou-no-seitai	男子校の生態	通常版	2,3
dansou-kishi-wa-elite-kishidanchou-kara-hanareraremasen	男装騎士はエリート騎士団長から離れられません!	通常版	2,3
datte-nozomarenai-tsugai-desu-kara	だって望まれない番ですから	通常版	2,3
dekiai-shuuchaku-alpha-kun	溺愛執着αくん	通常版	2,3,4
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	ドS騎士団長のご奉仕メイドに任命されましたが、私××なんですけど!?	通常版	2,3
dokuoya-ni-sodateraremashita	毒親に育てられました	通常版	2,3
dorobune-kizoku-no-goreijou	泥船貴族のご令嬢	通常版	2,3
dotabata-henachoko-tanteidan	どたばたへなちょこ探偵団	通常版	2,3
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	通常版	2,3,4
doushi-shoujo-yo-teki-o-ute	同志少女よ、敵を撃て	通常版	2,3
dragon-bugyou	ドラゴン奉行	通常版	2,3
dramatic-maestro	ドラマチック・マエストロ	通常版	2,3
dropout-kara-no-saishuushokusaki-wa-isekai-no-saikyou-kishidan-deshita	ドロップアウトからの再就職先は、異世界の最強騎士団でした	通常版	2,3,4
dungeon-ga-arawarete-5-nen-15-sai-de-dungeon-ni-idomu-koto-ni-shita	ダンジョンが現れて5年、15歳でダンジョンに挑むことにした。	通常版	2,3,4
echiechi-gakuensai	えちえち学園祭	通常版	2,3,4,5,6
eguchi-hisashi-jump-works	江口寿史JUMP WORKS	通常版	2,3,4
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手	通常版	2,3,4
eiyuu-buran-no-jinsei-keikaku	英雄ブランの人生計画	通常版	2,3
eiyuu-to-majo-no-tensei-rabukome	英雄と魔女の転生ラブコメ	通常版	2,3,4
fate-grand-order	Fate/grand order	通常版	2,3,4,5
fluidrat	フルイドラット	通常版	2,3
fuguu-reijou-to-hikikomori-mahoutsukai	不遇令嬢とひきこもり魔法使い	通常版	2,3
fukigen-itoko-ga-kawaisugite-shikatanai-side-naoki	不機嫌イトコがかわい過ぎて仕方ないside直樹	通常版	2,3
futoccho-kizoku-wa-meikyuu-de-waltz-o-odoru	太っちょ貴族は迷宮でワルツを踊る	通常版	2,3,4
futsutsukamono-desu-dekiai-shite-kudasai	ふつつかものですが、溺愛してください。	通常版	2,3
galaxias	GALAXIAS	通常版	2,3
ganbare-koppepan-wani	がんばれ!コッペパンわに	通常版	2,3,4
garou-no-keifu	餓狼の系譜	通常版	2,3,4
garuru-girl	ガルルガール	通常版	2,3
gate-0-zero	ゲート0-zero-	通常版	2,3,4
gekiga-hiroike-chikurou	劇画広池千九郎	通常版	2,3,4,5
genjitsu-sekai-demo-shiawase-ni-shite-kudasai-ne	現実世界でも幸せにしてくださいね?	通常版	2,3
gessekai-ryokou	月世界旅行	通常版	2,3
gin-no-golf	銀のゴルフ	通常版	2,3
girls-ando-panzer-purauda-senki	ガールズ&パンツァープラウダ戦記	通常版	2,3,4,5
girls-zombie-party	ガールズゾンビパーティー	通常版	2,3,4
good-morning-sunshine	グッドモーニング・サンシャイン	通常版	2,3
gorudoo	ゴルドオ	通常版	2,3,4
gunshin-to-itsuwari-no-hanayome	軍神と偽りの花嫁	通常版	2,3
gurenki	紅蓮紀	通常版	2,3
gyouten-ningen-batsealer	仰天人間バトシーラー	デラックス版	2,3
ha-ra-pekotsuuringurume	はらぺこツーリングルメ	通常版	2,3
hai-kaburanai-hime	灰かぶらない姫	通常版	2,3,4
hai-ni-shite	Highにして!	通常版	2,3
hai-to-gin-no-hane	灰と銀の羽根	通常版	2,3
