key	base	verdict	role	new_slug	title	surname	flag
qid:Q11476838|name:ファイアーエムブレム	fire-emblem	different_works	sub	fire-emblem-1993	ファイアーエムブレム		YEAR_ONLY
qid:Q11516343|name:ファイアーエムブレム 聖戦の系譜	fire-emblem	different_works	sub	fire-emblem-1997-2	ファイアーエムブレム 聖戦の系譜		YEAR_ONLY
qid:Q11359703|name:ファイアーエムブレム 風の魔道士	fire-emblem	different_works	sub	fire-emblem-1998	ファイアーエムブレム 風の魔道士		YEAR_ONLY
name:愛英史|name:ゼロ	zero	different_works	main	zero	ゼロ		
name:朴晟佑|name:Zero	zero	different_works	sub	zero-2009	Zero		YEAR_ONLY
qid:Q5362768|name:ZERO	zero	different_works	sub	zero-yamazaki-2009	Zero	yamazaki	
qid:Q453372|name:ZERO	zero	different_works	sub	zero-1996	ZERO		YEAR_ONLY
qid:Q1504165|name:ZERO	zero	different_works	sub	zero-matsumoto	Zero	matsumoto	
name:伊月慶悟|name:Jihad	jihad	different_works	main	jihad	Jihad	izuki	
name:定金伸治|name:ジハード	jihad	different_works	sub	jihad-sadakane-1993	ジハード	sadakane	
qid:Q9304625|name:EIGHTH	eighth	different_works	main	eighth	Eighth	kawachi	
name:伊図透|name:エイス	eighth	different_works	sub	eighth-izu-2013	エイス	izu	
name:伊庭晋太郎|name:マリア	maria	different_works	main	maria	マリア	iba	
name:井口達也|name:マリア	maria	different_works	sub	maria-iguchi-2015	マリア	iguchi	
qid:Q20042291|name:摩莉亜	maria	different_works	sub	maria-2002	摩莉亜		YEAR_ONLY
qid:Q844082|name:マリア	maria	different_works	sub	maria-kamimura-2003	マリア	kamimura	
qid:Q229724|name:ま・り・あ	maria	different_works	sub	maria-takeuchi-1990	ま・り・あ	takeuchi	
qid:Q11557567|name:マリア	maria	different_works	sub	maria-2002-2	マリア		YEAR_ONLY
qid:Q11276104|name:Maria	maria	different_works	sub	maria-hiura-2003	Maria	hiura	
qid:Q873283|name:dear	dear	different_works	main	dear	dear		
name:伊藤ゆう|name:Dear	dear	different_works	sub	dear-ito-1991	Dear	ito	
qid:Q11279020|name:Dear!	dear	different_works	sub	dear-mitsuki-2010	Dear!	mitsuki	
qid:Q11541939|name:勝手にしやがれ!	katte-ni-shiyagare	different_works	main	katte-ni-shiyagare	勝手にしやがれ!	makimura	
name:羽柴紀子|name:勝手にしやがれ!	katte-ni-shiyagare	different_works	sub	katte-ni-shiyagare-1996	勝手にしやがれ!		YEAR_ONLY
