slug	title	our_authors	source_authors(同題)	status
aa-tantei-jimusho	ああ探偵事務所	関﨑俊三	関崎俊三	AUTHOR_MISMATCH
aa-toka-uu-shika-ienai	あーとかうーしか言えない	藤沢里菜	笑真;近藤;近藤笑真	AUTHOR_MISMATCH
aaru-teii-ee-sousha-wa-game-sekai-kara-kaerenai	RTA走者はゲーム世界から帰れない	uzno		NOT_FOUND
abakanaide-x-kuro-rekishi	暴かないで×黒歴史	二ノ前アマネ		NOT_FOUND
abekubo-kyouju-no-rifujin-na-kougi	安倍窪教授の理不尽な講義	滝沢聖峰		NOT_FOUND
abigeiru-no-kemonotachi	薔薇監獄の獣たち	萩原アサ美	蒼木スピカ	AUTHOR_MISMATCH
abikore	アビコレ	小西紀行	小西;紀行	AUTHOR_MISMATCH
abiou-jigoku-o-deru	阿鼻王地獄を出る	日口十二	十二;日口	AUTHOR_MISMATCH
abu-noomaru	阿武ノーマル	川上大和	タイジュン;大和;川上	AUTHOR_MISMATCH
abu-san-tsunohazu-2008	危さん	奴隷ジャッキー	ドレエジャッキィ	AUTHOR_MISMATCH
abunai-koto-hodo-kane-ni-naru	危いことほど金になる	花小路ユミ	花小路小町	AUTHOR_MISMATCH
abunoomarukei-joshi	危ノーマル系女子	カトウハルアキ	真田ジューイチ	AUTHOR_MISMATCH
aburabu	あぶらぶ	アリシャン		NOT_FOUND
abysmal	アビスマル	コカムモ		NOT_FOUND
abyss-ajuuru-no-tsumibito	アビスアジュールの罪人	冨明仁		NOT_FOUND
abyss-kooringu	アビス・コーリング	槻影;野村エージ		NOT_FOUND
abyss-rage	アビスレイジ	成田成哲		NOT_FOUND
academic-hype	アカデミックハイプ	衣谷イロ	シュンケ;西塔	AUTHOR_MISMATCH
acca-13-ku-kansatsuka-p-s	ACCA13区監察課P.S	オノ;ナツメ		NOT_FOUND
accel-star	アクセルスター	ヒミツ	葉那	AUTHOR_MISMATCH
acro-trip	アクロトリップ	アンネコ	佐和田米	AUTHOR_MISMATCH
act-out	アクトアウト	アマネカムラギ	冬房承	AUTHOR_MISMATCH
actor-dance	アクターダンス	村上ペコ	ペコ;村上	AUTHOR_MISMATCH
adachi-tsutomu-monogatari	あだち勉物語	アリマ猛		NOT_FOUND
adagataki	仇敵-アダガタキ-	フジモトコッチ	コッチ;フジモト	AUTHOR_MISMATCH
adam-no-rokkotsu	アダムの肋骨	佐藤千鳥	ミチノクアタミ	AUTHOR_MISMATCH
adamas-no-majotachi	アダマスの魔女たち	今井ユウ	ユウ;今井	AUTHOR_MISMATCH
adarutona-kaihatsushitsu	アダルトな開発室	極楽院櫻子	サクラアシカ	AUTHOR_MISMATCH
adashimono	あだしもの	大野彰	山本久美子;山本久美子(漫画家)	AUTHOR_MISMATCH
adelaide	アデライド	habinchae		NOT_FOUND
adidas-manga-fever	アディダスマンガフィーバー	大友克洋		AUTHOR_MISMATCH
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	高階良子		NOT_FOUND
adult-kids	アダルトキッズ	山本夜羽音	玄田生	AUTHOR_MISMATCH
adventure2030-gakuen	Adventure2030学園	ミヤタ泰宏		NOT_FOUND
after-5-no-jououtachi	アフター5の女王たち	武川慎	リョウ;六反;六反リョウ	AUTHOR_MISMATCH
after-god	アフターゴッド	江野スミ	朱美;江野	AUTHOR_MISMATCH
after-midnight-skin	アフター・ミッドナイト・スキン	ニムマヒロ		NOT_FOUND
afternoon-potaufen	Afternoon potaufen	瀬口タカヒロ	マツイモトキ	AUTHOR_MISMATCH
afurika-no-salaryman	アフリカのサラリーマン	映画館	ガム	AUTHOR_MISMATCH
agape	アガペー	真鍋昌平	昌平;真鍋	AUTHOR_MISMATCH
agapes-1999	Agapes	山田玲司		NOT_FOUND
agartha-game	アガルタゲーム	倭川佐;青海兼	倭川;青海	AUTHOR_MISMATCH
agn-g-es-rosenstiehl	Agn「G」es Rosenstiehl.	(unknown)	agn「g」es;rosenstiehl	AUTHOR_MISMATCH
ahab	エイハブ	猿渡哲也	哲也;猿渡	AUTHOR_MISMATCH
ahogenomu	アホゲノム	井上和郎		NOT_FOUND
ahondara	あほんだら	ササヤナナエコ	コシバシゲル;ササヤナナエ	AUTHOR_MISMATCH
ai-da-koi-da-no-shohousen	愛だ、恋だの処方箋	秋久テオ	テオ;秋久	AUTHOR_MISMATCH
ai-datoka-fukushuu-datoka	愛だとか復讐だとか	toguchi		NOT_FOUND
ai-ga-aru	あいがある	ナカハラ★モモタ	ナカハラ;モモタ	AUTHOR_MISMATCH
ai-ga-nakereba-idol-dekinai	愛がなければアイドルできない	北川夕夏	北川;夕夏	AUTHOR_MISMATCH
ai-ga-nakutcha-komarimasu	愛がなくっちゃ、こまります!	浅葱洋	伊倉トウ子	AUTHOR_MISMATCH
