slug	title	著者グループ数	著者別巻
eden-2021	エデン	2	スギサキユキル+retrog(v[1]) || justinleach;ne(v[2])
eden-sakurazawa-2014	エデン	2	スギサキユキル+retrog(v[1]) || 桜沢エリカ(v[3])
eden-sugisaki-2006	EDEN	2	定広美香;秋野コヨミ(v[1]) || 千之ナイフ(v[2])
edge	Edge	2	ワタナベ京;佐野真砂輝(v[1]) || トミナガ貴和;緋乃鹿六(v[2, 3])
egao-no-yukue-2003	笑顔の行方	2	逢沢雪名(v[1]) || シャロンサラ;瀧川イヴ(v[2])
eien-no-afurodiite	永遠のアフロディーテ	2	塩森恵子(v[1]) || 塩森惠子(v[2])
eien-no-kodou	永遠の鼓動	2	成瀬千絵(v[1]) || 折原ミト(v[2])
eikyuu-jishaku-no-housoku	永久磁石の法則	2	初田シウコ(v[1]) || 鹿乃シウコ(v[1])
eiyuuden	英雄伝	2	芝田秀行(v[1]) || 芝田英行(v[2])
ekiden-yarou	EKIDEN野郎!!	2	高橋雄一郎(v[1]) || 高橋雄一郎(漫画家)(v[2])
elf-o-karu-monotachi	エルフを狩るモノたち	2	矢上裕(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]) || 矢上裕(漫画家)(v[17, 
elisabeth	エリザベート	2	ミヒャエルクンツェ;森川久美(v[1]) || 塚本哲也;水野英子(v[1, 1])
endo	ENDO	2	ペッペ(v[1, 2, 3]) || duratogiuseppe(v[4, 5])
eriotto-hitori-asobi	エリオットひとりあそび	2	水樹和佳(v[1, 2]) || 水樹和佳子(v[1])
es	ES	2	シンツグル;スタジオ編集部(v[1]) || 惣領冬実(v[1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 7, 8])
f1-guranpuri-tengoku	F1グランプリ天国	2	村山文夫(v[1]) || 村山文男(v[2])
face-1992	Face	2	六本木綾(v[1]) || 逢坂ミヤ(v[2])
fight-2000	Fight!	2	説話社;阿部ユタカ(v[1, 2]) || 亜月裕(v[3, 4])
finding-dory	ファインディング・ドリー	2	ディズニーパブリッシングワー(v[1]) || 中沢志乃;和波雅子(v[3])
fire-emblem-1993	ファイアーエムブレム	2	島田ヒロカズ(v[1]) || 大沢美月(v[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11])
firoon-shikan-gakkou	フィローン士官学校	2	猫十字社(v[1]) || team猫十字社(v[1])
five	ファイブ	2	芳原ノゾミ(v[1]) || フルカワシオリ(v[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15])
fonto-otoko	フォント男子!	2	ヴァージニア二等兵(v[1]) || ]ヴァージニア二等兵(v[2])
fujiko-fujio-a-black-yuumoa-tanpenshuu	藤子不二雄Aブラックユーモア短篇集	2	藤子不二雄a(v[1, 1]) || 藤子不二雄○a(v[2, 3])
fujun-na-kanojo-tachi-wa-zange-shinai	不純な彼女達は懺悔しない	2	]ポロロッカ(v[1]) || ポロロッカ(v[2, 3, 4])
furin-to-iu-na-no-koi-o-shita	不倫という名の恋をした	2	津雲ムツミ(v[1]) || アマネカズミ(v[2])
furoito-2-bunnoichi	フロイト1/2	2	川原泉(v[1]) || 川原泉(漫画家)(v[1])
fushigi-no-umi-no-nadia	ふしぎの海のナディア	2	アニメージュ編集部(v[1, 2, 3, 4, 5, 6]) || アニメ-ジュ編集部(v[1, 2, 3, 4, 5, 6])
futsuu-no-joshikousei-ga-rokodoru-yattemita	普通の女子校生が【ろこどる】やってみ	2	小杉光太郎(v[1, 2, 7, 8, 10]) || kosugi(v[9])
fuufu	ふーふ	2	祥人(v[1]) || 源久也(v[2])
gacen-shoujo-to-ibunka-kouryuu	ゲーセン少女と異文化交流	2	]安原宏和(v[1, 2, 3, 4, 5, 6, 7, 8]) || 安原宏和(v[9, 10])
gakkou-kaidan	学校怪談	2	高橋兼介(v[1]) || 高橋葉介(v[1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12,
gakkou-ni-tsutawaru-kowai-uwasa	学校に伝わる怖いうわさ	2	アンソロジー(v[1, 2]) || 青木智子(v[3, 4])
gakkou-no-kaidan-koga-1994	学校の怪談	2	谷間夢路(v[1]) || 破邪(v[2])
gakkou-no-kowai-hanashi	学校の怖い話	2	滝清流(v[1]) || 猪川朱美(v[2])
game	Game	2	水縞トオル(v[1]) || 市東亮子(v[1, 2])
gandharva	ガンダルヴァ	2	正木秀尚(v[1]) || 正木秀尚(1964-)(v[3])
garou-densetsu-2000	餓狼伝説	2	leoadver(v[1]) || 石川賢(v[2])
gaten-nouka-to-asa-made-zetsurin-h	ガテン農家と朝まで絶倫H	2	ナナミアイス(v[1, 2, 3, 4]) || 知葉サナガ(v[5, 6, 7])
gegege-no-kitarou-1987	ゲゲゲの鬼太郎	2	水木シゲル(v[3]) || 水木プロ(v[4])
