isbn13	date	publisher	series	volume	title	kana	creators	creators_roled	creators_auth
9784065228708	2021.4	講談社	KCデラックス	クリアカード編10	カードキャプターさくら クリアカード編10	カードキャプターサクラ	CLAMP/Clamp	CLAMP／著:	
9784087900224	2021.4	集英社			描きたい!!を信じる : 少年ジャンプがどうしても伝えたいマンガの描き方	カキタイオシンジル:ショウネンジャンプガドウシテモツタエタイマンガノカキカタ	集英社	週刊少年ジャンプ編集部:作	集英社|00303822|シュウエイシャ
9784837969631	2021.4	三笠書房	王様文庫 ; C10-13		「鬼滅の刃」で心理分析できる本	キメツノヤイバデシンリブンセキデキルホン	清田, 予紀, 1954-	清田予紀:著	清田, 予紀, 1954-|00216977|キヨタ, ヨキ, 1954-
9784569901305	2021.4	PHP研究所	PHP文庫 ; お66-9		『鬼滅の刃』で哲学する : 人生の見方が変わるヒント	キメツノヤイバデテツガクスル:ジンセイノミカタガカワルヒント	小川, 仁志	小川仁志:著	小川, 仁志|01144807|オガワ, ヒトシ
9784802307086	2021.4	ダイアプレス	DIA Collection		「鬼滅の刃」に学ぶ心を燃やすメンタル術	キメツノヤイバニマナブココロオモヤスメンタルジュツ	『鬼滅の刃』メンタル研究会 [著]	『鬼滅の刃』メンタル研究会 [著]:	
9784776753032	2021.4	宙出版	Missy comics		今日はてづくり気分5つ星おうちグルメ	キョウハテズクリキブン5ツボシオウチグルメ			
9784295201168	2021.4	エムディエヌコーポレーション			CLIP STUDIO PAINT EX公式ガイドブック : 思い通りにマンガが描ける、信頼のオフィシャル入門書	クリップスタジオペイントイーエックスコウシキガイドブック:オモイドオリニマンガガ	セルシス	セルシス:監修	セルシス|00851403|セルシス
9784845863730	2021.4	リイド社	パーフェクト・メモワール	Vol. 14	コミック艶. Vol. 14	コミックエン			
9784821127795	2021.4	ぶんか社	Bunkasha comics	Vol. 28	ごはん日和. Vol. 28	ゴハンビヨリ			
9784088826547	2021.4	集英社	ジャンプコミックス		新テニスの王子様氷帝学園中等部テニス部ガイドCALL	シンテニスノオウジサマヒョウテイガクエンチュウトウブテニスブガイドコール	許斐, 剛, 1970-	許斐剛:著	許斐, 剛, 1970-|00677527|コノミ, タケシ, 1970-
9784088826554	2021.4	集英社	ジャンプコミックス		新テニスの王子様立海大附属中学校テニス部ガイドSTRENGTH	シンテニスノオウジサマリッカイダイフゾクチュウガッコウテニスブガイドストレングス	許斐, 剛, 1970-	許斐剛:著	許斐, 剛, 1970-|00677527|コノミ, タケシ, 1970-
9784758022439	2021.5	一迅社	IDコミックス. DNAメディアコミックス		ありふれた職業で世界最強コミックアンソロジー	アリフレタショクギョウデセカイサイキョウコミックアンソロジー			
9784758022446	2021.5	一迅社	IDコミックス. DNAメディアコミックス		イジらないで、長瀞さんコミックアンソロジー	イジラナイデ、ナガトロサンコミックアンソロジー			
9784799214954	2021.5	キルタイムコミュニケーション	二次元ドリームコミックス ; 634. 二次元コ		淫紋をつけられた美少女たちが産卵アクメ堕ち!	インモンオツケラレタビショウジョタチガサンランアクメオチ			
9784821127948	2021.5	ぶんか社	Bunkasha comics	Vol. 24	俺流!絶品めし. Vol. 24	オレリュウ!ゼッピンメシ			
9784898303399	2021.5	ワイズ出版		ワイズ出版第3号	キッチュ　：　総合マンガ誌 ワイズ出版第3号 平田弘史特集	キッチュソウゴウマンガシ			
9784777827596	2021.5	辰巳出版			鬼滅の刃をもっと楽しむための東洋思想と占術	キメツノヤイバオモットタノシムタメノトウヨウシソウトセンジュツ	東洋思想と占術研究会	東洋思想と占術研究会:著	東洋思想と占術研究会|031446750|トウヨウ シソウ ト センジュツ ケンキュウカイ
9784799214961	2021.5	キルタイムコミュニケーション	二次元ドリームコミックス ; 635	SP6	くっ殺ヒロインズ. SP6	クッコロヒロインズ			
9784813042594	2021.5	大洋図書	ミリオンムック ; 59	Vol. 4	劇画シークレット. Vol. 4	ゲキガシークレット			
9784199608650	2021.5	徳間書店	Chara comics		月曜九時の恋人	ゲツヨウクジノコイビト	ヤマヲミ	ヤマヲミ:著	ヤマヲミ|01225065|ヤマオミ
9784802154727	2021.5	エックスワン	メディアパルムック	Vol.15	コミケplus. Vol.15	コミケプラス			
9784758069151	2021.5	一迅社	IDコミックス. Rex comics	10	ゴブリンにエロいことされちゃうアンソロジーコミック. 10	ゴブリンニエロイコトサレチャウアンソロジーコミック			
9784862807984	2021.5	総合法令出版			「進撃の巨人」の言葉 : 残酷な世界でどう生きるか	シンゲキノキョジンノコトバ:ザンコクナセカイデドウイキルカ	伊藤, 賀一	伊藤賀一:著	伊藤, 賀一|01208153|イトウ, ガイチ
9784758022552	2021.6	一迅社	IDコミックス. DNAメディアコミックス	Vol. 4	アークナイツコミックアンソロジー. Vol. 4	アークナイツコミックアンソロジー			
9784758036061	2021.6	一迅社	IDコミックス. Zero-sum comics	5	悪役令嬢ですが、幸せになってみせますわ! : アンソロジーコミック. 5	アクヤクレイジョウデスガ、シアワセニナッテミセマスワ!:アンソロジーコミック			
