slug	title	title_kana	期待romaji	一致度	flag
pool	プール	プール	puru	0.33	slug≠題読み(低一致)
prototype-azmax	Prototype azmax	As&#39;マリア,1969-	as39maria1969	0.33	slug≠題読み(低一致)
r-16-r	［R-16］R	アールジュウロクアール	arujuurokuaru	0.33	slug≠題読み(低一致)
r18	R18!	アールジュウハチ	arujuuhachi	0.33	slug≠題読み(低一致)
ray	RAY	レイ	rei	0.33	slug≠題読み(低一致)
rei	怜	トキ	toki	0.33	slug≠題読み(低一致)
run	Run	イ,サンセ,1958-	isanse1958	0.33	slug≠題読み(低一致)
s4g	S4G	エスフォージー	esufuoji	0.33	slug≠題読み(低一致)
seasons-2011-2	Seasons	シーズンズ	shizunzu	0.33	slug≠題読み(低一致)
seasons-2011	Seasons	シーズンズ	shizunzu	0.33	slug≠題読み(低一致)
shuukon	蹴魂	フットボール	futoboru	0.33	slug≠題読み(低一致)
shuuren	終恋	ツイコイ	tsuikoi	0.33	slug≠題読み(低一致)
sky	Sky	ロクダ,ノボル,1952-	rokudanoboru1952	0.33	slug≠題読み(低一致)
sweet-home-2002	Sweet home	カヤマ,ユミ,-2005	kayamayumi2005	0.33	slug≠題読み(低一致)
taboo-yahagi-1996	タブー	スコラ	sukora	0.33	slug≠題読み(低一致)
the-boys	ザ・ボーイズ	ザボーイズ	zaboizu	0.33	slug≠題読み(低一致)
the-cop	ザ・コップ	ザコップ	zakopu	0.33	slug≠題読み(低一致)
the-edge	the EDGE	ジエッジ	jieji	0.33	slug≠題読み(低一致)
u12	U12	アンダートゥエルブ	andatouerubu	0.33	slug≠題読み(低一致)
veil	Veil	ヴェール	eru	0.33	slug≠題読み(低一致)
vrg	VRG	ブイアールジー	buiaruji	0.33	slug≠題読み(低一致)
warakado	Warakado	ビッグコミックス	bigukomikusu	0.33	slug≠題読み(低一致)
wave	Wave	ウェーブ	uebu	0.33	slug≠題読み(低一致)
we-are	We are	ウィーアー	uia	0.33	slug≠題読み(低一致)
wei	Weiβ	ヴァイス	aisu	0.33	slug≠題読み(低一致)
welcome-1979	ウェルカム	ウェルカム	uerukamu	0.33	slug≠題読み(低一致)
welcome	うぇるかむ!	ウェルカム	uerukamu	0.33	slug≠題読み(低一致)
west-end	West end	ニチブンkarenコミックブンコ	nichibunkarenkom	0.33	slug≠題読み(低一致)
wetuber	WeTuber	ウィーチューバー	uichuba	0.33	slug≠題読み(低一致)
wild-7-1973-74	ワイルド7 1973-74	ワイルドセヴンセンキュウヒャクナ	wairudosensenkyu	0.33	slug≠題読み(低一致)
with-2000	ウィズ	ウィズ	uizu	0.33	slug≠題読み(低一致)
with	with!!	ウィズ	uizu	0.33	slug≠題読み(低一致)
wombs	WOMBS	ウームズ	umuzu	0.33	slug≠題読み(低一致)
x-day-tamura-1993	X-DAY	エックスデイ	ekusudei	0.33	slug≠題読み(低一致)
yon	4	マッドブルサーティフォー4	madoburusateifuo	0.33	slug≠題読み(低一致)
ys-5	イースⅤ	イース	isu	0.33	slug≠題読み(低一致)
1702-chuushingura	1702忠臣蔵	イチナナゼロニチュウシングラ|雪	ichinanazeronich	0.75	title≠kana(別作の読み)
jinzou-ningen-100	人造人間100	ジンゾウニンゲンヒャク|理想の人	jinzouningenhyak	0.8	title≠kana(別作の読み)
unlucky-fukouda-sensei	アンラッキー不幸田先生	アンラッキーフコウダセンセイ|不	anrakifukoudasen	0.85	title≠kana(別作の読み)
kyuupii-agatsuma-ryou-desperado	QP我妻涼デスペラード	キューピーアズマリョウデスペラー	kyupiazumaryoude	0.86	title≠kana(別作の読み)
dragon-ball-super	ドラゴンボール超(スーパー)	ドラゴンボールスーパー|ドラゴン	doragonborusupad	0.92	title≠kana(別作の読み)
neko-ga-4-hiki-iru-kurashi	猫が4匹いる暮らし	ネコガヨンヒキイルクラシ|今日も	nekogayonhikiiru	0.92	title≠kana(別作の読み)
